field,value,count,has_law_education,has_economics_education
credential,MBA,1,0,1
degree,ACCA,1,0,1
degree,ACCA DipIFR,1,0,1
degree,Academician of the Russian Academy of Sciences,1,0,0
degree,Associate member,1,0,0
degree,BA,5,0,0
degree,BS,2,0,0
degree,BSBA,2,0,0
degree,Bachelor,1,0,0
degree,Bachelor of Arts,3,0,0
degree,Bachelor's degree,1,0,0
degree,Bachelor's degree / BS,1,0,0
degree,Bachelor's degree in economics,1,0,1
degree,CIA,1,0,0
degree,CIPD certificate,1,0,0
degree,Candidate of Economic Sciences,5,0,1
degree,Candidate of Economic Sciences / PhD in Economics,1,0,1
degree,Candidate of Legal Sciences,1,1,0
degree,Candidate of Legal Sciences / PhD in Law,1,1,0
degree,Candidate of Sociological Sciences,1,0,0
degree,Candidate of Technical Sciences,1,0,0
degree,Certified Internal Auditor (CIA),1,0,1
degree,Certified Public Accountant; member of AICPA,1,0,1
degree,DBA,2,0,0
degree,Degree in cybernetic engineering,1,0,0
degree,Degree in general management and financial management,2,0,1
degree,Doctor of Business Administration,1,0,1
degree,Doctor of Economic Sciences,1,0,1
degree,Doctor of Economics,1,0,1
degree,Doctor of Legal Sciences; Professor,1,1,0
degree,Doctor of Technical Sciences,1,0,0
degree,Doctor of Technical Sciences; Professor,1,0,0
degree,EMBA,1,0,1
degree,EMBA / MBA,1,0,1
degree,Economist-manager qualification,1,0,1
degree,Executive MBA,8,0,1
degree,ICAS professional membership,1,0,0
degree,JD,2,0,0
degree,Juris Doctor,2,0,0
degree,LLM,4,1,0
degree,Law Doctorate,1,1,0
degree,MA,1,0,0
degree,MBA,35,0,1
degree,MBA / Executive MBA,1,0,1
degree,Management degrees,1,0,0
degree,Master in Finance with honors,1,0,1
degree,Master of Business Administration,1,0,1
degree,Master of Laws,1,1,0
degree,Master of Public Administration,3,0,0
degree,Master of Science,1,0,0
degree,Master's degree,4,0,0
degree,Master's degree in Political Science,1,0,0
degree,PhD,4,0,0
degree,Specialist degree,1,0,0
degree,Specialty/degree in Finance and Credit,1,0,1
degree,Specialty/degree in Jurisprudence,1,1,0
degree,candidate dissertation,1,0,0
degree,doctorate degree,1,0,0
degree,Академик РАН,1,0,0
degree,Академик РАХ,1,0,0
degree,Бакалавр,2,0,0
degree,Диплом Института ценных бумаг (Securities Institute),1,0,1
degree,Доктор биологических наук,1,0,0
degree,Доктор географических наук,1,0,0
degree,Доктор технических наук,3,0,0
