ticker,name,kind,record,institution,qualification_degree,level_used,foreign_education
ABIO,Масюк Сергей Владимирович,education,0,,Unknown,,0
ABIO,Исаев Артур Александрович,education,0,Ростовский государственный медицинский университет,Specialist degree,master,0
ABIO,Исаев Артур Александрович,education,1,Московская международная высшая школа бизнеса «МИРБИС»,MBA,,0
ABIO,Исаев Артур Александрович,degrees,0,Московская международная высшая школа бизнеса «МИРБИС»,MBA,,0
ABIO,Богуславский Дмитрий Эдгардович,education,0,Южный федеральный университет,Specialist degree,master,0
ABIO,Богуславский Дмитрий Эдгардович,degrees,0,,Doctoral degree,doctoral,0
ABIO,Деев Роман Вадимович,education,0,Военно-медицинская академия имени С.М. Кирова,Specialist degree,master,0
ABIO,Деев Роман Вадимович,degrees,0,Военно-медицинская академия имени С.М. Кирова,Doctoral degree,doctoral,0
ABIO,Деев Роман Вадимович,degrees,1,,,,0
ABIO,Исаев Андрей Александрович,education,0,Южный федеральный университет,Specialist degree,master,0
ABIO,Мауэр Константин Николаевич,education,0,Ростовский государственный экономический университет (РИНХ),Specialist degree,master,0
ABIO,Мауэр Константин Николаевич,education,1,"Институт управления, бизнеса и права (Ростов-на-Дону)",,,0
ABIO,Мауэр Константин Николаевич,education,2,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,MBA,,0
ABIO,Мауэр Константин Николаевич,degrees,0,Российская академия народного хозяйства и государственной службы при Президенте Российской Федерации,MBA,,0
ABIO,Киселев Сергей Львович,education,0,Национальный исследовательский ядерный университет «МИФИ»,Specialist degree,master,0
ABIO,Киселев Сергей Львович,degrees,0,,Doctoral degree,doctoral,0
ABIO,Киселев Сергей Львович,degrees,1,,,,0
ABIO,Примак Алексей Евгеньевич,education,0,Ростовский государственный экономический университет (РИНХ),Specialist degree,master,0
ABIO,Александров Дмитрий Андреевич,education,0,Московский государственный университет имени М.В. Ломоносова,Specialist degree,master,0
ABIO,Александров Дмитрий Андреевич,degrees,0,Московский государственный университет имени М.В. Ломоносова,Doctoral degree,doctoral,0
AFKS,Ситдеков Тагир Алиевич,education,0,Российский экономический университет имени Г.В. Плеханова,Specialist degree,master,0
AFKS,Ситдеков Тагир Алиевич,education,1,University of Chicago Booth School of Business,MBA,,1
AFKS,Ситдеков Тагир Алиевич,degrees,0,University of Chicago Booth School of Business,MBA,,1
AFKS,Шохин Александр Николаевич,education,0,Московский государственный университет имени М.В. Ломоносова,Specialist degree,master,0
AFKS,Шохин Александр Николаевич,degrees,0,,Doctoral degree,doctoral,0
AFKS,Шохин Александр Николаевич,degrees,1,Центральный экономико-математический институт Академии наук СССР (ЦЭМИ АН СССР),Doctoral degree,doctoral,0
AFKS,Шохин Александр Николаевич,degrees,2,,,,0
AFKS,Маслов Алексей Александрович,education,0,Московский государственный университет имени М.В. Ломоносова,Specialist degree,master,0
AFKS,Маслов Алексей Александрович,degrees,0,Институт Дальнего Востока Российской академии наук,Doctoral degree,doctoral,0
AFKS,Маслов Алексей Александрович,degrees,1,Институт Дальнего Востока Российской академии наук,Doctoral degree,doctoral,0
AFKS,Маслов Алексей Александрович,degrees,2,,Doctoral degree,doctoral,0
