ticker,name,role,education_secondary,education_bachelor,education_master,education_doctoral,education_level_unknown,has_mba_emba,has_foreign_education,has_professional_retraining,has_law_education,has_economics_education,publications_count,publications_count_is_lower_bound,has_research_experience,research_experience_years,patents_count,patents_count_is_lower_bound,experience_years_same_sector,experience_years_same_industry,experience_years_same_industry_group,professional_experience_years,has_experience_same_sector,has_experience_same_industry,has_experience_same_industry_group,has_other_company_management,current_company_experience_years
ABIO,Масюк Сергей Владимирович,"Генеральный директор ПАО ""Артген""",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,9,9,9,9,1,1,1,1,6
ABIO,Исаев Артур Александрович,"Председатель Совета директоров ПАО ""Артген""",0,0,1,0,0,1,0,0,0,1,2,1,1,0,1,1,23,23,23,28,1,1,1,1,23
ABIO,Богуславский Дмитрий Эдгардович,"Член Совета директоров ПАО ""Артген""",0,0,0,1,0,0,0,0,0,1,0,0,1,22,0,0,17,10,10,17,1,1,1,1,10
ABIO,Деев Роман Вадимович,"Член Совета директоров ПАО ""Артген""; директор по науке ПАО ""Артген""",0,0,0,1,0,0,0,0,0,0,2,1,1,11,0,0,14,6,6,33,1,1,1,0,6
ABIO,Исаев Андрей Александрович,"Член Совета директоров ПАО ""Артген""",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,9,5,9,29,1,1,1,1,5
ABIO,Мауэр Константин Николаевич,"Член Совета директоров ПАО ""Артген"", независимый директор",0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,42,1,1,1,1,0
ABIO,Киселев Сергей Львович,"Член Совета директоров ПАО ""Артген""",0,0,0,1,0,0,0,0,0,0,,1,1,18,0,0,29,10,20,29,1,1,1,0,10
ABIO,Примак Алексей Евгеньевич,"Член Совета директоров ПАО ""Артген""",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,34,1,1,1,1,2
ABIO,Александров Дмитрий Андреевич,"Член СД по CSV; не подтвержден как член Совета директоров ПАО ""Артген"" в годовом отчете за 2024 год",0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,21,1,1,1,1,0
AFKS,Ситдеков Тагир Алиевич,Президент (CEO) + Член СД,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,6,3,6,11,1,1,1,1,3
AFKS,Шохин Александр Николаевич,Член СД,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,31,1,1,1,1,0
AFKS,Маслов Алексей Александрович,Член СД,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,4,1,1,1,1,0
AFKS,Кузьминов Ярослав Иванович,Член СД,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,4,4,4,32,1,1,1,1,4
AFKS,Евтушенков Феликс Владимирович,Первый вице-президент + Член СД,0,0,1,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0
AFKS,Евтушенков Владимир Петрович,Председатель СД,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0
AFKS,Вьюгин Олег Вячеславович,Член СД,0,0,0,1,0,0,0,0,0,0,0,0,1,5,0,0,3,3,3,3,1,1,1,1,3
AFKS,Волошин Александр Стальевич,Член СД,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,1,1,18,1,1,1,1,1
AFKS,Васадзе Леван Шиоевич,Член СД,0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,24,0,22,24,1,1,1,0,0
AFLT,Александровский Сергей Владимирович,"Генеральный директор ПАО ""Аэрофлот"", председатель Правления; в CSV также указан как член Совета директоров.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,8,8,8,8,1,1,1,1,3
AFLT,Бадеха Вадим Александрович,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; генеральный директор ОАК с ноября 2024 года.",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,18,0,0,18,1,0,0,1,0
AFLT,Каменской Игорь Александрович,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; финансист и бывший член Совета Федерации.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,1,0
AFLT,Ликсутов Максим Станиславович,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; заместитель Мэра Москвы по вопросам транспорта в 2024 году.",0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,2,0,2,15,1,0,1,1,0
AFLT,Моисеев Алексей Владимирович,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; заместитель Министра финансов Российской Федерации в 2024 году.",0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0
AFLT,Никитин Андрей Сергеевич,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; губернатор Новгородской области в 2024 году.",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,15,0,0,0,1,0
AFLT,Пахомов Роман Викторович,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; руководитель ООО ""Авиакапитал-Сервис"" по открытым регистрационным источникам.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,15,0,0,15,1,0,0,1,0
AFLT,Песков Дмитрий Николаевич,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; специальный представитель Президента РФ по вопросам цифрового и технологического развития в 2024 году.",0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,27,0,0,0,1,0
AFLT,Прокофьев Станислав Евгеньевич,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; ректор Финансового университета при Правительстве РФ.",0,0,0,1,0,0,0,1,0,1,200,1,1,10,0,0,0,0,0,21,0,0,0,1,0
AFLT,Савельев Виталий Геннадьевич,"Председатель Совета директоров ПАО ""Аэрофлот"" в 2024 году.",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,17,17,17,22,1,1,1,0,17
AFLT,Чемезов Сергей Викторович,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; генеральный директор Ростеха.",0,0,0,1,0,0,0,0,0,1,130,1,1,0,0,0,22,0,0,22,1,0,0,1,0
AFLT,Шадаев Максут Игоревич,"Член Совета директоров ПАО ""Аэрофлот"" по CSV; Министр цифрового развития, связи и массовых коммуникаций РФ в 2024 году.",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,0,0
AFLT,Чиханчин Андрей Юрьевич,"Первый заместитель генерального директора ПАО ""Аэрофлот"" по коммерции и финансам.",0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,4,4,4,6,1,1,1,1,4
AFLT,Семёнов Андрей Викторович,"Первый заместитель генерального директора ПАО ""Аэрофлот"" по производству.",0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,1,1,1,1,3
AGRO,Липатов Тимур Владимирович,"В контексте 2024 года: генеральный директор ООО ""Группа Компаний ""Русагро""; в официальных материалах 2024 года также указан как генеральный директор ПАО ""Группа ""Русагро"" и член Совета директоров ROS AGRO PLC.",0,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,5,5,5,28,1,1,1,1,5
AKRN,Куницкий Владимир Яковлевич,"Председатель Правления, Генеральный директор (Президент) ПАО ""Акрон"" в контексте 2024 года",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,57,44,57,57,1,1,1,1,20
