ticker,name,kind,episode,organization,start_original,end_original,start_used,end_used,years,note,is_current_company
ABIO,Масюк Сергей Владимирович,professional,0,"ООО ""НекстГен Фарма"" / ООО ""ИСКЧ Фарма""",2018,,2018,2020,3,end_from_next_start,0
ABIO,Масюк Сергей Владимирович,professional,1,"ПАО ""ИСКЧ""",2020,2020,2020,2020,1,,1
ABIO,Масюк Сергей Владимирович,professional,2,"ПАО ""ИСКЧ"" / ПАО ""Артген""",2020,,2020,2024,5,end_at_collection_year,1
ABIO,Исаев Артур Александрович,professional,0,"Аудиторско-консалтинговая группа ""Мауэр-Аудит и партнеры""",1999,2003,1999,2003,5,,0
ABIO,Исаев Артур Александрович,professional,1,Институт Стволовых Клеток Человека / Артген,2003,,2003,2007,5,end_from_next_start,1
ABIO,Исаев Артур Александрович,professional,2,"ПАО ""Артген""",2007,,2007,2024,18,end_at_collection_year,1
ABIO,Исаев Артур Александрович,professional,3,"ПАО ""ЦГРМ ""ГЕНЕТИКО""",,,,,0,missing_dates_excluded,0
ABIO,Исаев Артур Александрович,professional,4,"ПАО ""ММЦБ""",,,,,0,missing_dates_excluded,0
ABIO,Исаев Артур Александрович,research,0,Артген / ИСКЧ group projects,,,,,0,missing_dates_excluded,
ABIO,Богуславский Дмитрий Эдгардович,professional,0,"ООО ""Европейская Международная Клиника""",2013,2014,2013,2014,2,,0
ABIO,Богуславский Дмитрий Эдгардович,professional,1,"ООО ""Диалайн""",2014,2015,2014,2015,2,,0
ABIO,Богуславский Дмитрий Эдгардович,professional,2,"ПАО ""ИСКЧ""",2014,2016,2014,2016,3,,1
ABIO,Богуславский Дмитрий Эдгардович,professional,3,"ПАО ""ИСКЧ""",2015,2016,2015,2016,2,,1
ABIO,Богуславский Дмитрий Эдгардович,professional,4,"ООО ""ЦГРМ ""ГЕНЕТИКО""",2016,2018,2016,2018,3,,0
ABIO,Богуславский Дмитрий Эдгардович,professional,5,"ПАО ""ИСКЧ""",2018,2019,2018,2019,2,,1
ABIO,Богуславский Дмитрий Эдгардович,professional,6,"ПАО ""ИСКЧ"" / ПАО ""Артген""",2022,,2022,2024,3,end_at_collection_year,1
ABIO,Богуславский Дмитрий Эдгардович,research,0,,2003,,2003,2024,22,end_at_collection_year,
ABIO,Деев Роман Вадимович,professional,0,Военно-медицинская академия им. С. М. Кирова; НИИ травматологии и ортопедии им. Р. Р. Вредена,2003,2010,2003,2010,8,,0
ABIO,Деев Роман Вадимович,professional,1,"Журнал ""Гены и Клетки"" / genescells.ru",2005,,2005,2014,10,end_from_next_start,0
ABIO,Деев Роман Вадимович,professional,2,"ПАО ""Артген""",2014,,2014,2016,3,end_from_next_start,1
ABIO,Деев Роман Вадимович,professional,3,"ФГБОУ ВО ""Рязанский государственный медицинский университет им. академика И. П. Павлова""",2016,,2016,2024,9,end_at_collection_year,0
ABIO,Деев Роман Вадимович,professional,4,"ПАО ""Артген""",2014,,2014,2016,3,end_from_next_start,1
ABIO,Деев Роман Вадимович,research,0,РязГМУ / Артген,2014,,2014,2024,11,end_at_collection_year,
ABIO,Исаев Андрей Александрович,professional,0,"ООО ""Сегмент""",2002,2021,2002,2021,20,,0
ABIO,Исаев Андрей Александрович,professional,1,"ПАО ""Артген""",2017,,2017,2021,5,end_from_next_start,1
ABIO,Исаев Андрей Александрович,professional,2,"ПАО ""ММЦБ""",2021,,2021,2024,4,end_at_collection_year,0
