ticker,name,Nom_2015,Nom_2016,Nom_2017,Nom_2018,Nom_2019,Nom_2020,Nom_2021,Nom_2022,Nom_2023,Nom_2024,is_ceo,source_positions,awards_raw,awards_score
ABIO,Масюк Сергей Владимирович,,,,,,,,,,,True,CEO,0.0,0.0
ABIO,Исаев Артур Александрович,,,,,,,,,,,False,Председатель СД,0.0,0.0
ABIO,Богуславский Дмитрий Эдгардович,,,,,,,,,,,False,Член СД,0.0,0.0
ABIO,Деев Роман Вадимович,,,,,,,,,,,False,Член СД,0.0,0.0
ABIO,Исаев Андрей Александрович,,,,,,,,,,,False,Член СД,0.0,0.0
ABIO,Мауэр Константин Николаевич,,,,,,,,,,,False,Член СД,0.0,0.0
ABIO,Киселев Сергей Львович,,,,,,,,,,,False,Член СД,0.0,0.0
ABIO,Примак Алексей Евгеньевич,,,,,,,,,,,False,Член СД,0.0,0.0
ABIO,Александров Дмитрий Андреевич,,,,,,,,,,,False,Член СД,0.0,0.0
AFKS,Ситдеков Тагир Алиевич,,,,,,,,,,,False,Президент (CEO) + Член СД,0.0,0.0
AFKS,Шохин Александр Николаевич,,,,,,,,,,,False,Член СД,0.0,0.0
AFKS,Маслов Алексей Александрович,,,,,,,,,,,False,Член СД,0.0,0.0
AFKS,Кузьминов Ярослав Иванович,,,,,,,,,,,False,Член СД,0.0,0.0
AFKS,Евтушенков Феликс Владимирович,,,,,,,,,,,False,Первый вице-президент + Член СД,0.0,0.0
AFKS,Евтушенков Владимир Петрович,,,,,,,,,,,False,Председатель СД,0.0,0.0
AFKS,Вьюгин Олег Вячеславович,,,,,,,,,,,False,Член СД,0.0,0.0
AFKS,Волошин Александр Стальевич,,,,,,,,,,,False,Член СД,0.0,0.0
AFKS,Васадзе Леван Шиоевич,,,,,,,,,,,False,Член СД,0.0,0.0
AFLT,Александровский Сергей Владимирович,,,,,,,,,,N,False,CEO+Председатель правления+Член СД,1.0,22.7670248696953
AFLT,Бадеха Вадим Александрович,,,,,,,,,,,False,Член СД,0.0,0.0
AFLT,Каменской Игорь Александрович,,,,,,,,,,,False,Член СД,0.0,0.0
AFLT,Ликсутов Максим Станиславович,,,,,,,,,,,False,Член СД,0.0,0.0
AFLT,Моисеев Алексей Владимирович,,,,,,,,,,,False,Член СД,0.0,0.0
