ticker,media_score,awards_score,face_score,expertise_score,communication_score
ABIO,9,9,8,9,1
AFKS,9,9,4,9,0
AFLT,14,14,5,14,1
AGRO,1,1,1,1,1
AKRN,10,10,0,10,1
ALRS,15,15,6,15,1
APTK,1,1,1,1,1
AQUA,10,10,9,10,1
ASTR,3,3,2,3,1
BANEP,1,1,0,1,0
BELU,9,9,2,9,0
BSPB,2,2,0,2,0
CBOM,1,1,1,1,1
CHMF,2,2,0,2,0
CHMK,1,1,1,1,0
CIAN,2,2,2,2,1
DATA,5,5,3,5,1
DELI,13,13,4,13,1
DIAS,7,7,0,7,1
DVEC,15,15,0,15,1
ELFV,9,9,0,9,1
ENPG,18,19,5,19,1
ETLN,7,7,5,7,1
EUTR,10,10,5,10,1
FEES,11,11,5,11,1
FESH,2,2,2,2,1
FIVE,4,4,1,4,1
FIXP,3,3,1,3,1
FLOT,3,3,2,3,0
GAZP,22,22,8,22,1
GEMC,6,6,1,6,1
GLTR,11,13,1,13,1
GMKN,1,1,1,1,1
HEAD,9,9,3,9,1
HNFG,11,11,1,11,1
HYDR,6,6,1,6,1
IRAO,11,11,3,11,1
IVAT,9,9,4,9,1
KAZT,13,13,3,13,1
KZOS,1,1,0,1,1
LEAS,1,1,0,1,1
LENT,1,1,0,1,1
LKOH,1,1,0,1,0
LSNGP,13,13,1,13,1
LSRG,9,9,0,9,0
MAGN,10,10,0,10,1
MBNK,1,1,0,1,1
MDMG,6,6,0,6,1
MGNT,8,9,0,10,1
MGTSP,8,8,7,8,1
MOEX,13,14,9,14,1
MRKC,12,14,7,14,1
MRKP,5,6,3,6,1
MRKU,14,15,2,15,1
MRKV,12,14,5,14,1
MRKZ,16,16,4,16,1
MSNG,14,14,1,14,0
MSRS,14,14,5,15,1
MTLR,5,5,0,6,1
MTSS,9,10,5,10,1
MVID,15,15,4,15,1
NKHP,10,10,0,10,0
NKNC,12,12,1,12,1
NLMK,8,11,3,11,1
NMTP,4,4,0,4,1
NVTK,9,9,0,9,1
OGKB,12,12,0,12,0
OKEY,6,6,0,6,0
OZON,1,1,0,1,0
OZPH,16,16,7,16,1
PHOR,17,17,7,18,1
PIKK,15,15,6,15,1
PLZL,5,5,2,5,0
POLY,7,8,4,8,0
POSI,9,9,5,9,1
PRMD,9,9,6,9,1
QIWI,0,0,0,1,0
RASP,10,10,3,10,0
RENI,1,1,1,1,1
RKKE,10,10,4,10,0
RNFT,12,12,7,12,1
ROSN,13,14,3,14,1
RTKM,12,14,0,14,1
RUAL,14,14,2,14,1
SBER,17,18,2,18,1
SELG,12,12,1,12,1
SFIN,10,10,0,10,1
SGZH,14,14,1,15,1
SMLT,12,12,5,12,1
SNGS,11,11,3,11,0
SOFL,9,9,7,10,1
SPBE,14,14,2,15,1
SVAV,8,8,0,8,0
SVCB,13,13,2,13,1
T,9,9,1,9,0
TATN,18,18,3,18,1
TGKA,13,13,1,13,0
TGKB,17,17,0,17,1
TRMK,15,15,2,15,0
TRNFP,20,20,3,20,1
TTLK,21,21,5,21,1
UGLD,4,4,1,4,1
UPRO,21,21,4,21,0
VKCO,28,28,11,28,0
VSEH,15,15,1,15,1
VSMO,15,15,0,15,0
VTBR,25,25,1,25,1
WUSH,12,12,0,12,1
YDEX,36,36,3,36,1
ZAYM,10,10,0,10,1
