ticker,media_score,awards_score,face_score,expertise_score,communication_score
ABIO,1,1,1,1,1
AFKS,0,0,0,1,0
AFLT,0,0,0,1,1
AGRO,1,1,1,1,1
AKRN,1,1,0,1,1
ALRS,1,1,1,1,1
APTK,0,0,0,1,1
AQUA,1,1,1,1,1
ASTR,0,0,0,1,1
BANEP,1,1,0,0,0
BELU,1,1,1,1,0
BSPB,1,1,0,1,0
CBOM,1,1,1,0,1
CHMF,0,0,0,1,0
CHMK,1,1,1,0,0
CIAN,0,0,0,1,1
DATA,1,1,1,1,1
DELI,1,1,1,1,1
DIAS,1,1,0,1,1
DVEC,1,1,0,1,1
ELFV,1,1,0,1,1
ENPG,1,1,0,1,1
ETLN,1,1,1,1,1
EUTR,1,1,1,1,1
FEES,1,1,0,1,1
FESH,0,0,0,1,1
FIVE,1,1,1,1,1
FIXP,1,1,0,1,1
FLOT,1,1,1,1,0
GAZP,1,1,1,1,1
GEMC,1,1,1,1,1
GLTR,0,0,0,1,1
GMKN,0,0,0,1,1
HEAD,1,1,1,1,1
HNFG,1,1,0,1,1
HYDR,1,1,1,1,1
IRAO,1,1,1,1,1
IVAT,1,1,0,1,1
KAZT,1,1,1,1,1
KZOS,1,1,0,1,1
LEAS,1,1,0,1,1
LENT,1,1,0,1,1
LKOH,1,1,0,0,0
LSNGP,1,1,0,1,1
LSRG,1,1,0,1,0
MAGN,1,1,0,1,1
MBNK,1,1,0,1,1
MDMG,1,1,0,1,1
MGNT,0,0,0,1,1
MGTSP,1,1,1,1,1
MOEX,1,1,0,1,1
MRKC,0,1,1,1,1
MRKP,1,1,1,1,1
MRKU,1,1,0,1,1
MRKV,1,1,1,1,1
MRKZ,1,1,0,1,1
MSNG,0,1,0,1,0
MSRS,0,1,1,1,1
MTLR,1,1,0,1,1
MTSS,0,1,1,1,1
MVID,1,1,0,1,1
NKHP,1,1,0,1,0
NKNC,1,1,1,1,1
NLMK,1,1,0,1,1
NMTP,1,1,0,1,1
NVTK,1,1,0,1,1
OGKB,0,1,0,1,0
OKEY,1,1,0,1,0
OZON,0,0,0,0,0
OZPH,0,0,0,1,1
PHOR,4,4,3,1,1
PIKK,2,2,1,1,1
PLZL,1,1,0,1,0
POLY,1,1,1,1,0
POSI,0,1,1,1,1
PRMD,1,1,1,1,1
QIWI,0,0,0,1,0
RASP,4,4,2,1,0
RENI,1,1,1,1,1
RKKE,1,1,1,1,0
RNFT,0,0,0,1,1
ROSN,0,1,0,1,1
RTKM,1,1,0,1,1
RUAL,0,1,1,1,1
SBER,0,1,0,1,1
SELG,0,1,0,1,1
SFIN,0,0,0,1,1
SGZH,0,1,0,1,1
SMLT,1,1,1,1,1
SNGS,1,1,0,1,0
SOFL,1,1,1,1,1
SPBE,1,1,1,1,1
SVAV,0,1,0,1,0
SVCB,0,1,1,1,1
T,0,0,0,1,0
TATN,1,1,1,1,1
TGKA,0,0,0,1,0
TGKB,0,0,0,1,1
TRMK,1,1,1,1,0
TRNFP,1,1,0,1,1
TTLK,1,1,1,1,1
UGLD,0,0,0,1,1
UPRO,1,1,0,1,0
VKCO,2,2,1,1,0
VSEH,1,1,0,1,1
VSMO,1,1,0,1,0
VTBR,1,1,0,1,1
WUSH,1,1,0,1,1
YDEX,1,1,0,1,1
ZAYM,1,1,0,1,1
