ticker,education_bachelor_or_higher,education_master_or_higher,education_doctoral,has_mba_emba,has_foreign_education,has_professional_retraining,has_law_education,has_economics_education,publications_count,has_research_experience,research_experience_years,patents_count,experience_years_same_sector,experience_years_same_industry,experience_years_same_industry_group,professional_experience_years,has_experience_same_sector,has_experience_same_industry,has_experience_same_industry_group,has_other_company_management,current_company_experience_years
ABIO,9,9,9,9,9,9,9,9,8,9,9,9,9,9,9,9,9,9,9,9,9
AFKS,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
AFLT,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
AGRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AKRN,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ALRS,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
APTK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AQUA,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
ASTR,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
BANEP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BELU,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
BSPB,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CBOM,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHMF,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
CHMK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CIAN,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
DATA,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5
DELI,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
DIAS,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
DVEC,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15,15
ELFV,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
ENPG,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19,19
ETLN,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
EUTR,10,10,10,10,10,10,10,10,9,10,10,10,10,10,10,10,10,10,10,10,10
FEES,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
FESH,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2
FIVE,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4,4
FIXP,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
FLOT,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
GAZP,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22,22
GEMC,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
GLTR,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
GMKN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HEAD,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
HNFG,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
HYDR,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
IRAO,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11,11
IVAT,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
KAZT,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
KZOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LEAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LENT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LKOH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSNGP,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13,13
LSRG,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9,9
MAGN,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
MBNK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
MDMG,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6
MGNT,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10,10
MGTSP,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8,8
MOEX,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
MRKC,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14,14
