ticker,education_name,matched_name,method,score
ABIO,Александров Дмитрий Андреевич,Александров Дмитрий Андреевич,exact,100.0
ABIO,Богуславский Дмитрий Эдгардович,Богуславский Дмитрий Эдгардович,exact,100.0
ABIO,Деев Роман Вадимович,Деев Роман Вадимович,exact,100.0
ABIO,Исаев Андрей Александрович,Исаев Андрей Александрович,exact,100.0
ABIO,Исаев Артур Александрович,Исаев Артур Александрович,exact,100.0
ABIO,Киселев Сергей Львович,Киселев Сергей Львович,exact,100.0
ABIO,Масюк Сергей Владимирович,Масюк Сергей Владимирович,exact,100.0
ABIO,Мауэр Константин Николаевич,Мауэр Константин Николаевич,exact,100.0
ABIO,Примак Алексей Евгеньевич,Примак Алексей Евгеньевич,exact,100.0
AFKS,Васадзе Леван Шиоевич,Васадзе Леван Шиоевич,exact,100.0
AFKS,Волошин Александр Стальевич,Волошин Александр Стальевич,exact,100.0
AFKS,Вьюгин Олег Вячеславович,Вьюгин Олег Вячеславович,exact,100.0
AFKS,Евтушенков Владимир Петрович,Евтушенков Владимир Петрович,exact,100.0
AFKS,Евтушенков Феликс Владимирович,Евтушенков Феликс Владимирович,exact,100.0
AFKS,Кузьминов Ярослав Иванович,Кузьминов Ярослав Иванович,exact,100.0
AFKS,Маслов Алексей Александрович,Маслов Алексей Александрович,exact,100.0
AFKS,Ситдеков Тагир Алиевич,Ситдеков Тагир Алиевич,exact,100.0
AFKS,Шохин Александр Николаевич,Шохин Александр Николаевич,exact,100.0
AFLT,Александровский Сергей Владимирович,Александровский Сергей Владимирович,exact,100.0
AFLT,Бадеха Вадим Александрович,Бадеха Вадим Александрович,exact,100.0
AFLT,Каменской Игорь Александрович,Каменской Игорь Александрович,exact,100.0
AFLT,Ликсутов Максим Станиславович,Ликсутов Максим Станиславович,exact,100.0
AFLT,Моисеев Алексей Владимирович,Моисеев Алексей Владимирович,exact,100.0
AFLT,Никитин Андрей Сергеевич,Никитин Андрей Сергеевич,exact,100.0
AFLT,Пахомов Роман Викторович,Пахомов Роман Викторович,exact,100.0
AFLT,Песков Дмитрий Николаевич,Песков Дмитрий Николаевич,exact,100.0
AFLT,Прокофьев Станислав Евгеньевич,Прокофьев Станислав Евгеньевич,exact,100.0
AFLT,Савельев Виталий Геннадьевич,Савельев Виталий Геннадьевич,exact,100.0
AFLT,Семёнов Андрей Викторович,Семёнов Андрей Викторович,exact,100.0
AFLT,Чемезов Сергей Викторович,Чемезов Сергей Викторович,exact,100.0
AFLT,Чиханчин Андрей Юрьевич,Чиханчин Андрей Юрьевич,exact,100.0
AFLT,Шадаев Максут Игоревич,Шадаев Максут Игоревич,exact,100.0
AGRO,Липатов Тимур Владимирович,Липатов Тимур Владимирович,exact,100.0
AKRN,Беликов Игорь Вячеславович,Беликов Игорь Вячеславович,exact,100.0
AKRN,Гавриков Владимир Викторович,Гавриков Владимир Викторович,exact,100.0
AKRN,Данильченко Нина Викторовна,Данильченко Нина Викторовна,exact,100.0
AKRN,Дынкин Александр Александрович,Дынкин Александр Александрович,exact,100.0
AKRN,Кантолинский Михаил Иосифович,Кантолинский Михаил Иосифович,exact,100.0
AKRN,Колосовский Андрей Леонидович,Колосовский Андрей Леонидович,exact,100.0
AKRN,Корнышев Олег Александрович,Корнышев Олег Александрович,exact,100.0
AKRN,Куницкий Владимир Яковлевич,Куницкий Владимир Яковлевич,exact,100.0
AKRN,Попов Александр Валериевич,Попов Александр Валериевич,exact,100.0
AKRN,Швалюк Валерий Петрович,Швалюк Валерий Петрович,exact,100.0
ALRS,Багынанов Павел Николаевич,Багынанов Павел Николаевич,exact,100.0
ALRS,Григорьев Павел Анатольевич,Григорьев Павел Анатольевич,exact,100.0
ALRS,Григорьева Евгения Васильевна,Григорьева Евгения Васильевна,exact,100.0
ALRS,Донец Андрей Иванович,Донец Андрей Иванович,exact,100.0
ALRS,Дяченко Сергей Николаевич,Дяченко Сергей Николаевич,exact,100.0
ALRS,Жондоров Валерий Алексеевич,Жондоров Валерий Алексеевич,exact,100.0
ALRS,Иванов Сергей Сергеевич,Иванов Сергей Сергеевич,exact,100.0
ALRS,Маринычев Павел Алексеевич,Маринычев Павел Алексеевич,exact,100.0
ALRS,Моисеев Алексей Владимирович,Моисеев Алексей Владимирович,exact,100.0
ALRS,Николаев Айсен Сергеевич,Николаев Айсен Сергеевич,exact,100.0
ALRS,Николаев Игорь Иванович,Николаев Игорь Иванович,exact,100.0
ALRS,Павленко Сергей Витальевич,Павленко Сергей Витальевич,exact,100.0
ALRS,Рюмин Андрей Валерьевич,Рюмин Андрей Валерьевич,exact,100.0
ALRS,Силуанов Антон Германович,Силуанов Антон Германович,exact,100.0
ALRS,Фрадков Пётр Михайлович,Фрадков Пётр Михайлович,exact,100.0
APTK,Кузин Александр Владимирович,Кузин Александр Владимирович,exact,100.0
AQUA,Александров Владимир Валерьевич,Александров Владимир Валерьевич,exact,100.0
AQUA,Аюпова Сайёра Якуповна,Аюпова Сайёра Якуповна,exact,100.0
AQUA,Благирев Алексей Павлович,Благирев Алексей Павлович,exact,100.0
AQUA,Василенко Анна Геннадьевна,Василенко Анна Геннадьевна,exact,100.0
AQUA,Васильков Дмитрий Олегович,Васильков Дмитрий Олегович,exact,100.0
AQUA,Кащеев Роман Витальевич,Кащеев Роман Витальевич,exact,100.0
AQUA,Марченко Андрей Александрович,Марченко Андрей Александрович,exact,100.0
AQUA,Погуляев Владислав Юрьевич,Погуляев Владислав Юрьевич,exact,100.0
AQUA,Соснов Илья Геннадьевич,Соснов Илья Геннадьевич,exact,100.0
AQUA,Чернова Екатерина Анатольевна,Чернова Екатерина Анатольевна,exact,100.0
ASTR,Прянишников Николай Николаевич,Прянишников Николай Николаевич,exact,100.0
ASTR,Сивцев Илья Игоревич,Сивцев Илья Игоревич,exact,100.0
ASTR,Фролов Денис Владимирович,Фролов Денис Владимирович,exact,100.0
BANEP,Стрельцов Тимофей Михайлович,Стрельцов Тимофей Михайлович,exact,100.0
BELU,Белокопытов Николай Владимирович,Белокопытов Николай Владимирович,exact,100.0
BELU,Гукасян Мелине Генриковна,Гукасян Мелине Генриковна,exact,100.0
BELU,Иконников Александр Вячеславович,Иконников Александр Вячеславович,exact,100.0
BELU,Крачковский Александр Борисович,Крачковский Александр Борисович,exact,100.0
BELU,Купцов Сергей Александрович,Купцов Сергей Александрович,exact,100.0
BELU,Мечетин Александр Анатольевич,Мечетин Александр Анатольевич,exact,100.0
BELU,Молчанов Сергей Витальевич,Молчанов Сергей Витальевич,exact,100.0
BELU,Ордовский-Танаевский Бланко Ростислав,Ордовский-Танаевский Бланко Ростислав,exact,100.0
BELU,Прохоров Константин Анатольевич,Прохоров Константин Анатольевич,exact,100.0
BSPB,Иванникова Елена Викторовна,Иванникова Елена Викторовна,exact,100.0
BSPB,Савельев Александр Васильевич,Савельев Александр Васильевич,exact,100.0
CBOM,Маликова Дина Ринатовна,Маликова Дина Ринатовна,exact,100.0
CHMF,Мордашов Алексей Александрович,Мордашов Алексей Александрович,exact,100.0
CHMF,Шевелёв Александр Анатольевич,Шевелёв Александр Анатольевич,exact,100.0
CHMK,Капнин Владимир Викторович,Капнин Владимир Викторович,exact,100.0
CIAN,Григорьев Дмитрий Константинович,Григорьев Дмитрий Константинович,exact,100.0
CIAN,Мельников Максим Анатольевич,Мельников Максим Анатольевич,exact,100.0
DATA,Бушуева Екатерина Андреевна,Бушуева Екатерина,core_exact,100.0
DATA,Гревцев Виктор Викторович,Гревцев Виктор Викторович,exact,100.0
DATA,Жуков Андрей,Жуков Андрей,exact,100.0
DATA,Муницына Мария Анатольевна,Муницына Мария Анатольевна,exact,100.0
DATA,Пустовой Максим Владимирович,Пустовой Максим Владимирович,exact,100.0
DELI,Алгульян Даниил Валерьевич,Алгульян Даниил Валерьевич,exact,100.0
DELI,Артюх Константин Юрьевич,Артюх Константин Юрьевич,exact,100.0
DELI,Белотуркин Александр,Белотуркин Александр,exact,100.0
DELI,Бехтина Елена Александровна,Бехтина Елена Александровна,exact,100.0
DELI,Гюванч Донмез,Гюванч Донмез,exact,100.0
DELI,Коновальчук Виталий,Коновальчук Виталий,exact,100.0
DELI,Лойко Михаил,Лойко Михаил,exact,100.0
DELI,Меликян Артур Борисович,Меликян Артур Борисович,exact,100.0
DELI,Полещук Ярослав Николаевич,Полещук Ярослав Николаевич,exact,100.0
DELI,Саволайнен Ольга Викторовна,Саволайнен Ольга Викторовна,exact,100.0
DELI,Садовин Владимир Альбертович,Садовин Владимир Альбертович,exact,100.0
DELI,Чарухин Денис Юрьевич,Чарухин Денис Юрьевич,exact,100.0
DELI,Чораян Григорий Ованесович,Чораян Григорий Ованесович,exact,100.0
DIAS,Бабкин Алексей Анатольевич,Бабкин Алексей Анатольевич,exact,100.0
DIAS,Бочкарев Сергей Викторович,Бочкарев Сергей Викторович,exact,100.0
