feature,lower,upper,bound_type
education_bachelor_or_higher,0.0,1.0,theoretical
education_master_or_higher,0.0,1.0,theoretical
education_doctoral,0.0,1.0,theoretical
has_mba_emba,0.0,1.0,theoretical
has_foreign_education,0.0,1.0,theoretical
has_professional_retraining,0.0,1.0,theoretical
has_law_education,0.0,1.0,theoretical
has_economics_education,0.0,1.0,theoretical
publications_count,0.0,100.0,artificial
has_research_experience,0.0,1.0,theoretical
research_experience_years,0.0,40.0,artificial
patents_count,0.0,20.0,artificial
experience_years_same_sector,0.0,60.0,artificial
experience_years_same_industry,0.0,60.0,artificial
experience_years_same_industry_group,0.0,60.0,artificial
professional_experience_years,0.0,100.0,artificial
has_experience_same_sector,0.0,1.0,theoretical
has_experience_same_industry,0.0,1.0,theoretical
has_experience_same_industry_group,0.0,1.0,theoretical
has_other_company_management,0.0,1.0,theoretical
current_company_experience_years,0.0,50.0,artificial
