ticker,education_bachelor_or_higher,education_master_or_higher,education_doctoral,has_mba_emba,has_foreign_education,has_professional_retraining,has_law_education,has_economics_education,publications_count,has_research_experience,research_experience_years,patents_count,experience_years_same_sector,experience_years_same_industry,experience_years_same_industry_group,professional_experience_years,has_experience_same_sector,has_experience_same_industry,has_experience_same_industry_group,has_other_company_management,current_company_experience_years
ABIO,0.8888888888888888,0.8888888888888888,0.4444444444444444,0.2222222222222222,0.0,0.0,0.0,0.3333333333333333,0.005,0.5555555555555556,0.1416666666666667,0.005555555555555556,0.19074074074074077,0.12037037037037036,0.14629629629629629,0.2688888888888889,1.0,1.0,1.0,0.7777777777777778,0.13777777777777778
AFKS,1.0,1.0,0.5555555555555556,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.7777777777777778,0.0,0.5555555555555556,0.013888888888888888,0.0,0.07037037037037036,0.020370370370370372,0.06666666666666667,0.13666666666666666,1.0,1.0,1.0,0.6666666666666666,0.024444444444444446
AFLT,0.8571428571428571,0.8571428571428571,0.35714285714285715,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.14285714285714285,0.5,0.14285714285714285,0.14285714285714285,0.017857142857142856,0.0,0.10595238095238094,0.03809523809523809,0.04047619047619048,0.16428571428571428,0.5714285714285714,0.2857142857142857,0.35714285714285715,0.7857142857142857,0.038571428571428576
AGRO,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.28,1.0,1.0,1.0,1.0,0.1
AKRN,0.9,0.9,0.4,0.0,0.0,0.0,0.1,0.5,0.002,0.4,0.15999999999999998,0.0,0.4116666666666666,0.39,0.4116666666666666,0.387,0.9,0.9,0.9,0.9,0.3
ALRS,0.8666666666666667,0.8666666666666667,0.26666666666666666,0.13333333333333333,0.26666666666666666,0.3333333333333333,0.13333333333333333,0.6,0.0,0.13333333333333333,0.0,0.0,0.11111111111111112,0.11111111111111112,0.11111111111111112,0.234,0.8666666666666667,0.8666666666666667,0.8666666666666667,0.7333333333333333,0.10133333333333333
APTK,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.075,0.0,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.45,1.0,1.0,1.0,1.0,0.12
AQUA,0.9,0.7,0.2,0.4,0.3,0.0,0.0,1.0,0.001,0.1,0.0,0.0,0.13166666666666665,0.09333333333333334,0.1,0.264,0.9,0.9,0.9,1.0,0.076
ASTR,0.6666666666666666,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.1611111111111111,0.13888888888888887,0.1611111111111111,0.2966666666666667,1.0,1.0,1.0,1.0,0.05333333333333334
BANEP,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.0,0.0,0.0,0.4,0.4,0.4,0.24,1.0,1.0,1.0,1.0,0.0
BELU,0.8888888888888888,0.7777777777777778,0.2222222222222222,0.2222222222222222,0.4444444444444444,0.0,0.1111111111111111,0.7777777777777778,0.0,0.2222222222222222,0.0,0.0,0.21851851851851853,0.2074074074074074,0.21851851851851853,0.24000000000000002,1.0,1.0,1.0,0.8888888888888888,0.2111111111111111
BSPB,1.0,1.0,0.0,0.0,0.5,0.0,0.0,0.5,0.0,0.5,0.05,0.0,0.7583333333333333,0.7583333333333333,0.7583333333333333,0.625,1.0,1.0,1.0,0.5,0.75
CBOM,1.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,0.05,1.0,0.0,0.0,0.6,0.6,0.6,0.41,1.0,1.0,1.0,1.0,0.0
CHMF,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.5583333333333333,0.5666666666666667,0.385,1.0,1.0,1.0,1.0,0.16
CHMK,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.15,0.45,0.45,0.45,0.41,1.0,1.0,1.0,1.0,0.22
