ticker,name,role,education_secondary,education_bachelor,education_master,education_doctoral,education_level_unknown,has_mba_emba,has_foreign_education,has_professional_retraining,has_law_education,has_economics_education,publications_count,publications_count_is_lower_bound,has_research_experience,research_experience_years,patents_count,patents_count_is_lower_bound,experience_years_same_sector,experience_years_same_industry,experience_years_same_industry_group,professional_experience_years,has_experience_same_sector,has_experience_same_industry,has_experience_same_industry_group,has_other_company_management,current_company_experience_years,is_ceo
ABIO,Александров Дмитрий Андреевич,"Член СД по CSV; не подтвержден как член Совета директоров ПАО ""Артген"" в годовом отчете за 2024 год",0,0,0,1,0,0,0,0,0,0,0.0,0,1,0,0.0,0,0,0,0,21,1,1,1,1,0,False
ABIO,Богуславский Дмитрий Эдгардович,"Член Совета директоров ПАО ""Артген""",0,0,0,1,0,0,0,0,0,1,0.0,0,1,22,0.0,0,17,10,10,17,1,1,1,1,10,False
ABIO,Деев Роман Вадимович,"Член Совета директоров ПАО ""Артген""; директор по науке ПАО ""Артген""",0,0,0,1,0,0,0,0,0,0,2.0,1,1,11,0.0,0,14,6,6,33,1,1,1,0,6,False
ABIO,Исаев Андрей Александрович,"Член Совета директоров ПАО ""Артген""",0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,9,5,9,29,1,1,1,1,5,False
ABIO,Исаев Артур Александрович,"Председатель Совета директоров ПАО ""Артген""",0,0,1,0,0,1,0,0,0,1,2.0,1,1,0,1.0,1,23,23,23,28,1,1,1,1,23,False
ABIO,Киселев Сергей Львович,"Член Совета директоров ПАО ""Артген""",0,0,0,1,0,0,0,0,0,0,,1,1,18,0.0,0,29,10,20,29,1,1,1,0,10,False
ABIO,Масюк Сергей Владимирович,"Генеральный директор ПАО ""Артген""",0,0,0,0,1,0,0,0,0,0,0.0,0,0,0,0.0,0,9,9,9,9,1,1,1,1,6,True
ABIO,Мауэр Константин Николаевич,"Член Совета директоров ПАО ""Артген"", независимый директор",0,0,1,0,0,1,0,0,0,1,0.0,0,0,0,0.0,0,0,0,0,42,1,1,1,1,0,False
ABIO,Примак Алексей Евгеньевич,"Член Совета директоров ПАО ""Артген""",0,0,1,0,0,0,0,0,0,0,0.0,0,0,0,0.0,0,2,2,2,34,1,1,1,1,2,False
AFKS,Васадзе Леван Шиоевич,Член СД,0,0,1,0,0,1,1,0,0,1,0.0,0,0,0,0.0,0,24,0,22,24,1,1,1,0,0,False
AFKS,Волошин Александр Стальевич,Член СД,0,0,1,0,0,0,0,0,0,1,0.0,0,0,0,0.0,0,1,1,1,18,1,1,1,1,1,False
AFKS,Вьюгин Олег Вячеславович,Член СД,0,0,0,1,0,0,0,0,0,0,0.0,0,1,5,0.0,0,3,3,3,3,1,1,1,1,3,False
AFKS,Евтушенков Владимир Петрович,Председатель СД,0,0,0,1,0,0,0,0,0,1,0.0,0,1,0,0.0,0,0,0,0,0,1,1,1,0,0,False
AFKS,Евтушенков Феликс Владимирович,Первый вице-президент + Член СД,0,0,1,0,0,0,0,1,1,1,0.0,0,0,0,0.0,0,0,0,0,0,1,1,1,0,0,False
