feature,lower,upper,bound_type,missing_count,below_lower_count,above_upper_count,transform,lower_transformed,upper_transformed,active,exclusion_reason,std_normalized
education_bachelor_or_higher,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.4955584684569377
education_master_or_higher,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.4996653658033936
education_doctoral,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.40374145227281744
has_mba_emba,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.3211479671625189
has_foreign_education,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.37897013565989274
has_professional_retraining,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.1664566146658342
has_law_education,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.3021424191933218
has_economics_education,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.48856817675606545
publications_count,0.0,100.0,artificial,5,0,9,identity,0.0,100.0,True,,0.0964721788548962
has_research_experience,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.3450779593620399
research_experience_years,0.0,40.0,artificial,0,0,4,identity,0.0,40.0,True,,0.0885664060606517
patents_count,0.0,20.0,artificial,2,0,2,identity,0.0,20.0,True,,0.05527364961061393
experience_years_same_sector,0.0,60.0,artificial,0,0,2,identity,0.0,60.0,True,,0.17363526738430277
experience_years_same_industry,0.0,60.0,artificial,0,0,2,identity,0.0,60.0,True,,0.1675847434761071
experience_years_same_industry_group,0.0,60.0,artificial,0,0,2,identity,0.0,60.0,True,,0.1700864750005803
professional_experience_years,0.0,100.0,artificial,0,0,0,identity,0.0,100.0,True,,0.14631376687087322
has_experience_same_sector,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.257336174837135
has_experience_same_industry,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.27840180930497216
has_experience_same_industry_group,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.26173958485720283
has_other_company_management,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.4507390588921224
current_company_experience_years,0.0,50.0,artificial,0,0,4,identity,0.0,50.0,True,,0.14670783745973884
