feature,lower,upper,bound_type,missing_count,below_lower_count,above_upper_count,transform,lower_transformed,upper_transformed,active,exclusion_reason,std_normalized
education_bachelor_or_higher,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.46645730520854484
education_master_or_higher,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.4800030524933465
education_doctoral,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.4279604925109129
has_mba_emba,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.38682515382753957
has_foreign_education,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.4279604925109129
has_professional_retraining,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.21398024625545645
has_law_education,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.307715200613562
has_economics_education,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.5018281596637456
publications_count,0.0,100.0,artificial,0,0,0,identity,0.0,100.0,True,,0.004142604514212304
has_research_experience,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.37013016223531015
research_experience_years,0.0,40.0,artificial,0,0,0,identity,0.0,40.0,True,,0.08709548042592516
patents_count,0.0,20.0,artificial,0,0,0,identity,0.0,20.0,True,,0.03109715368056966
experience_years_same_sector,0.0,60.0,artificial,0,0,0,identity,0.0,60.0,True,,0.21116066830455865
experience_years_same_industry,0.0,60.0,artificial,0,0,0,identity,0.0,60.0,True,,0.2062675357304108
experience_years_same_industry_group,0.0,60.0,artificial,0,0,0,identity,0.0,60.0,True,,0.21005309714999115
professional_experience_years,0.0,100.0,artificial,0,0,0,identity,0.0,100.0,True,,0.1462117486998752
has_experience_same_sector,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.1373479845664612
has_experience_same_industry,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.1373479845664612
has_experience_same_industry_group,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.1373479845664612
has_other_company_management,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.39456007866693216
current_company_experience_years,0.0,50.0,artificial,0,0,0,identity,0.0,50.0,True,,0.18104398105687766
