ticker,name,yandex_count,is_ceo,source_positions,media_score
SBER,Herman Gref,119863.0,False,Director/Board Member,100.0
SVCB,Joel Raymond Lautier,57977.0,False,Director/Board Member,95.26518185258809
SVAV,Adil Shamil Ogly Shirinov,43429.0,False,Chairman,92.75571602105614
RTKM,Dmitriy Chernyshenko,28786.0,False,Director/Board Member,89.18385069224098
YDEX,Ольга Филипук,25617.0,False,Директор по контенту Плюса и Фантеха,88.17082784248385
SBER,Anton Siluanov,24712.0,False,Chairman,87.85843307096182
ROSN,Igor Sechin,24361.0,False,Director/Board Member,87.73418257261021
SBER,Dmitriy Chernyshenko,23944.0,False,Director/Board Member,87.58422075326534
PRMD,Пётр Белый,23409.0,False,председатель совета директоров,87.38795237010102
SBER,Maxim Oreshkin,21579.0,False,Director/Board Member,86.68095351719468
NVTK,Михельсон Леонид Викторович,19088.0,True,Член СД | Генеральный директор,85.61558919473364
FLOT,Вербо Александр Михайлович,18601.0,False,CFO,85.39111863136401
ETLN,Волошин Александр Стальевич,17399.0,False,Член СД,84.81091130019875
ROSN,Alexander Uss,15631.0,False,Director/Board Member,83.88021807042655
MTSS,Regina von Flemming,15368.0,False,Director/Board Member,83.73283948286343
RTKM,Andrey Kostin,15333.0,False,Director/Board Member,83.71303646654827
RASP,Регина Фон Флемминг,14446.0,False,независимый член совета директоров,83.19548119342947
MAGN,Марцинович Валерий Ярославович,14064.0,False,Член СД,82.96272266987937
SMLT,Stanislav Shekshnia,13709.0,False,Director/Board Member,82.74067722851048
SMLT,Oskar Hartmann,13483.0,False,Director/Board Member,82.59630313510003
NLMK,Vladimir Lisin,13325.0,False,Chairman,82.49392452568819
POLY,Vitaly Nesis,13293.0,True,Chief Executive Officer,82.47304185394665
GAZP,Симдякин Вадим Михайлович,12927.0,False,Член Правления,82.23055544441439
NKNC,Марат Инилович Фаляхов,12593.0,True,Генеральный директор; член совета директоров,82.00320255260027
SVCB,Mikhail Kuchment,12567.0,False,Chairman,81.98525222950911
BELU,Белокопытов Николай Владимирович,12465.0,False,Председатель СД+CFO,81.91447130146959
SBER,Lev Khasis,12240.0,False,Director/Board Member,81.75626694647445
SBER,Alexander Kuleshov,12131.0,False,Director/Board Member,81.67857708801661
SBER,Bella Zlatkis,11875.0,False,Director/Board Member,81.4933329946244
MGNT,Meleshina Anna Yurievna,11525.0,False,Director/Board Member,81.23350174673642
AFKS,Волошин Александр Стальевич,11489.0,False,Член СД,81.2063300391963
TGKA,Станишевская Раиса Владимировна,11387.0,False,Executive Committee: главный бухгалтер (Comptroller / Controller / Auditor),81.128878702202
PIKK,Сергей Гордеев,11374.0,False,член совета директоров; президент,81.11895764790391
LSNGP,Краинский Даниил Владимирович,10977.0,False,Член СД,80.81039433824618
OZPH,Мария Ульянова,10719.0,False,Директор по развитию. член СД,80.60382569589164
YDEX,Алексей Кудрин,10641.0,False,Советник по корпоративному развитию Яндекса,80.5403951356255
SGZH,Mikhail Shamolin,10011.0,False,Director/Board Member,80.01034732296651
ROSN,Alexander Novak,8254.0,False,Director/Board Member,78.33427351203099
MTSS,Pavel Voronin,8032.0,False,Chief Tech/Sci/R&D Officer,78.0974875049915
SBER,Sergey Ignatiev,7968.0,False,Director/Board Member,78.02800876257663
OZPH,Ольга Ларина,7926.0,False,Коммерческий директор. член СД,77.98210942980704
ZAYM,Мехтиев Эльман Октай оглу,7886.0,False,независимый директор,77.93816912062543
SMLT,Alexey Kozlov,7841.0,False,Corporate Officer/Principal,77.88846910655734
MTSS,Valentin Yumashev,7736.0,False,Director/Board Member,77.77138438612357
YDEX,Елена Бубнова,7732.0,False,Руководитель Поиска Яндекса,77.766892656434
SMLT,Dmitry Golubkov,7550.0,False,Chairman,77.56002203791816
ENPG,Данилов Александр,7467.0,False,Директор по правовым вопросам,77.46401890148532
SGZH,Oksana Tikhonova,7415.0,False,Human Resources Officer,77.4033271913892
MVID,Сергей Ануфриев,7394.0,False,Директор по проектам,77.37869635671258
SBER,Gennady Melikian,7348.0,False,Director/Board Member,77.32449778472333
NLMK,Stanislav Shekshnia,7305.0,False,Director/Board Member,77.27352623892145
SBER,Mikhail Kovalchuk,7190.0,False,Director/Board Member,77.13571877616727
SBER,Nikolay Kudryavtsev,7040.0,False,Director/Board Member,76.95262004650279
FEES,Краинский Даниил Владимирович,6918.0,False,Член Правления,76.80079990407621
SVAV,Vladislav Baumgertner,6856.0,False,Director/Board Member,76.72261634922286
SMLT,Mikhail Kenin,6835.0,False,Director/Board Member,76.69597446403009
ROSN,Maxim Oreshkin,6786.0,False,Director/Board Member,76.6334904211581
IVAT,Иодковский Эдмунд Феликсович,6575.0,True,"Генеральный директор, Член СД",76.35916976623936
MGNT,Andrey Bodrov,6560.0,False,Chief Investment Officer,76.33933444797412
TRMK,Кузьминов Ярослав Иванович,6406.0,False,Независимый член Совета директоров ПАО «ТМК»,76.13302835185964
LSNGP,Мольский Алексей Валерьевич,6344.0,False,Член СД,76.04856647399919
GAZP,Максимцев Игорь Анатольевич,6310.0,False,Член СД,76.0018975894161
RNFT,Sergey Stepashin,6296.0,False,Director/Board Member,75.9826078687166
ELFV,Рожина Лариса Николаевна,6145.0,False,Руководитель подразделения внутреннего аудита,75.77178530419977
VSEH,Денисенко Сергей,6110.0,False,Руководитель PR-направления ООО «ВсеИнструменты.ру»,75.72217990327562
SFIN,Mikhail Gorbachev,5801.0,False,Corporate Secretary,75.27148910967506
IVAT,Зокин Андрей Александрович,5756.0,False,Член СД,75.20385926818709
YDEX,Александр Чачава,5720.0,False,Неисполнительный директор,75.14937368172312
MOEX,Dmitry Shcheglov,5697.0,False,Chief Operating Officer,75.11438365487071
TGKB,Грабчак Евгений Петрович,5432.0,False,Председатель Совета директоров (с 28.06.2024; избран в Совет директоров 11.06.2024),74.70072921676986
MOEX,Sergey Lykov,5270.0,False,Director/Board Member,74.4377956687746
TTLK,Минниханов Рифкат Нургалиевич,5235.0,False,Член Совета директоров ПАО «Таттелеком» с 15 мая 2024 года; президент Академии наук Республики Татарстан,74.37992815231267
AFLT,Ликсутов Максим Станиславович,5192.0,False,Член СД,74.30830190885288
MTSS,Ruslan Sultanovich Ibragimov,5177.0,False,General Counsel,74.28317640075244
GLTR,Кайрат Итемгенов,5087.0,False,Член СД,74.13087766386688
YDEX,Роман Маресов,5063.0,False,Руководитель e-commerce-сервисов Яндекса,74.08980958691681
VSMO,Ледер Олег Оттович,5058.0,False,Заместитель генерального директора по маркетингу и сбыту,74.08122924235492
MGNT,Dmitry Ivanov,5041.0,False,Director of Finance/CFO,74.05199250638671
SGZH,Andrey Frolov,4904.0,False,Director/Board Member,73.8127161217293
MSRS,Irina Alekhina,4799.0,False,Investor Relations Contact,73.6247607981768
ALRS,Силуанов Антон Германович,4781.0,False,Председатель СД,73.59212751460494
SPBE,Pavel Vladimirovich Sokolov,4725.0,False,Director/Board Member,73.48981051380781
SVCB,Mikhail Olegovich Avtukhov,4702.0,False,Corporate Officer/Principal,73.44743577960843
SMLT,Alexander Prygunkov,4693.0,False,Director/Board Member,73.4307979243897
MRKV,Alexander Ilyich Gavrilov,4573.0,True,Chief Executive Officer,73.20585961993076
SNGS,Vladimir Bogdanov,4536.0,True,Chief Executive Officer,73.13531206111303
GAZP,Патрушев Дмитрий Николаевич,4523.0,False,Член СД,73.11038842250933
DELI,Гюванч Донмез,4512.0,False,Член СД,73.08924318621033
GAZP,Мантуров Денис Валентинович,4447.0,False,Член СД,72.96323219673864
EUTR,Шемякин Борис Олегович,4414.0,False,Член СД,72.8985508397116
OZPH,Артем Бездухов,4377.0,False,Директор по персоналу,72.82545188957074
NKHP,Ksenia Bolomatova,4313.0,False,Director/Board Member,72.69753967136559
SGZH,Ali Uzdenov,4268.0,False,Compensation Committee,72.60646003122437
YDEX,Александр Аникин,4240.0,False,Руководитель направления Ridetech; генеральный директор ООО «Яндекс.Такси»,72.54930243398584
VTBR,Костин Андрей Леонидович,4230.0,True,Член Наблюдательного совета Банка ВТБ (ПАО); исполнительный директор; Президент – Председатель Правления Банка ВТБ (ПАО),72.5287975092278
OKEY,Андрей Кришнев,4210.0,True,Генеральный директор,72.48764186675437
GAZP,Миллер Алексей Борисович,4208.0,True,"CEO, член СД",72.48351555689356
MOEX,Yuriy Denisov,4198.0,True,Chief Executive Officer,72.46285455263775
RTKM,Alexey Yakovitsky,4118.0,False,Director/Board Member,72.29577304413174
OZPH,Андрей Горшков,4110.0,False,Директор по экспорту и управлению брендовым портфелем. член СД,72.27888675527754
MSNG,Elena Mikhailova,3992.0,False,Chairman,72.02592364327717
RASP,Александр Фролов,3966.0,False,член совета директоров; совладелец,71.96918149815879
GAZP,Новак Александр Валентинович,3955.0,False,Член СД,71.94506316812742
SELG,Aleksandr Khrushch,3927.0,False,Chairman,71.88336714551103
NVTK,Андрей Акимов,3858.0,False,Член СД,71.72943326834533
MAGN,Осеевский Михаил Эдуардович,3848.0,False,Член СД,71.70689593838479
SNGS,Valery Nikolaevich Egorov,3786.0,False,Director/Board Member,71.5658439414251
VTBR,Осеевский Михаил Эдуардович,3742.0,False,Член Наблюдательного совета Банка ВТБ (ПАО); независимый директор,71.46433446946658
IVAT,Смирнов Максим Сергеевич,3729.0,False,Член СД,71.43411458960041
PLZL,Михаил Гордин,3714.0,False,независимый член совета директоров; ректор,71.3991143457592
FEES,Мольский Алексей Валерьевич,3703.0,False,Член Правления,71.37335756639722
TATN,Маганов Наиль Ульфатович,3700.0,True,Член Совета директоров; Executive Committee (MarketScreener): генеральный директор / CEO,71.36631971421447
VTBR,Каганов Вениамин Шаевич,3688.0,False,Член Наблюдательного совета Банка ВТБ (ПАО); независимый директор,71.33811114134984
AFLT,Прокофьев Станислав Евгеньевич,3586.0,False,Член СД,71.09456578187287
AFKS,Кузьминов Ярослав Иванович,3557.0,False,Член СД,71.02405718455434
SELG,Konstantin Beyrit,3527.0,False,Director/Board Member,70.95050990267389
MTLR,Ekaterina Silayeva,3520.0,False,Human Resources Officer,70.9332588898659
RTKM,Mikhail Eduardovitch Oseevskiy,3515.0,True,Chief Executive Officer,70.92091572721799
ENPG,Джеймс Шваб,3513.0,False,Член СД,70.91597354666152
FLOT,Франк Сергей Оттович,3491.0,False,Председатель СД,70.86142315152829
DELI,Саволайнен Ольга Викторовна,3447.0,False,Член СД,70.75128368957658
YDEX,Андрей Себрант,3446.0,False,Директор по стратегическому маркетингу,70.7487642168704
OZPH,Наталья Андреева,3385.0,False,"Член СД, независимый директор",70.59367775887549
FIXP,Миронова Елена,3349.0,False,Руководитель по работе с инвесторами и СМИ,70.50083490479594
SMLT,Andrey Ivanenko,3279.0,False,Director/Board Member,70.31741579760764
