ticker,education_index_equal,education_index_critic,education_index_max_variance,education_index_max_variance_capped
ABIO,38.70194003527337,45.307620090576776,88.88888888888889,46.666666666666664
AFKS,40.7363315696649,51.346506103281186,100.0,64.44444444444444
AFLT,27.099773242630388,35.51496412035623,85.71428571428571,48.57142857142858
AGRO,45.85714285714285,61.53000536209902,100.0,100.0
AKRN,42.2015873015873,47.959952418955204,90.0,46.00000000000001
ALRS,36.2,43.671565922341976,86.66666666666667,54.66666666666667
APTK,50.45238095238095,62.47365751092823,100.0,80.0
AQUA,37.93333333333334,48.526454954648536,90.0,66.0
ASTR,38.78306878306878,47.218131269672504,66.66666666666666,53.333333333333336
BANEP,35.476190476190474,40.07404398572624,100.0,40.0
BELU,41.19576719576719,50.484072516959166,88.88888888888889,62.222222222222236
BSPB,50.95238095238095,55.951599231201286,100.0,60.0
CBOM,58.38095238095238,72.54222745245131,100.0,80.0
CHMF,53.507936507936506,67.64908753278867,100.0,100.0
CHMK,48.238095238095234,54.67442538515914,100.0,40.0
CIAN,40.134920634920626,50.43163554667477,100.0,70.0
DATA,29.882539682539676,36.11565781648271,100.0,48.0
DELI,37.67887667887668,46.79763521309721,76.92307692307693,53.846153846153854
DIAS,36.659863945578216,41.62211215134149,85.71428571428571,42.85714285714286
DVEC,27.510052910052906,30.18024602093358,46.666666666666664,24.000000000000004
ELFV,35.90035273368606,40.07735475234079,77.77777777777779,42.222222222222214
ENPG,37.12280701754386,45.51725727920342,84.21052631578947,56.84210526315789
ETLN,43.38095238095237,54.74921280216645,100.0,68.57142857142857
EUTR,39.59761904761904,48.31956516617147,90.0,56.00000000000001
FEES,38.87085137085137,46.521495042959124,90.9090909090909,50.909090909090914
FESH,45.607142857142854,53.782274651833305,100.0,50.0
FIVE,44.93452380952381,57.194469365715115,100.0,80.0
FIXP,31.333333333333336,34.31022837476299,33.33333333333333,33.33333333333333
FLOT,40.92063492063492,45.59899141580826,66.66666666666666,46.666666666666664
GAZP,44.31385281385282,51.45967884095851,100.0,55.45454545454545
GEMC,19.92063492063492,19.923864489253216,16.666666666666664,16.666666666666664
GLTR,36.34920634920635,45.40705091998933,84.61538461538461,56.92307692307692
GMKN,40.57142857142858,48.29054033150354,100.0,60.00000000000001
HEAD,35.095238095238095,44.19911505021361,100.0,57.777777777777786
HNFG,31.421356421356418,37.49232493704498,72.72727272727273,47.27272727272728
HYDR,25.61904761904762,27.085203421778857,33.33333333333333,13.333333333333334
IRAO,41.586580086580085,50.03287293524312,100.0,58.18181818181819
IVAT,32.86507936507937,38.49529042470968,77.77777777777779,37.77777777777778
KAZT,44.782051282051285,49.417390306722496,100.0,55.38461538461539
KZOS,45.14285714285713,51.85951460276168,100.0,60.00000000000001
LEAS,41.71428571428571,50.06782079442586,100.0,80.0
LENT,41.01587301587302,48.74990918088772,100.0,60.00000000000001
LKOH,50.142857142857146,55.61214964352712,100.0,60.00000000000001
LSNGP,35.36385836385838,42.588216774779795,92.3076923076923,50.76923076923078
LSRG,43.78042328042328,49.786525025931866,100.0,51.11111111111111
MAGN,40.68333333333333,50.695328965131395,100.0,62.0
MBNK,55.809523809523796,69.4584392579783,100.0,100.0
MDMG,41.04761904761905,50.65511110883206,100.0,60.0
MGNT,36.27936507936508,43.38056296835451,100.0,52.0
MGTSP,38.9404761904762,47.236317006835975,87.5,62.5
MOEX,36.23526077097506,41.70029593120443,71.42857142857143,44.28571428571429
MRKC,35.896825396825385,42.42305366743543,85.71428571428571,47.14285714285714
MRKP,35.37037037037037,40.929790852137586,83.33333333333334,43.333333333333336
MRKU,33.611640211640214,39.02618821325073,80.0,41.333333333333336
MRKV,33.156462585034014,38.361867347790536,85.71428571428571,41.42857142857143
MRKZ,36.81845238095238,45.30529268579022,100.0,57.50000000000001
MSNG,27.272108843537413,29.091968706066044,42.857142857142854,21.42857142857143
MSRS,36.03174603174603,42.41047461076073,93.33333333333333,49.333333333333336
MTLR,36.75396825396825,43.159970204344425,83.33333333333334,50.0
MTSS,36.563492063492056,43.836958929438765,90.0,52.0
MVID,19.477248677248674,22.48998523513802,13.333333333333334,17.333333333333336
NKHP,25.1547619047619,26.36689487306681,30.0,18.0
NKNC,32.49007936507937,36.826273529334784,25.0,31.66666666666667
NLMK,35.861471861471856,42.01566680414645,63.63636363636363,43.63636363636364
NMTP,15.88095238095238,12.452864937743772,0.0,0.0
NVTK,33.27513227513227,39.02860762665828,66.66666666666666,40.0
OGKB,28.27513227513227,30.244874487416677,41.66666666666667,16.666666666666668
OKEY,24.357142857142858,24.835770070963193,0.0,10.0
OZON,25.857142857142858,28.566890830974444,0.0,20.0
OZPH,26.38988095238095,28.147182231325935,0.0,21.25
PHOR,18.054232804232804,22.007466896041418,27.77777777777778,18.888888888888893
PIKK,19.688888888888894,22.13040249420207,13.333333333333334,14.666666666666666
PLZL,28.844444444444445,36.98389800722923,40.0,40.0
POLY,32.0595238095238,40.10169533802884,50.0,50.0
POSI,22.49206349206349,25.02584098253943,11.11111111111111,17.77777777777778
PRMD,33.185185185185176,40.51230709860631,55.55555555555556,44.44444444444445
QIWI,35.9047619047619,44.97475397436999,0.0,60.00000000000001
RASP,33.16190476190476,40.370510028470974,60.0,48.0
RENI,32.76190476190476,33.59472259495489,0.0,20.0
RKKE,25.442063492063493,25.301243355989644,20.0,10.000000000000002
RNFT,33.67460317460317,37.7903176928299,50.0,31.666666666666664
ROSN,29.790816326530607,31.498499023184028,28.57142857142857,22.857142857142858
RTKM,37.05102040816327,43.52563192065123,78.57142857142857,42.857142857142854
RUAL,33.50340136054422,39.65544042080138,71.42857142857143,48.57142857142857
SBER,35.067019400352734,40.980551788137745,66.66666666666666,44.44444444444444
SELG,25.988095238095234,25.931504222464746,8.333333333333332,11.666666666666666
SFIN,31.869841269841263,38.039682498856344,70.0,46.0
SGZH,26.897354497354492,29.282494687136758,13.333333333333334,22.666666666666664
SMLT,29.003968253968253,33.31818751356377,33.33333333333333,38.33333333333333
SNGS,30.41558441558442,30.375933729213344,45.45454545454545,21.81818181818182
SOFL,27.314285714285713,31.798058747870545,30.0,32.0
SPBE,28.529100529100525,30.44498963447545,53.333333333333336,21.333333333333336
SVAV,40.08730158730159,46.47911431256175,50.0,50.0
SVCB,32.366300366300365,37.3256256618905,69.23076923076923,43.07692307692308
T,23.50440917107584,24.42262349515536,0.0,11.111111111111112
TATN,28.54761904761905,30.727551095797523,50.0,27.777777777777775
TGKA,26.743589743589745,31.361556627279963,53.84615384615385,24.615384615384617
TGKB,23.453781512605037,23.96845926212815,23.52941176470588,11.76470588235294
TRMK,31.728571428571424,33.489527353148304,46.666666666666664,25.333333333333336
TRNFP,18.345238095238088,20.243596592457465,30.0,15.999999999999998
TTLK,20.42554799697657,21.521653521822696,28.57142857142857,15.238095238095237
UGLD,28.87698412698413,29.81296067790671,50.0,20.0
UPRO,18.962585034013607,21.0822262318166,28.57142857142857,15.238095238095237
VKCO,23.058673469387752,23.611001165201674,21.428571428571427,12.85714285714286
VSEH,20.235978835978834,19.50286490681875,6.666666666666667,8.0
VSMO,26.650264550264552,29.50728517620319,33.33333333333333,22.666666666666668
VTBR,17.22285714285714,18.72992261360905,28.000000000000004,20.000000000000007
WUSH,21.955026455026456,22.9505434445191,41.66666666666667,16.666666666666668
YDEX,18.233024691358025,19.566285627015002,30.555555555555557,13.333333333333336
ZAYM,25.42380952380952,27.40109448378696,50.0,24.000000000000004
