sample,method,feature,mean,std,p025,p975,selection_frequency,successful_repetitions
all_managers,critic,current_company_experience_years,0.033874961492215194,0.004695172800933256,0.024861660512759315,0.0417277964507127,1.0,200
all_managers,critic,education_bachelor_or_higher,0.08269222478411434,0.0048386582842399745,0.07478022488783165,0.09384579374909256,1.0,200
all_managers,critic,education_doctoral,0.06475719557693983,0.0046015956480961314,0.05663268796773868,0.07399561930309505,1.0,200
all_managers,critic,education_master_or_higher,0.08178041503562232,0.004384579980522587,0.07337083226354746,0.09134240416807463,1.0,200
all_managers,critic,experience_years_same_industry,0.03942975155474156,0.003721419990882132,0.03220509727024499,0.046902785479828527,1.0,200
all_managers,critic,experience_years_same_industry_group,0.038625505570829326,0.003686681600264009,0.03159432442531733,0.04622244847004528,1.0,200
all_managers,critic,experience_years_same_sector,0.03887879261079645,0.003582915925233787,0.03193357099695219,0.04596737783094317,1.0,200
all_managers,critic,has_economics_education,0.08390128812356566,0.00550409090500693,0.07464703095266156,0.09385324212280853,1.0,200
all_managers,critic,has_experience_same_industry,0.04178291964207575,0.006601773336891929,0.029869879178734238,0.05459408520049254,1.0,200
all_managers,critic,has_experience_same_industry_group,0.037139721870135284,0.005903159733355733,0.026072517119206984,0.04943260218764583,1.0,200
all_managers,critic,has_experience_same_sector,0.03430253928767339,0.0051191085518128504,0.023702821515165902,0.044588213219264136,1.0,200
all_managers,critic,has_foreign_education,0.08621429142441835,0.008207253122414654,0.07019330855826492,0.102530465602641,1.0,200
all_managers,critic,has_law_education,0.04636569863959738,0.008552693715641487,0.03361112738221395,0.0633721081461066,1.0,200
all_managers,critic,has_mba_emba,0.07717269925554873,0.008151490847993501,0.060169529851003954,0.09166856680162994,1.0,200
all_managers,critic,has_other_company_management,0.07123113661652242,0.006983389200678204,0.059721468047532374,0.0858497438147474,1.0,200
all_managers,critic,has_professional_retraining,0.021702375076258672,0.0037294569910463564,0.013493153336865562,0.02879877141390309,1.0,200
all_managers,critic,has_research_experience,0.062253545304567594,0.006112282913329739,0.050741332910723906,0.07411643745115883,1.0,200
all_managers,critic,patents_count,0.008078557825801433,0.0020612468365151324,0.0031630763482908032,0.011612453651261194,1.0,200
all_managers,critic,professional_experience_years,0.0281446537158093,0.0022300262171003624,0.02389659637732102,0.03253822468262292,1.0,200
all_managers,critic,publications_count,0.010631617010766427,0.0027018420242575273,0.005580711042583554,0.01559557136952466,1.0,200
all_managers,critic,research_experience_years,0.01104010958200057,0.0018027074746849476,0.007613988564040831,0.014412741677081327,1.0,200
all_managers,max_variance,current_company_experience_years,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,education_bachelor_or_higher,0.5,0.5012547071170854,0.0,1.0,0.5,200
all_managers,max_variance,education_doctoral,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,education_master_or_higher,0.42,0.49479704991341167,0.0,1.0,0.42,200
all_managers,max_variance,experience_years_same_industry,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,experience_years_same_industry_group,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,experience_years_same_sector,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,has_economics_education,0.07,0.2557872859983309,0.0,1.0,0.07,200
all_managers,max_variance,has_experience_same_industry,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,has_experience_same_industry_group,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,has_experience_same_sector,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,has_foreign_education,0.01,0.09974842727441165,0.0,0.0,0.01,200
all_managers,max_variance,has_law_education,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,has_mba_emba,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,has_other_company_management,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,has_professional_retraining,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,has_research_experience,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,patents_count,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,professional_experience_years,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,publications_count,0.0,0.0,0.0,0.0,0.0,200
all_managers,max_variance,research_experience_years,0.0,0.0,0.0,0.0,0.0,200
ceo,critic,current_company_experience_years,0.033133402173440796,0.0030522217201095934,0.02771525644309122,0.03878680015754937,1.0,200
ceo,critic,education_bachelor_or_higher,0.08011824287289816,0.005640661759492673,0.07010202594989152,0.09143512746690194,1.0,200
ceo,critic,education_doctoral,0.0765307099592597,0.006191904930206623,0.06606816449027492,0.08842224496378794,1.0,200
ceo,critic,education_master_or_higher,0.08173616887975665,0.004949655669595571,0.07270218801039696,0.0908855619417953,1.0,200
ceo,critic,experience_years_same_industry,0.033388572395327686,0.002392835508563603,0.029281039347456884,0.038477745691256796,1.0,200
ceo,critic,experience_years_same_industry_group,0.033606057843262246,0.0027139770425481467,0.029155251819202498,0.038914576283155526,1.0,200
ceo,critic,experience_years_same_sector,0.034240503271673425,0.0027302280115649637,0.029903568465014893,0.03969544723093039,1.0,200
ceo,critic,has_economics_education,0.09345767294324694,0.004338109639517086,0.0859242481935463,0.1033045259728039,1.0,200
ceo,critic,has_experience_same_industry,0.02194372790552612,0.011407782993220398,0.0,0.037496100055141965,0.835,200
