ticker,education_bachelor_or_higher,education_master_or_higher,education_doctoral,has_mba_emba,has_foreign_education,has_professional_retraining,has_law_education,has_economics_education,publications_count,has_research_experience,research_experience_years,patents_count,experience_years_same_sector,experience_years_same_industry,experience_years_same_industry_group,professional_experience_years,has_experience_same_sector,has_experience_same_industry,has_experience_same_industry_group,has_other_company_management,current_company_experience_years
ABIO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AFKS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AFLT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AGRO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AKRN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ALRS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
APTK,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
AQUA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ASTR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BELU,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
BSPB,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CHMF,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
CIAN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DATA,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DELI,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DIAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
DVEC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ELFV,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ENPG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
ETLN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
EUTR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FEES,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FESH,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FIVE,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FIXP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
FLOT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GAZP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GEMC,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GLTR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
GMKN,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HEAD,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HNFG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
HYDR,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IRAO,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
IVAT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KAZT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
KZOS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LEAS,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LENT,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSNGP,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
LSRG,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
