ticker,education_bachelor_or_higher,education_master_or_higher,education_doctoral,has_mba_emba,has_foreign_education,has_professional_retraining,has_law_education,has_economics_education,publications_count,has_research_experience,research_experience_years,patents_count,experience_years_same_sector,experience_years_same_industry,experience_years_same_industry_group,professional_experience_years,has_experience_same_sector,has_experience_same_industry,has_experience_same_industry_group,has_other_company_management,current_company_experience_years
ABIO,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.09,1.0,1.0,1.0,1.0,0.12
AFKS,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.05,0.1,0.11,1.0,1.0,1.0,1.0,0.06
AFLT,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.08,1.0,1.0,1.0,1.0,0.06
AGRO,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.28,1.0,1.0,1.0,1.0,0.1
AKRN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.95,0.7333333333333333,0.95,0.57,1.0,1.0,1.0,1.0,0.4
ALRS,1.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.29,1.0,1.0,1.0,1.0,0.04
APTK,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.075,0.0,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.45,1.0,1.0,1.0,1.0,0.12
AQUA,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.28,1.0,1.0,1.0,1.0,0.2
ASTR,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.23,1.0,1.0,1.0,1.0,0.1
BELU,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.05,0.05,0.05,0.03,1.0,1.0,1.0,1.0,0.0
BSPB,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.1,0.0,0.8,0.8,0.8,0.82,1.0,1.0,1.0,1.0,0.82
CHMF,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5,0.48333333333333334,0.5,0.33,1.0,1.0,1.0,1.0,0.0
CIAN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.23,1.0,1.0,1.0,1.0,0.02
DATA,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.15,0.3333333333333333,0.29,1.0,1.0,1.0,1.0,0.04
DELI,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2,1.0,1.0,1.0,1.0,0.08
DIAS,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.85,0.85,0.85,0.55,1.0,1.0,1.0,1.0,0.28
DVEC,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.25,0.36666666666666664,0.22,1.0,1.0,1.0,1.0,0.0
ELFV,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.16,1.0,1.0,1.0,1.0,0.06
ENPG,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.35,1.0,1.0,1.0,1.0,0.18
ETLN,1.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.01,1.0,0.0,0.0,0.1,0.1,0.1,0.06,1.0,1.0,1.0,1.0,0.04
EUTR,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.35,1.0,1.0,1.0,1.0,0.12
FEES,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2833333333333333,0.25,0.2833333333333333,0.2,1.0,1.0,1.0,1.0,0.06
FESH,1.0,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.025,0.0,0.4166666666666667,0.016666666666666666,0.4166666666666667,0.44,1.0,1.0,1.0,1.0,0.0
FIVE,1.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.4,1.0,1.0,1.0,1.0,0.28
FIXP,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.36,1.0,1.0,1.0,1.0,0.1
FLOT,1.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6166666666666667,0.6166666666666667,0.6166666666666667,0.37,1.0,1.0,1.0,1.0,0.28
GAZP,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4,0.4,0.4,0.29,1.0,1.0,1.0,0.0,0.48
GEMC,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.37,1.0,1.0,1.0,1.0,0.04
GLTR,1.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.01,1.0,1.0,1.0,1.0,0.02
GMKN,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.47,1.0,1.0,1.0,1.0,0.3
HEAD,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.14,1.0,1.0,1.0,1.0,0.08
HNFG,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.09,1.0,1.0,1.0,0.0,0.12
HYDR,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.13,1.0,1.0,1.0,1.0,0.22
IRAO,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.15,1.0,1.0,1.0,1.0,0.04
IVAT,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.21666666666666667,0.06666666666666667,0.21666666666666667,0.13,1.0,1.0,1.0,1.0,0.0
KAZT,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.48333333333333334,0.48333333333333334,0.48333333333333334,0.29,1.0,1.0,1.0,0.0,0.58
KZOS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.01,0.0,0.0,0.05,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.42,1.0,1.0,1.0,1.0,0.4
LEAS,1.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.22,1.0,1.0,1.0,0.0,0.44
LENT,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.4666666666666667,0.2833333333333333,0.2833333333333333,0.46,1.0,1.0,1.0,1.0,0.12
LSNGP,1.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.26666666666666666,0.26666666666666666,0.26666666666666666,0.16,1.0,1.0,1.0,0.0,0.32
LSRG,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6,0.6,0.6,0.36,1.0,1.0,1.0,0.0,0.72
MAGN,1.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.025,0.0,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.13,1.0,1.0,1.0,1.0,0.08
MBNK,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.6833333333333333,0.6833333333333333,0.6833333333333333,0.41,1.0,1.0,1.0,1.0,0.26
MDMG,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.01,1.0,0.0,0.3,0.31666666666666665,0.31666666666666665,0.31666666666666665,0.39,1.0,1.0,1.0,1.0,0.0
MGNT,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.06666666666666667,0.06666666666666667,0.18,1.0,1.0,1.0,1.0,0.08
MGTSP,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.31,1.0,1.0,1.0,1.0,0.08
MOEX,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6166666666666667,0.18333333333333332,0.18333333333333332,0.37,1.0,1.0,1.0,1.0,0.16
MRKC,1.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.3,0.3,0.3,0.3,1.0,1.0,1.0,1.0,0.22
MRKP,1.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.15,1.0,1.0,1.0,1.0,0.06
MRKU,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.1,1.0,1.0,1.0,1.0,0.02
MRKV,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.2,0.2,0.2,0.12,1.0,1.0,1.0,1.0,0.04
MRKZ,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.2,1.0,1.0,1.0,1.0,0.02
MSNG,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18333333333333332,0.18333333333333332,0.18333333333333332,0.2,1.0,1.0,1.0,1.0,0.22
MSRS,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.08,1.0,1.0,1.0,1.0,0.02
MTLR,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.5833333333333334,0.5833333333333334,0.5833333333333334,0.4,1.0,1.0,1.0,1.0,0.42
MTSS,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4166666666666667,0.4166666666666667,0.4166666666666667,0.25,1.0,1.0,1.0,0.0,0.3
MVID,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.15,0.15,0.15,0.22,1.0,1.0,1.0,1.0,0.18
NKHP,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.01,1.0,0.025,0.0,0.55,0.55,0.55,0.33,1.0,1.0,1.0,0.0,0.66
NKNC,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.03,0.0,0.0,0.0,0.35,0.25,0.35,0.21,1.0,1.0,1.0,1.0,0.08
NLMK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.016666666666666666,0.016666666666666666,0.016666666666666666,0.16,1.0,1.0,1.0,1.0,0.02
NMTP,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.25,0.25,0.29,1.0,1.0,1.0,0.0,0.3
