ticker,education_index_equal,education_index_critic,education_index_max_variance,education_index_max_variance_capped
ABIO,22.19047619047619,17.422552587681682,0.0,0.0
AFKS,44.857142857142854,58.331354424766566,100.0,60.00000000000001
AFLT,35.9047619047619,39.352116731935205,0.0,40.0
AGRO,45.85714285714285,58.868165724041646,100.0,60.00000000000001
AKRN,45.73015873015873,42.77005905092818,0.0,40.0
ALRS,42.047619047619044,47.282642673318556,100.0,60.00000000000001
APTK,50.45238095238095,59.63749874650857,100.0,80.0
AQUA,41.57142857142858,45.94682154678372,100.0,60.00000000000001
ASTR,27.76190476190476,27.023719580877987,100.0,20.0
BELU,34.19047619047619,41.00903838917574,100.0,60.00000000000001
BSPB,53.047619047619044,50.734861652545526,0.0,60.00000000000001
CHMF,51.49206349206348,62.78602250190405,100.0,60.00000000000001
CIAN,32.38095238095238,33.72685395477607,0.0,40.0
DATA,43.55555555555555,51.43134377992376,0.0,40.0
DELI,32.285714285714285,34.793962196779574,100.0,40.0
DIAS,58.95238095238097,65.3759343941262,100.0,100.0
DVEC,43.82539682539682,51.82273665797341,100.0,80.0
ELFV,30.80952380952381,32.687308223237835,0.0,40.0
ENPG,42.76190476190476,50.93833838027155,100.0,80.0
ETLN,49.57142857142856,63.707814240073745,100.0,100.0
EUTR,43.666666666666664,47.98943214143516,100.0,20.0
FEES,47.98412698412699,58.01474483952608,100.0,100.0
FESH,53.88095238095237,64.909946675563,100.0,100.0
FIVE,39.9047619047619,45.374622889149556,100.0,40.0
FIXP,43.14285714285714,47.6128198624476,100.0,20.0
FLOT,50.0,57.207647074684374,100.0,60.00000000000001
GAZP,42.71428571428571,46.30040520278905,100.0,80.0
GEMC,46.95238095238095,59.5550140680579,100.0,60.00000000000001
GLTR,38.47619047619047,49.23321485962759,100.0,40.0
GMKN,40.57142857142858,45.05744867252453,100.0,60.00000000000001
HEAD,35.80952380952381,42.037612961016954,100.0,60.00000000000001
HNFG,26.952380952380956,25.394288690693195,0.0,40.0
HYDR,42.38095238095237,48.067867899788666,0.0,60.00000000000001
IRAO,36.38095238095238,42.040988150654094,0.0,40.0
IVAT,36.33333333333333,42.423977977376964,100.0,60.00000000000001
KAZT,49.14285714285713,56.49650507192956,100.0,60.00000000000001
KZOS,45.14285714285713,48.143016123858594,100.0,60.00000000000001
LEAS,41.71428571428571,45.922443231004635,100.0,60.00000000000001
LENT,41.01587301587302,45.396831583822824,100.0,60.00000000000001
LSNGP,44.19047619047619,48.72851237427942,100.0,60.00000000000001
LSRG,42.285714285714285,41.6991865611217,100.0,60.00000000000001
MAGN,44.92857142857142,55.49994823075984,0.0,80.0
MBNK,55.809523809523796,65.7296683410902,100.0,60.00000000000001
MDMG,45.95238095238095,49.73544707566842,0.0,80.0
MGNT,31.396825396825395,33.08581600694556,0.0,40.0
MGTSP,40.42857142857142,45.121279447428535,100.0,60.00000000000001
MOEX,35.77777777777777,35.99223459833849,0.0,40.0
MRKC,49.61904761904762,55.20155271399134,0.0,40.0
MRKP,41.95238095238095,44.537603320544264,0.0,40.0
MRKU,36.285714285714285,39.60280967327135,0.0,40.0
MRKV,46.476190476190474,57.031474267390436,100.0,100.0
MRKZ,34.61904761904761,38.33608233896025,0.0,40.0
MSNG,37.95238095238095,43.088193810563524,0.0,40.0
MSRS,35.71428571428571,41.64037632316045,0.0,40.0
MTLR,50.33333333333333,56.198878049474196,100.0,80.0
MTSS,32.38095238095238,29.04703232178363,0.0,40.0
MVID,51.66666666666665,62.537508258743365,100.0,60.00000000000001
NKHP,50.83333333333334,55.14020634522141,100.0,100.0
NKNC,44.14285714285714,51.95264778651046,100.0,80.0
NLMK,20.142857142857142,15.921960142112143,0.0,0.0
NMTP,20.666666666666668,11.505202315241084,0.0,0.0
NVTK,32.0,33.518706992973705,0.0,40.0
OGKB,23.015873015873016,17.954792843301746,0.0,0.0
OKEY,27.42857142857143,26.910490003873587,100.0,20.0
OZPH,30.857142857142854,26.62995336116331,0.0,20.0
PHOR,41.95238095238095,46.14580060687954,100.0,60.00000000000001
PIKK,10.238095238095237,17.125485499215316,0.0,0.0
PLZL,28.380952380952383,24.745752926596726,0.0,0.0
POLY,46.857142857142854,55.05755311827553,100.0,60.00000000000001
POSI,25.14285714285714,18.029951982707075,0.0,20.0
PRMD,39.95238095238095,48.67601391152162,0.0,60.00000000000001
QIWI,35.9047619047619,42.68863796063202,100.0,20.0
RASP,20.238095238095237,15.999476829849058,0.0,0.0
RENI,32.76190476190476,30.503775168311996,100.0,20.0
RKKE,34.44444444444444,31.528308171601825,100.0,20.0
RNFT,24.38095238095238,18.708418952304097,0.0,0.0
ROSN,43.66666666666666,51.65593470601969,100.0,80.0
RTKM,48.02380952380952,57.531101451457666,100.0,100.0
RUAL,25.33333333333333,41.71002620948692,100.0,60.00000000000001
SBER,45.8095238095238,51.422732810406934,100.0,80.0
SELG,31.71428571428571,23.824896405729937,0.0,0.0
SFIN,17.38095238095238,9.262844681336265,0.0,0.0
SGZH,14.666666666666666,7.570679132920537,0.0,0.0
SMLT,34.99999999999999,41.469766207345266,100.0,60.00000000000001
SNGS,52.23809523809524,57.39939848390747,100.0,80.0
SOFL,33.33333333333333,41.06821708661303,100.0,20.0
SPBE,16.19047619047619,8.599169047721231,0.0,0.0
SVAV,66.57142857142857,80.70801686543365,100.0,100.0
SVCB,49.142857142857146,58.50043366272085,100.0,80.0
T,21.96825396825397,17.17180854938771,0.0,0.0
TATN,32.142857142857146,23.98841654767983,0.0,0.0
TGKA,23.809523809523807,13.741618621724694,0.0,0.0
TGKB,23.71428571428571,18.4394138187615,0.0,0.0
TRMK,43.38095238095237,47.49306430105552,0.0,80.0
TRNFP,32.95238095238095,30.2383991955281,0.0,0.0
TTLK,45.19047619047618,55.978808618930046,100.0,100.0
UGLD,50.523809523809526,53.02294393416599,0.0,80.0
UPRO,15.04761904761905,7.827801611620712,0.0,0.0
VKCO,23.047619047619047,17.98339693700602,0.0,0.0
VSEH,22.19047619047619,17.41092390396081,0.0,0.0
VSMO,23.61904761904762,18.37229542373829,0.0,0.0
VTBR,33.71428571428571,40.26701373535718,100.0,80.0
WUSH,25.460317460317455,24.316749958165666,0.0,20.0
YDEX,22.666666666666664,12.970251185624173,0.0,0.0
ZAYM,17.71428571428571,9.627658962521926,0.0,0.0
