feature,lower,upper,bound_type,label
education_bachelor_or_higher,0.0,1.0,theoretical,Бакалавриат и выше
education_master_or_higher,0.0,1.0,theoretical,Магистратура / специалитет и выше
education_doctoral,0.0,1.0,theoretical,Учёная степень
has_mba_emba,0.0,1.0,theoretical,MBA / EMBA
has_foreign_education,0.0,1.0,theoretical,Зарубежное образование
has_professional_retraining,0.0,1.0,theoretical,Профессиональная переподготовка
has_law_education,0.0,1.0,theoretical,Юридическое образование
has_economics_education,0.0,1.0,theoretical,Экономическое образование
publications_count,0.0,100.0,artificial,Количество публикаций
has_research_experience,0.0,1.0,theoretical,Наличие исследовательского опыта
research_experience_years,0.0,40.0,artificial,Годы исследовательского опыта
patents_count,0.0,20.0,artificial,Количество патентов
experience_years_same_sector,0.0,60.0,artificial,Годы в том же секторе
experience_years_same_industry,0.0,60.0,artificial,Годы в той же отрасли
experience_years_same_industry_group,0.0,60.0,artificial,Годы в той же отраслевой группе
professional_experience_years,0.0,100.0,artificial,Общий профессиональный стаж
has_experience_same_sector,0.0,1.0,theoretical,Опыт в том же секторе
has_experience_same_industry,0.0,1.0,theoretical,Опыт в той же отрасли
has_experience_same_industry_group,0.0,1.0,theoretical,Опыт в той же отраслевой группе
has_other_company_management,0.0,1.0,theoretical,Управление другой компанией
current_company_experience_years,0.0,50.0,artificial,Стаж в текущей компании
