sample,feature,lower,upper,bound_type,missing_count,below_lower_count,above_upper_count,transform,lower_transformed,upper_transformed,active,exclusion_reason,std_normalized
all_managers,education_bachelor_or_higher,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.4955584684569377
all_managers,education_master_or_higher,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.4996653658033936
all_managers,education_doctoral,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.40374145227281744
all_managers,has_mba_emba,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.3211479671625189
all_managers,has_foreign_education,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.37897013565989274
all_managers,has_professional_retraining,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.1664566146658342
all_managers,has_law_education,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.3021424191933218
all_managers,has_economics_education,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.48856817675606545
all_managers,publications_count,0.0,100.0,artificial,5,0,9,identity,0.0,100.0,True,,0.0964721788548962
all_managers,has_research_experience,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.3450779593620399
all_managers,research_experience_years,0.0,40.0,artificial,0,0,4,identity,0.0,40.0,True,,0.0885664060606517
all_managers,patents_count,0.0,20.0,artificial,2,0,2,identity,0.0,20.0,True,,0.05527364961061393
all_managers,experience_years_same_sector,0.0,60.0,artificial,0,0,2,identity,0.0,60.0,True,,0.17363526738430277
all_managers,experience_years_same_industry,0.0,60.0,artificial,0,0,2,identity,0.0,60.0,True,,0.1675847434761071
all_managers,experience_years_same_industry_group,0.0,60.0,artificial,0,0,2,identity,0.0,60.0,True,,0.1700864750005803
all_managers,professional_experience_years,0.0,100.0,artificial,0,0,0,identity,0.0,100.0,True,,0.14631376687087322
all_managers,has_experience_same_sector,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.257336174837135
all_managers,has_experience_same_industry,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.27840180930497216
all_managers,has_experience_same_industry_group,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.26173958485720283
all_managers,has_other_company_management,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.4507390588921224
all_managers,current_company_experience_years,0.0,50.0,artificial,0,0,4,identity,0.0,50.0,True,,0.14670783745973884
ceo,education_bachelor_or_higher,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.46645730520854484
ceo,education_master_or_higher,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.4800030524933465
ceo,education_doctoral,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.4279604925109129
ceo,has_mba_emba,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.38682515382753957
ceo,has_foreign_education,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.4279604925109129
ceo,has_professional_retraining,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.21398024625545645
ceo,has_law_education,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.307715200613562
ceo,has_economics_education,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.5018281596637456
ceo,publications_count,0.0,100.0,artificial,0,0,0,identity,0.0,100.0,True,,0.004142604514212304
ceo,has_research_experience,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.37013016223531015
ceo,research_experience_years,0.0,40.0,artificial,0,0,0,identity,0.0,40.0,True,,0.08709548042592516
ceo,patents_count,0.0,20.0,artificial,0,0,0,identity,0.0,20.0,True,,0.03109715368056966
ceo,experience_years_same_sector,0.0,60.0,artificial,0,0,0,identity,0.0,60.0,True,,0.21116066830455865
ceo,experience_years_same_industry,0.0,60.0,artificial,0,0,0,identity,0.0,60.0,True,,0.2062675357304108
ceo,experience_years_same_industry_group,0.0,60.0,artificial,0,0,0,identity,0.0,60.0,True,,0.21005309714999115
ceo,professional_experience_years,0.0,100.0,artificial,0,0,0,identity,0.0,100.0,True,,0.1462117486998752
ceo,has_experience_same_sector,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.1373479845664612
ceo,has_experience_same_industry,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.1373479845664612
ceo,has_experience_same_industry_group,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.1373479845664612
ceo,has_other_company_management,0.0,1.0,theoretical,0,0,0,identity,0.0,1.0,True,,0.39456007866693216
ceo,current_company_experience_years,0.0,50.0,artificial,0,0,0,identity,0.0,50.0,True,,0.18104398105687766
