sample,scenario,method,feature,weight
all_managers,caps_x0.5,equal,education_bachelor_or_higher,0.047619047619047616
all_managers,caps_x0.5,equal,education_master_or_higher,0.047619047619047616
all_managers,caps_x0.5,equal,education_doctoral,0.047619047619047616
all_managers,caps_x0.5,equal,has_mba_emba,0.047619047619047616
all_managers,caps_x0.5,equal,has_foreign_education,0.047619047619047616
all_managers,caps_x0.5,equal,has_professional_retraining,0.047619047619047616
all_managers,caps_x0.5,equal,has_law_education,0.047619047619047616
all_managers,caps_x0.5,equal,has_economics_education,0.047619047619047616
all_managers,caps_x0.5,equal,publications_count,0.047619047619047616
all_managers,caps_x0.5,equal,has_research_experience,0.047619047619047616
all_managers,caps_x0.5,equal,research_experience_years,0.047619047619047616
all_managers,caps_x0.5,equal,patents_count,0.047619047619047616
all_managers,caps_x0.5,equal,experience_years_same_sector,0.047619047619047616
all_managers,caps_x0.5,equal,experience_years_same_industry,0.047619047619047616
all_managers,caps_x0.5,equal,experience_years_same_industry_group,0.047619047619047616
all_managers,caps_x0.5,equal,professional_experience_years,0.047619047619047616
all_managers,caps_x0.5,equal,has_experience_same_sector,0.047619047619047616
all_managers,caps_x0.5,equal,has_experience_same_industry,0.047619047619047616
all_managers,caps_x0.5,equal,has_experience_same_industry_group,0.047619047619047616
all_managers,caps_x0.5,equal,has_other_company_management,0.047619047619047616
all_managers,caps_x0.5,equal,current_company_experience_years,0.047619047619047616
all_managers,caps_x0.5,critic,education_bachelor_or_higher,0.07287452606483834
all_managers,caps_x0.5,critic,education_master_or_higher,0.07199131893031357
all_managers,caps_x0.5,critic,education_doctoral,0.057425560799748095
all_managers,caps_x0.5,critic,has_mba_emba,0.06903739378648642
all_managers,caps_x0.5,critic,has_foreign_education,0.07754898000020485
all_managers,caps_x0.5,critic,has_professional_retraining,0.019606006785613594
all_managers,caps_x0.5,critic,has_law_education,0.04257994419389338
all_managers,caps_x0.5,critic,has_economics_education,0.0738034974669914
