iteration,sample_size,unique_companies,status,reason
0,64,37,ok,
1,64,40,ok,
2,64,39,ok,
3,64,39,ok,
4,64,37,ok,
5,64,35,ok,
6,64,45,ok,
7,64,37,ok,
8,64,38,ok,
9,64,40,ok,
10,64,47,ok,
11,64,39,ok,
12,64,31,ok,
13,64,40,ok,
14,64,44,ok,
15,64,38,ok,
16,64,37,ok,
17,64,42,ok,
18,64,43,ok,
19,64,44,ok,
20,64,40,ok,
21,64,37,ok,
22,64,38,ok,
23,64,42,ok,
24,64,37,ok,
25,64,45,ok,
26,64,38,ok,
27,64,40,ok,
28,64,43,ok,
29,64,42,ok,
30,64,41,ok,
31,64,40,ok,
32,64,43,ok,
33,64,40,ok,
34,64,41,ok,
35,64,40,ok,
36,64,36,ok,
37,64,38,ok,
38,64,41,ok,
39,64,42,ok,
40,64,44,ok,
41,64,42,ok,
42,64,48,ok,
43,64,40,ok,
44,64,41,ok,
45,64,37,ok,
46,64,41,ok,
47,64,39,ok,
48,64,41,ok,
49,64,40,ok,
50,64,44,ok,
51,64,42,ok,
52,64,41,ok,
53,64,39,ok,
54,64,36,ok,
55,64,38,ok,
56,64,40,ok,
57,64,42,ok,
58,64,42,ok,
59,64,41,ok,
60,64,39,ok,
61,64,38,ok,
62,64,42,ok,
63,64,38,ok,
64,64,42,ok,
65,64,44,ok,
66,64,43,ok,
67,64,41,ok,
68,64,44,ok,
69,64,43,ok,
70,64,41,ok,
71,64,44,ok,
72,64,39,ok,
73,64,42,ok,
74,64,38,ok,
75,64,44,ok,
76,64,37,ok,
77,64,42,ok,
78,64,38,ok,
79,64,41,ok,
80,64,40,ok,
81,64,35,ok,
82,64,37,ok,
83,64,36,ok,
84,64,42,ok,
85,64,38,ok,
86,64,41,ok,
87,64,40,ok,
88,64,43,ok,
89,64,40,ok,
90,64,42,ok,
91,64,42,ok,
92,64,41,ok,
93,64,39,ok,
94,64,40,ok,
95,64,41,ok,
96,64,41,ok,
97,64,37,ok,
98,64,43,ok,
99,64,43,ok,
100,64,42,ok,
101,64,39,ok,
102,64,41,ok,
103,64,44,ok,
104,64,42,ok,
105,64,42,ok,
106,64,42,ok,
107,64,43,ok,
108,64,39,ok,
109,64,44,ok,
110,64,38,ok,
111,64,38,ok,
112,64,41,ok,
113,64,41,ok,
114,64,40,ok,
115,64,40,ok,
116,64,38,ok,
117,64,41,ok,
118,64,43,ok,
119,64,42,ok,
120,64,42,ok,
121,64,39,ok,
122,64,37,ok,
123,64,39,ok,
124,64,37,ok,
125,64,40,ok,
126,64,42,ok,
127,64,40,ok,
128,64,37,ok,
129,64,41,ok,
130,64,41,ok,
131,64,41,ok,
132,64,37,ok,
133,64,43,ok,
134,64,43,ok,
135,64,38,ok,
136,64,44,ok,
137,64,38,ok,
138,64,39,ok,
139,64,39,ok,
140,64,43,ok,
141,64,43,ok,
142,64,42,ok,
143,64,38,ok,
144,64,38,ok,
145,64,38,ok,
146,64,40,ok,
147,64,40,ok,
148,64,40,ok,
149,64,42,ok,
150,64,41,ok,
151,64,42,ok,
152,64,41,ok,
153,64,41,ok,
154,64,41,ok,
155,64,41,ok,
156,64,44,ok,
157,64,37,ok,
158,64,37,ok,
159,64,34,ok,
160,64,48,ok,
161,64,44,ok,
162,64,35,ok,
163,64,40,ok,
164,64,40,ok,
165,64,38,ok,
166,64,40,ok,
167,64,40,ok,
168,64,41,ok,
169,64,43,ok,
170,64,39,ok,
171,64,37,ok,
172,64,40,ok,
173,64,40,ok,
174,64,40,ok,
175,64,42,ok,
176,64,38,ok,
177,64,37,ok,
178,64,40,ok,
179,64,40,ok,
180,64,40,ok,
181,64,38,ok,
182,64,40,ok,
183,64,37,ok,
184,64,41,ok,
185,64,43,ok,
186,64,37,ok,
187,64,38,ok,
188,64,38,ok,
189,64,40,ok,
190,64,44,ok,
191,64,41,ok,
192,64,44,ok,
193,64,43,ok,
194,64,39,ok,
195,64,43,ok,
196,64,42,ok,
197,64,33,ok,
198,64,41,ok,
199,64,41,ok,
200,64,43,ok,
201,64,47,ok,
202,64,43,ok,
203,64,43,ok,
204,64,42,ok,
205,64,41,ok,
206,64,39,ok,
207,64,39,ok,
208,64,39,ok,
209,64,38,ok,
210,64,41,ok,
211,64,40,ok,
212,64,43,ok,
213,64,41,ok,
214,64,39,ok,
215,64,39,ok,
216,64,42,ok,
217,64,39,ok,
218,64,43,ok,
219,64,42,ok,
220,64,41,ok,
221,64,39,ok,
222,64,40,ok,
223,64,38,ok,
224,64,35,ok,
225,64,41,ok,
226,64,39,ok,
227,64,41,ok,
228,64,42,ok,
229,64,41,ok,
230,64,40,ok,
231,64,36,ok,
232,64,35,ok,
233,64,38,ok,
234,64,45,ok,
235,64,43,ok,
236,64,43,ok,
237,64,42,ok,
238,64,41,ok,
239,64,38,ok,
240,64,40,ok,
241,64,41,ok,
242,64,35,ok,
243,64,39,ok,
244,64,42,ok,
245,64,40,ok,
246,64,41,ok,
247,64,43,ok,
248,64,40,ok,
249,64,44,ok,
250,64,37,ok,
251,64,45,ok,
252,64,44,ok,
253,64,42,ok,
254,64,38,ok,
255,64,41,ok,
256,64,46,ok,
257,64,41,ok,
258,64,40,ok,
259,64,45,ok,
260,64,41,ok,
261,64,40,ok,
262,64,37,ok,
263,64,39,ok,
264,64,41,ok,
265,64,38,ok,
266,64,43,ok,
267,64,40,ok,
268,64,42,ok,
269,64,35,ok,
270,64,42,ok,
271,64,35,ok,
272,64,43,ok,
273,64,39,ok,
274,64,42,ok,
275,64,43,ok,
276,64,39,ok,
277,64,40,ok,
278,64,40,ok,
279,64,43,ok,
280,64,43,ok,
281,64,41,ok,
282,64,40,ok,
283,64,40,ok,
284,64,41,ok,
285,64,44,ok,
286,64,44,ok,
287,64,38,ok,
288,64,46,ok,
289,64,37,ok,
290,64,42,ok,
291,64,43,ok,
292,64,37,ok,
293,64,40,ok,
294,64,37,ok,
295,64,45,ok,
296,64,40,ok,
297,64,37,ok,
298,64,40,ok,
299,64,43,ok,
300,64,38,ok,
301,64,40,ok,
302,64,37,ok,
303,64,38,ok,
304,64,42,ok,
305,64,42,ok,
306,64,41,ok,
307,64,37,ok,
308,64,38,ok,
309,64,43,ok,
310,64,42,ok,
311,64,42,ok,
312,64,38,ok,
313,64,42,ok,
314,64,40,ok,
315,64,37,ok,
316,64,38,ok,
317,64,39,ok,
318,64,41,ok,
319,64,36,ok,
320,64,42,ok,
321,64,41,ok,
322,64,37,ok,
323,64,40,ok,
324,64,41,ok,
325,64,39,ok,
326,64,45,ok,
327,64,45,ok,
328,64,39,ok,
329,64,39,ok,
330,64,44,ok,
331,64,41,ok,
332,64,41,ok,
333,64,40,ok,
334,64,39,ok,
335,64,43,ok,
336,64,38,ok,
337,64,38,ok,
338,64,36,ok,
339,64,42,ok,
340,64,40,ok,
341,64,40,ok,
342,64,43,ok,
343,64,41,ok,
344,64,44,ok,
345,64,37,ok,
346,64,40,ok,
347,64,42,ok,
348,64,39,ok,
349,64,39,ok,
350,64,41,ok,
351,64,40,ok,
352,64,38,ok,
353,64,38,ok,
354,64,43,ok,
355,64,41,ok,
356,64,43,ok,
357,64,42,ok,
358,64,38,ok,
359,64,41,ok,
360,64,38,ok,
361,64,41,ok,
362,64,41,ok,
363,64,39,ok,
364,64,42,ok,
365,64,39,ok,
366,64,44,ok,
367,64,41,ok,
368,64,43,ok,
369,64,41,ok,
370,64,41,ok,
371,64,38,ok,
372,64,42,ok,
373,64,42,ok,
374,64,43,ok,
375,64,40,ok,
376,64,41,ok,
377,64,45,ok,
378,64,39,ok,
379,64,36,ok,
380,64,43,ok,
381,64,40,ok,
382,64,39,ok,
383,64,41,ok,
384,64,43,ok,
385,64,43,ok,
386,64,41,ok,
387,64,41,ok,
388,64,36,ok,
389,64,40,ok,
390,64,44,ok,
391,64,39,ok,
392,64,41,ok,
393,64,38,ok,
394,64,37,ok,
395,64,42,ok,
396,64,44,ok,
397,64,41,ok,
398,64,40,ok,
399,64,40,ok,
400,64,38,ok,
401,64,36,ok,
402,64,42,ok,
403,64,41,ok,
404,64,41,ok,
405,64,43,ok,
406,64,40,ok,
407,64,33,ok,
408,64,39,ok,
409,64,43,ok,
410,64,42,ok,
411,64,41,ok,
412,64,38,ok,
413,64,41,ok,
414,64,38,ok,
415,64,44,ok,
416,64,42,ok,
417,64,40,ok,
418,64,41,ok,
419,64,41,ok,
420,64,40,ok,
421,64,40,ok,
422,64,39,ok,
423,64,42,ok,
424,64,41,ok,
425,64,41,ok,
426,64,41,ok,
427,64,41,ok,
428,64,42,ok,
429,64,40,ok,
430,64,44,ok,
431,64,37,ok,
432,64,40,ok,
433,64,39,ok,
434,64,40,ok,
435,64,45,ok,
436,64,43,ok,
437,64,40,ok,
438,64,41,ok,
439,64,42,ok,
440,64,34,ok,
441,64,38,ok,
442,64,38,ok,
443,64,42,ok,
444,64,39,ok,
445,64,40,ok,
446,64,43,ok,
447,64,41,ok,
448,64,41,ok,
449,64,38,ok,
450,64,40,ok,
451,64,38,ok,
452,64,39,ok,
453,64,41,ok,
454,64,40,ok,
455,64,36,ok,
456,64,42,ok,
457,64,38,ok,
458,64,41,ok,
459,64,44,ok,
460,64,39,ok,
461,64,39,ok,
462,64,37,ok,
463,64,41,ok,
464,64,43,ok,
465,64,39,ok,
466,64,42,ok,
467,64,41,ok,
468,64,40,ok,
469,64,40,ok,
470,64,42,ok,
471,64,35,ok,
472,64,43,ok,
473,64,39,ok,
474,64,39,ok,
475,64,41,ok,
476,64,43,ok,
477,64,39,ok,
478,64,40,ok,
479,64,36,ok,
480,64,37,ok,
481,64,43,ok,
482,64,41,ok,
483,64,48,ok,
484,64,39,ok,
485,64,41,ok,
486,64,42,ok,
487,64,44,ok,
488,64,38,ok,
489,64,37,ok,
490,64,35,ok,
491,64,41,ok,
492,64,45,ok,
493,64,41,ok,
494,64,43,ok,
495,64,38,ok,
496,64,38,ok,
497,64,41,ok,
498,64,37,ok,
499,64,41,ok,
500,64,41,ok,
501,64,43,ok,
502,64,40,ok,
503,64,39,ok,
504,64,40,ok,
505,64,40,ok,
506,64,35,ok,
507,64,42,ok,
508,64,36,ok,
509,64,39,ok,
510,64,45,ok,
511,64,39,ok,
512,64,43,ok,
513,64,39,ok,
514,64,42,ok,
515,64,39,ok,
516,64,46,ok,
517,64,41,ok,
518,64,43,ok,
519,64,41,ok,
520,64,43,ok,
521,64,45,ok,
522,64,45,ok,
523,64,42,ok,
524,64,41,ok,
525,64,42,ok,
526,64,44,ok,
527,64,45,ok,
528,64,37,ok,
529,64,46,ok,
530,64,40,ok,
531,64,42,ok,
