ticker,equal_score,critic_score,equal_rank,critic_rank,score_p025,score_p975,rank_p025,rank_median,rank_p975,top_k_probability
ABIO,51.12994534795086,54.201274932208285,27.0,27.0,42.60179890578713,62.07875253697412,26.0,27.0,30.0,0.0
AFLT,51.10013996229601,53.92795745295602,28.0,28.0,42.74411605728912,61.68076017455776,26.0,28.0,31.0,0.0
AGRO,57.06189971458138,59.386741044610226,5.0,6.0,48.644531598152525,66.97460240740786,3.0,6.0,8.0,0.999
ALRS,52.0586742677058,54.96213129279537,22.0,23.0,43.63831833683456,62.689694647702005,21.0,23.0,24.0,0.0
APTK,68.09759181838396,73.10488544970237,1.0,1.0,67.32424963595976,76.3943168725273,1.0,1.0,1.0,1.0
AQUA,51.71528932758711,54.75354581715494,23.0,25.0,43.20728694197689,62.70851374495214,20.0,24.0,26.0,0.0
ASTR,54.26139657404837,58.227850846391895,9.0,8.0,48.213318862035905,64.79948266939421,7.0,8.0,10.0,0.996
CBOM,43.223586574651094,42.43080716318507,62.0,62.0,37.954009378585816,47.38925298891877,41.95,62.0,63.0,0.004
CIAN,54.486468737699376,57.769951935635454,7.0,9.0,47.25150837932947,64.93882007825597,7.0,9.0,11.0,0.8585
DATA,50.9877819459166,53.87762811617066,29.0,29.0,42.62041323833043,61.54841108939738,26.0,29.0,32.0,0.0
DELI,53.58941148939823,57.018596964071776,12.0,13.0,46.39763027268199,64.14846162471022,12.0,13.0,14.0,0.001
ENPG,54.0831083864118,57.6172127080792,10.0,10.0,47.327259732484926,64.48211465653847,9.0,10.0,11.0,0.889
ETLN,53.54546949504311,57.166544421454816,13.0,12.0,46.39171718258465,64.41902189818069,8.0,12.0,16.0,0.2645
EUTR,51.55595975132003,54.64160999827376,25.0,26.0,43.09848830134054,62.57171066526078,22.0,26.0,28.0,0.0
FEES,51.261381240877434,55.06499393913846,26.0,21.0,43.9245667823579,62.53519845205651,21.0,22.0,26.0,0.0
FESH,52.52672747889161,55.69544548723342,20.0,20.0,44.30050113415334,63.51644233543703,14.0,20.0,22.0,0.0025
FIVE,59.40266991215661,63.038885339240316,2.0,3.0,54.09663575526628,68.91315938879515,2.0,3.0,3.0,1.0
FIXP,50.61271476859856,53.00687439650302,32.0,36.0,41.39356717421112,61.08412524090705,32.0,35.0,38.0,0.0
GAZP,53.85317609929587,56.575878716386676,11.0,17.0,45.37773121186532,64.35085133959504,9.0,17.0,19.0,0.0895
GEMC,45.817914943647935,48.87306458740079,56.0,56.0,36.29832007138407,57.071368581153685,56.0,56.0,60.0,0.0
GLTR,43.09078513314974,41.092291738678036,63.0,63.0,37.48875192959448,44.724362614067694,54.0,63.0,63.0,0.0
GMKN,56.23681325551011,60.864561294556395,6.0,4.0,51.99539581059746,66.43425251426702,4.0,4.0,6.0,1.0
HEAD,53.39852390663873,56.827419951768476,15.0,14.0,46.298655326281704,63.85254350019715,12.0,15.0,17.0,0.0
HNFG,50.30402309288622,53.12273483635608,33.0,33.0,41.52617173854275,61.102155894408234,31.0,34.0,36.0,0.0
HYDR,43.31253105681713,47.50048605512558,60.0,59.0,34.99954342616428,55.84498380296082,59.0,59.0,62.0,0.0
IRAO,53.25301240208879,56.79377683662559,16.0,15.0,45.96420048207972,64.06916625628457,12.0,15.0,17.0,0.0005
IVAT,50.92038334923734,53.51079881636274,30.0,30.0,41.90357969837642,61.49225604743298,28.0,30.0,33.0,0.0
KAZT,52.67064364151122,56.25491380966541,18.0,19.0,45.39928116696255,63.552298816380144,15.0,19.0,19.0,0.0
LSNGP,49.998334610603244,53.428078679050195,35.0,31.0,41.857579392381744,61.293912580510494,28.0,31.0,35.0,0.0
MGTSP,52.54257407031272,56.64843434062941,19.0,16.0,46.14960870320696,63.45383700887892,12.0,17.0,20.0,0.0
MOEX,53.41730456057998,57.269375688610836,14.0,11.0,47.13926901311723,63.82199401673027,9.0,11.0,17.0,0.136
