,count,mean,std,min,2.5%,50%,97.5%,max
spearman_vs_equal,2000.0,0.9848760073260072,0.01854023635068963,0.8215201465201464,0.9639033882783881,0.9876831501831501,0.995970695970696,0.9979853479853479
kendall_tau_b_vs_equal,2000.0,0.9178477182539682,0.02609432762835807,0.7688492063492063,0.863095238095238,0.9186507936507936,0.9593253968253969,0.9771825396825397
mean_abs_rank_shift_vs_equal,2000.0,2.118890625,0.6209318260563427,0.6875,1.125,2.09375,3.4375,5.5625
max_abs_rank_shift_vs_equal,2000.0,9.6205,5.628527330479526,4.0,6.0,8.0,22.0,55.0
top_k_jaccard_vs_equal,2000.0,0.9096340326340325,0.11374016331732754,0.5384615384615384,0.6666666666666666,1.0,1.0,1.0
l1_from_equal_vs_equal,2000.0,0.28285054759640815,0.06827207658800667,0.08405191977027232,0.14982947346255313,0.2829470757138071,0.4215993993249727,0.523308192888756
max_weight_vs_equal,2000.0,0.30523139627532453,0.03996380470289334,0.22397963174850802,0.2433671976708305,0.3001151525733956,0.3904203030055318,0.44521371462497183
spearman_vs_point_critic,2000.0,0.9925065018315017,0.020243856224292218,0.808241758241758,0.973028846153846,0.9967490842490841,0.9995879120879121,0.9999999999999998
kendall_tau_b_vs_point_critic,2000.0,0.957173115079365,0.0284237740831055,0.7738095238095237,0.8928323412698412,0.9632936507936507,0.9910962301587299,1.0
mean_abs_rank_shift_vs_point_critic,2000.0,1.15846875,0.6925337845421721,0.0,0.25,1.03125,2.59375,5.21875
max_abs_rank_shift_vs_point_critic,2000.0,6.6795,7.37115640339843,0.0,1.0,4.0,23.0,55.0
top_k_jaccard_vs_point_critic,2000.0,0.9096340326340325,0.11374016331732754,0.5384615384615384,0.6666666666666666,1.0,1.0,1.0
l1_from_equal_vs_point_critic,2000.0,0.28285054759640815,0.06827207658800667,0.08405191977027232,0.14982947346255313,0.2829470757138071,0.4215993993249727,0.523308192888756
max_weight_vs_point_critic,2000.0,0.30523139627532453,0.03996380470289334,0.22397963174850802,0.2433671976708305,0.3001151525733956,0.3904203030055318,0.44521371462497183
