iteration,spearman_vs_equal,kendall_tau_b_vs_equal,mean_abs_rank_shift_vs_equal,max_abs_rank_shift_vs_equal,top_k_jaccard_vs_equal,l1_from_equal_vs_equal,max_weight_vs_equal,spearman_vs_point_critic,kendall_tau_b_vs_point_critic,mean_abs_rank_shift_vs_point_critic,max_abs_rank_shift_vs_point_critic,top_k_jaccard_vs_point_critic,l1_from_equal_vs_point_critic,max_weight_vs_point_critic
0,0.988095238095238,0.9216269841269841,2.03125,8.0,1.0,0.34561307114796613,0.35862428246516875,0.9996336996336995,0.9920634920634921,0.25,1.0,1.0,0.34561307114796613,0.35862428246516875
1,0.9901556776556775,0.9285714285714286,1.875,8.0,0.8181818181818182,0.17067454555746914,0.25103427097232944,0.994642857142857,0.9474206349206349,1.34375,6.0,0.8181818181818182,0.17067454555746914,0.25103427097232944
2,0.9721611721611721,0.8690476190476191,3.1875,16.0,0.6666666666666666,0.3806803881480739,0.3171325745956215,0.9811813186813184,0.8978174603174603,2.40625,17.0,0.6666666666666666,0.3806803881480739,0.3171325745956215
3,0.9898809523809522,0.9265873015873015,1.875,8.0,1.0,0.19317501636905315,0.24257414767306135,0.9989468864468863,0.9831349206349206,0.53125,3.0,1.0,0.19317501636905315,0.24257414767306135
4,0.9839743589743588,0.9057539682539683,2.53125,8.0,0.8181818181818182,0.35005216512702747,0.34264782669652705,0.9959249084249083,0.9583333333333333,1.21875,5.0,0.8181818181818182,0.35005216512702747,0.34264782669652705
5,0.9856227106227103,0.9097222222222221,2.375,10.0,1.0,0.2768722589997543,0.286018977842379,0.9975274725274724,0.9702380952380952,0.875,4.0,1.0,0.2768722589997543,0.286018977842379
6,0.9883241758241756,0.9206349206349207,2.03125,8.0,1.0,0.2562188100180808,0.2808190306905903,0.9996794871794871,0.9930555555555555,0.21875,1.0,1.0,0.2562188100180808,0.2808190306905903
7,0.9850274725274725,0.9117063492063491,2.25,10.0,1.0,0.2892090664198317,0.29518388895766673,0.9989468864468863,0.9801587301587301,0.59375,2.0,1.0,0.2892090664198317,0.29518388895766673
8,0.9854395604395604,0.9037698412698412,2.53125,8.0,0.8181818181818182,0.41801320125060365,0.3286508730120681,0.9908424908424909,0.9305555555555556,1.625,8.0,0.8181818181818182,0.41801320125060365,0.3286508730120681
9,0.989606227106227,0.927579365079365,1.9375,8.0,1.0,0.34749032014138553,0.3737451600706928,0.9982142857142856,0.976190476190476,0.71875,4.0,1.0,0.34749032014138553,0.3737451600706928
10,0.9862179487179485,0.9166666666666666,2.125,10.0,1.0,0.29555174145643803,0.31087496574498674,0.9983516483516482,0.9751984126984127,0.78125,2.0,1.0,0.29555174145643803,0.31087496574498674
11,0.9911630036630036,0.929563492063492,1.84375,7.0,1.0,0.4216582344914114,0.39077116617779634,0.9972527472527473,0.9682539682539681,0.84375,4.0,1.0,0.4216582344914114,0.39077116617779634
12,0.9762362637362636,0.8789682539682538,2.9375,15.0,0.6666666666666666,0.5073377781187383,0.4337975443312349,0.9833333333333332,0.9077380952380952,2.25,16.0,0.6666666666666666,0.5073377781187383,0.4337975443312349
13,0.9858516483516482,0.9146825396825395,2.1875,10.0,1.0,0.23536348812963218,0.2506312480987359,0.9980769230769231,0.9732142857142856,0.8125,3.0,1.0,0.23536348812963218,0.2506312480987359
14,0.989423076923077,0.923611111111111,2.0,7.0,1.0,0.36138776046021925,0.33783343059503984,0.9980769230769231,0.9742063492063492,0.71875,4.0,1.0,0.36138776046021925,0.33783343059503984
15,0.9810897435897434,0.8998015873015873,2.5625,10.0,1.0,0.29570389674847153,0.2948196534404834,0.9966117216117215,0.9642857142857143,1.03125,4.0,1.0,0.29570389674847153,0.2948196534404834
16,0.9702380952380951,0.8720238095238095,3.15625,12.0,0.8181818181818182,0.3538879034765482,0.28461713904150027,0.9915293040293041,0.9384920634920635,1.6875,6.0,0.8181818181818182,0.3538879034765482,0.28461713904150027
17,0.9870421245421244,0.9117063492063491,2.34375,7.0,1.0,0.23917180626289378,0.2850760937663635,0.9942307692307691,0.9642857142857143,1.0,11.0,1.0,0.23917180626289378,0.2850760937663635
18,0.9888278388278388,0.9216269841269841,2.03125,10.0,0.6666666666666666,0.3655781129446114,0.37420658851248834,0.9904761904761904,0.9325396825396824,1.65625,11.0,0.6666666666666666,0.3655781129446114,0.37420658851248834
19,0.9891483516483515,0.9265873015873015,1.96875,9.0,1.0,0.2567556267563349,0.27664785899235633,0.9982600732600732,0.9751984126984127,0.71875,3.0,1.0,0.2567556267563349,0.27664785899235633
20,0.9934523809523808,0.9424603174603173,1.5,7.0,1.0,0.2332657761967312,0.2647998737590538,0.9969322344322342,0.9652777777777777,1.0,4.0,1.0,0.2332657761967312,0.2647998737590538
21,0.9869505494505493,0.9146825396825395,2.25,10.0,0.8181818181818182,0.27055353232135393,0.28978147004842686,0.9945054945054944,0.9474206349206349,1.375,5.0,0.8181818181818182,0.27055353232135393,0.28978147004842686
22,0.9873626373626372,0.9146825396825395,2.21875,8.0,0.8181818181818182,0.3677300516064785,0.3265638646674862,0.9976190476190474,0.9692460317460317,0.84375,4.0,0.8181818181818182,0.3677300516064785,0.3265638646674862
23,0.9924450549450549,0.939484126984127,1.625,7.0,1.0,0.28289904107795755,0.3391338285330004,0.9966117216117215,0.9623015873015872,1.09375,4.0,1.0,0.28289904107795755,0.3391338285330004
24,0.9897893772893772,0.9305555555555556,1.84375,8.0,1.0,0.3023544781351262,0.344128366775317,0.9997252747252745,0.9950396825396826,0.15625,2.0,1.0,0.3023544781351262,0.344128366775317
25,0.9936355311355312,0.9424603174603173,1.53125,6.0,1.0,0.2671620221370764,0.31605886070558065,0.9981684981684982,0.9751984126984127,0.71875,3.0,1.0,0.2671620221370764,0.31605886070558065
26,0.9857142857142855,0.9136904761904762,2.15625,9.0,1.0,0.2823298478463772,0.34068663182633485,0.9971153846153845,0.9642857142857143,1.09375,4.0,1.0,0.2823298478463772,0.34068663182633485
