ticker,media_score,awards_score,expertise_score,face_score,communication_score,index_equal,index_critic,rank_equal,rank_critic,rank_change_critic_minus_equal,absolute_rank_change
ABIO,54.94909783455016,0.0,45.30762009057678,55.393008814627315,100.0,51.12994534795086,54.201274932208285,27.0,27.0,0.0,0.0
AFKS,65.73372982616132,0.0,51.34650610328117,53.537698373099566,,,,,,,
AFLT,65.97808369476103,6.191581728445877,35.51496412035623,47.81607026791687,100.0,51.10013996229601,53.92795745295602,28.0,28.0,0.0,0.0
AGRO,59.25680215447781,0.0,61.53000536209904,64.52269105633006,100.0,57.06189971458138,59.386741044610226,5.0,6.0,1.0,1.0
AKRN,57.46961581615983,11.38351243484765,47.9599524189552,,100.0,,,,,,
ALRS,58.4314252804809,3.0356033159593734,43.67156592234197,55.1547768197467,100.0,52.05867426770578,54.96213129279537,22.0,23.0,1.0,1.0
APTK,66.55529198915153,72.16976134290604,62.47365751092821,39.28924824893405,100.0,68.09759181838398,73.10488544970237,1.0,1.0,0.0,0.0
AQUA,60.20812787226331,0.0,48.52645495464854,49.84186381102373,100.0,51.71528932758711,54.75354581715494,23.0,25.0,2.0,2.0
ASTR,59.95850186118509,21.305039776182326,47.2181312696725,42.82530996320193,100.0,54.26139657404837,58.227850846391895,9.0,8.0,-1.0,1.0
BANEP,50.881316692276336,0.0,40.07404398572624,,,,,,,,
BELU,59.91588146247651,6.539100615683147,50.484072516959166,44.705845772279034,,,,,,,
BSPB,65.10593102523819,0.0,55.95159923120128,,,,,,,,
CBOM,56.5473363449298,0.0,72.54222745245131,37.02836907587439,50.0,43.22358657465111,42.43080716318507,62.0,62.0,0.0,0.0
CHMF,63.87927873577798,37.81520977582006,67.64908753278867,,,,,,,,
CHMK,50.34387423108457,0.0,54.67442538515914,45.30560269797596,,,,,,,
CIAN,60.62802267115351,11.38351243484765,50.431635546674755,49.989173035821,100.0,54.48646873769939,57.769951935635454,7.0,9.0,2.0,2.0
DATA,56.114794868159365,4.5534049739390605,36.1156578164827,58.15505207100187,100.0,50.9877819459166,53.87762811617066,29.0,29.0,0.0,0.0
DELI,56.127854112984664,12.09610384326798,46.79763521309721,52.925464277641275,100.0,53.58941148939823,57.018596964071776,12.0,13.0,1.0,1.0
DIAS,55.42319722436923,0.0,41.62211215134148,,100.0,,,,,,
DVEC,55.74736518544253,6.071206631918747,30.18024602093358,,100.0,,,,,,
ELFV,57.12779666666798,0.0,40.0773547523408,,100.0,,,,,,
ENPG,56.49315688583775,16.166808156969118,45.517257279203406,52.23831961004878,100.0,54.083108386411816,57.6172127080792,10.0,10.0,0.0,0.0
ETLN,57.77830650146414,8.407415077306903,54.749212802166426,46.79241309427809,100.0,53.54546949504311,57.166544421454816,13.0,12.0,-1.0,1.0
EUTR,59.08096097140045,0.0,48.319565166171465,50.379272619028235,100.0,51.55595975132003,54.64160999827376,25.0,26.0,1.0,1.0
FEES,57.98637125179917,8.945222220121401,46.52149504295912,42.85381768950749,100.0,51.261381240877434,55.06499393913846,26.0,21.0,-5.0,5.0
FESH,57.59759508820191,0.0,53.7822746518333,51.2537676544228,100.0,52.5267274788916,55.69544548723342,20.0,20.0,0.0,0.0
FIVE,51.53408384087806,26.4316973409724,57.194469365715115,61.85309901321753,100.0,59.402669912156625,63.038885339240316,2.0,3.0,1.0,1.0
