scenario,spearman,kendall_tau_b,mean_abs_rank_shift,max_abs_rank_shift,top_k_jaccard,l1_from_equal,max_weight,family,varied_component,target_weight
0,0.9777930402930401,0.8829365079365079,2.875,10.0,0.8181818181818182,0.16419097301754706,0.25655193985962327,dirichlet_10,,
1,0.9700091575091574,0.8551587301587301,3.65625,13.0,0.8181818181818182,0.2770182600050102,0.28090331478741387,dirichlet_10,,
2,0.989606227106227,0.9246031746031745,2.0625,6.0,1.0,0.13027150322468878,0.2610340847334703,dirichlet_10,,
3,0.968223443223443,0.8779761904761905,3.125,20.0,1.0,0.3050895490217679,0.3006307976048445,dirichlet_10,,
4,0.9827380952380951,0.9007936507936508,2.59375,13.0,1.0,0.19572593029122234,0.25624855216179115,dirichlet_10,,
5,0.9537087912087912,0.8253968253968252,4.15625,18.0,0.6666666666666666,0.28683028728703674,0.31804697636151413,dirichlet_10,,
6,0.9341117216117215,0.7817460317460316,5.34375,17.0,0.8181818181818182,0.3262542323467266,0.2773852594997593,dirichlet_10,,
7,0.9384615384615382,0.7876984126984127,5.0625,18.0,0.5384615384615384,0.3290756979398971,0.3016032321285674,dirichlet_10,,
8,0.9797161172161171,0.8968253968253967,2.6875,13.0,0.8181818181818182,0.21652576668592205,0.2783351518838429,dirichlet_10,,
9,0.9961080586080584,0.9573412698412698,1.15625,4.0,0.8181818181818182,0.09705624509132785,0.23143541303346765,dirichlet_10,,
10,0.9133699633699633,0.8234126984126984,4.09375,40.0,0.6666666666666666,0.3152212732592336,0.3099573000580658,dirichlet_10,,
11,0.9759157509157508,0.8938492063492063,2.625,17.0,0.6666666666666666,0.20725164591444445,0.2505893281842283,dirichlet_10,,
12,0.9819139194139193,0.8998015873015873,2.65625,11.0,0.6666666666666666,0.39274265258612057,0.35829333184090845,dirichlet_10,,
13,0.9692765567765567,0.8799603174603174,2.71875,22.0,0.8181818181818182,0.24674466665484393,0.2800898838812145,dirichlet_10,,
14,0.9877289377289376,0.9166666666666666,2.1875,7.0,0.8181818181818182,0.19973532706551828,0.2749486321267047,dirichlet_10,,
