iteration,sample_size,unique_companies,status,reason
0,28,18,ok,
1,28,18,ok,
2,28,16,ok,
3,28,16,ok,
4,28,19,ok,
5,28,17,ok,
6,28,17,ok,
7,28,17,ok,
8,28,19,ok,
9,28,20,ok,
10,28,18,ok,
11,28,18,ok,
12,28,16,ok,
13,28,19,ok,
14,28,16,ok,
15,28,19,ok,
16,28,20,ok,
17,28,18,ok,
18,28,17,ok,
19,28,19,ok,
20,28,19,ok,
21,28,15,ok,
22,28,16,ok,
23,28,21,ok,
24,28,20,ok,
25,28,18,ok,
26,28,16,ok,
27,28,18,ok,
28,28,19,ok,
29,28,20,ok,
30,28,19,ok,
31,28,16,ok,
32,28,19,ok,
33,28,19,ok,
34,28,17,ok,
35,28,16,ok,
36,28,20,ok,
37,28,17,ok,
38,28,16,ok,
39,28,19,ok,
40,28,17,ok,
41,28,17,ok,
42,28,17,ok,
43,28,19,ok,
44,28,17,ok,
45,28,18,ok,
46,28,18,ok,
47,28,20,ok,
48,28,17,ok,
49,28,21,ok,
50,28,21,ok,
51,28,20,ok,
52,28,19,ok,
53,28,17,ok,
54,28,18,ok,
55,28,19,ok,
56,28,19,ok,
57,28,15,ok,
58,28,19,ok,
59,28,16,ok,
60,28,19,ok,
61,28,16,ok,
62,28,18,ok,
63,28,19,ok,
64,28,19,ok,
65,28,17,ok,
66,28,17,ok,
67,28,15,ok,
68,28,16,ok,
69,28,16,ok,
70,28,16,ok,
71,28,17,ok,
72,28,18,ok,
73,28,16,ok,
74,28,18,ok,
75,28,17,ok,
76,28,17,ok,
77,28,18,ok,
78,28,19,ok,
79,28,18,ok,
80,28,15,ok,
81,28,21,ok,
82,28,17,ok,
83,28,18,ok,
84,28,17,ok,
85,28,19,ok,
86,28,17,ok,
87,28,19,ok,
88,28,17,ok,
89,28,22,ok,
90,28,19,ok,
91,28,20,ok,
92,28,15,ok,
93,28,20,ok,
94,28,20,ok,
95,28,17,ok,
96,28,20,ok,
97,28,20,ok,
98,28,21,ok,
99,28,16,ok,
100,28,17,ok,
101,28,17,ok,
102,28,18,ok,
103,28,20,ok,
104,28,19,ok,
105,28,19,ok,
106,28,17,ok,
107,28,17,ok,
108,28,17,ok,
109,28,19,ok,
110,28,16,ok,
111,28,19,ok,
112,28,15,ok,
113,28,15,ok,
114,28,18,ok,
115,28,18,ok,
116,28,17,ok,
117,28,17,ok,
118,28,17,ok,
119,28,19,ok,
120,28,22,ok,
121,28,17,ok,
122,28,20,ok,
123,28,18,ok,
124,28,18,ok,
125,28,20,ok,
126,28,20,ok,
127,28,21,ok,
128,28,19,ok,
129,28,16,ok,
130,28,17,ok,
131,28,20,ok,
132,28,18,ok,
133,28,21,ok,
134,28,19,ok,
135,28,18,ok,
136,28,17,ok,
137,28,17,ok,
138,28,17,ok,
139,28,18,ok,
140,28,16,ok,
141,28,17,ok,
142,28,18,ok,
143,28,19,ok,
144,28,19,ok,
145,28,19,ok,
146,28,15,ok,
147,28,18,ok,
148,28,19,ok,
149,28,15,ok,
150,28,20,ok,
151,28,17,ok,
152,28,17,ok,
153,28,20,ok,
154,28,16,ok,
155,28,22,ok,
156,28,16,ok,
157,28,16,ok,
158,28,19,ok,
159,28,17,ok,
160,28,18,ok,
161,28,16,ok,
162,28,18,ok,
163,28,19,ok,
164,28,20,ok,
165,28,15,ok,
166,28,20,ok,
167,28,19,ok,
168,28,18,ok,
169,28,19,ok,
170,28,20,ok,
171,28,16,ok,
172,28,18,ok,
173,28,18,ok,
174,28,19,ok,
175,28,16,ok,
176,28,16,ok,
177,28,18,ok,
178,28,17,ok,
179,28,17,ok,
180,28,15,ok,
181,28,18,ok,
182,28,15,ok,
183,28,19,ok,
184,28,21,ok,
185,28,17,ok,
186,28,17,ok,
187,28,16,ok,
188,28,20,ok,
189,28,19,ok,
190,28,18,ok,
191,28,19,ok,
192,28,18,ok,
193,28,19,ok,
194,28,20,ok,
195,28,20,ok,
196,28,17,ok,
197,28,20,ok,
198,28,15,ok,
199,28,19,ok,
200,28,21,ok,
201,28,16,ok,
202,28,16,ok,
203,28,16,ok,
204,28,20,ok,
205,28,16,ok,
206,28,17,ok,
207,28,19,ok,
208,28,19,ok,
209,28,18,ok,
210,28,17,ok,
211,28,18,ok,
212,28,18,ok,
213,28,19,ok,
214,28,15,ok,
215,28,17,ok,
216,28,20,ok,
217,28,17,ok,
218,28,17,ok,
219,28,18,ok,
220,28,23,ok,
221,28,18,ok,
222,28,16,ok,
223,28,18,ok,
224,28,20,ok,
225,28,17,ok,
226,28,19,ok,
227,28,20,ok,
228,28,18,ok,
229,28,18,ok,
230,28,19,ok,
231,28,19,ok,
232,28,17,ok,
233,28,17,ok,
234,28,16,ok,
235,28,17,ok,
236,28,19,ok,
237,28,19,ok,
238,28,17,ok,
239,28,17,ok,
240,28,19,ok,
241,28,17,ok,
242,28,18,ok,
243,28,18,ok,
244,28,19,ok,
245,28,19,ok,
246,28,20,ok,
247,28,17,ok,
248,28,18,ok,
249,28,18,ok,
250,28,16,ok,
251,28,15,ok,
252,28,19,ok,
253,28,17,ok,
254,28,17,ok,
255,28,16,ok,
256,28,19,ok,
257,28,17,ok,
258,28,19,ok,
259,28,19,ok,
260,28,17,ok,
261,28,17,ok,
262,28,15,ok,
263,28,22,ok,
264,28,17,ok,
265,28,19,ok,
266,28,19,ok,
267,28,17,ok,
268,28,18,ok,
269,28,20,ok,
270,28,18,ok,
271,28,18,ok,
272,28,18,ok,
273,28,17,ok,
274,28,16,ok,
275,28,19,ok,
276,28,18,ok,
277,28,17,ok,
278,28,19,ok,
279,28,17,ok,
280,28,18,ok,
281,28,18,ok,
282,28,19,ok,
283,28,15,ok,
284,28,19,ok,
285,28,19,ok,
286,28,18,ok,
287,28,17,ok,
288,28,21,ok,
289,28,17,ok,
290,28,19,ok,
291,28,18,ok,
292,28,21,ok,
293,28,17,ok,
294,28,16,ok,
295,28,19,ok,
296,28,14,ok,
297,28,18,ok,
298,28,19,ok,
299,28,17,ok,
300,28,18,ok,
301,28,20,ok,
302,28,16,ok,
303,28,17,ok,
304,28,18,ok,
305,28,19,ok,
306,28,20,ok,
307,28,19,ok,
308,28,18,ok,
309,28,21,ok,
310,28,17,ok,
311,28,18,ok,
312,28,16,ok,
313,28,19,ok,
314,28,17,ok,
315,28,20,ok,
316,28,20,ok,
317,28,15,ok,
318,28,18,ok,
319,28,17,ok,
320,28,17,ok,
321,28,16,ok,
322,28,18,ok,
323,28,20,ok,
324,28,18,ok,
325,28,20,ok,
326,28,17,ok,
327,28,18,ok,
328,28,20,ok,
329,28,17,ok,
330,28,20,ok,
331,28,16,ok,
332,28,15,ok,
333,28,15,ok,
334,28,16,ok,
335,28,18,ok,
336,28,20,ok,
337,28,17,ok,
338,28,17,ok,
339,28,21,ok,
340,28,19,ok,
341,28,18,ok,
342,28,17,ok,
343,28,18,ok,
344,28,18,ok,
345,28,17,ok,
346,28,21,ok,
347,28,20,ok,
348,28,18,ok,
349,28,21,ok,
350,28,19,ok,
351,28,18,ok,
352,28,17,ok,
353,28,17,ok,
354,28,18,ok,
355,28,16,ok,
356,28,18,ok,
357,28,19,ok,
358,28,18,ok,
359,28,19,ok,
360,28,19,ok,
361,28,17,ok,
362,28,17,ok,
363,28,17,ok,
364,28,18,ok,
365,28,17,ok,
366,28,19,ok,
367,28,18,ok,
368,28,18,ok,
369,28,22,ok,
370,28,19,ok,
