ticker,equal_score,critic_score,equal_rank,critic_rank,score_p025,score_p975,rank_p025,rank_median,rank_p975,top_k_probability
ABIO,45.03248058729806,21.533289460887257,27.0,27.0,17.583252059389046,28.910675053789607,27.0,27.0,27.0,0.0
AGRO,56.5295317869699,35.707992217001596,8.0,9.0,28.891640794131497,47.70767171513885,6.0,9.0,9.0,1.0
ALRS,53.02682614281829,31.552256358119017,15.0,16.0,25.653323988110447,42.17205546205808,14.0,15.0,16.0,0.0
AQUA,54.1880862900492,32.26835570040234,13.0,13.0,26.319935074295998,43.202810183585825,12.0,13.0,15.0,0.0045
DATA,58.73254369539127,42.281293798315,3.0,4.0,38.67215356164777,48.939553555065466,3.0,4.0,4.0,1.0
DELI,54.41864836584684,36.78791188605698,12.0,5.0,34.22918045060713,41.509493272431286,5.0,5.0,16.0,0.847
ETLN,56.68733003298063,36.477030762956474,7.0,6.0,29.552245930579296,48.97956230508468,4.0,6.0,8.0,1.0
EUTR,51.23157072133297,30.266764085877195,19.0,17.0,24.514917688342376,40.58636241561032,17.0,17.0,19.0,0.0
FIVE,64.17745497213416,53.35040381189826,1.0,2.0,52.69484255591143,54.16976056872893,1.0,2.0,2.0,0.9965
GAZP,55.16811047489307,33.104118680972945,9.0,12.0,26.983809530966766,44.55548223688306,10.0,12.0,12.0,0.041
GEMC,54.45868319108526,34.20575184026583,11.0,10.0,27.675509758514224,45.862441163425,9.0,10.0,12.0,0.716
HEAD,63.56678204555342,53.971043551848965,2.0,1.0,52.16996938667272,55.31968573836579,1.0,1.0,2.0,0.9955
HYDR,49.169698200200344,28.746695448573394,25.0,22.0,23.213201694592534,38.414368936507614,19.0,22.0,24.0,0.0
IRAO,51.80476641848909,29.95914093401149,16.0,19.0,24.423974566376746,40.33277575211303,17.0,19.0,19.0,0.0
KAZT,51.50806555089728,31.61252905968498,18.0,15.0,25.470860059603037,42.34551940295581,13.0,15.0,16.0,0.0015
MGTSP,51.56474844614078,30.104469341548583,17.0,18.0,24.498147882257854,40.109715955381404,17.0,18.0,20.0,0.0
MRKP,49.2568973851912,28.30893254043929,24.0,24.0,22.978842043442494,37.9198224467773,22.0,24.0,24.0,0.0
MRKV,57.15919955616391,36.025989058056226,6.0,8.0,29.189356613608393,48.299101261108774,5.975000000000001,8.0,9.0,1.0
NKNC,58.29162869412554,36.265735417211125,5.0,7.0,29.459098532376174,48.56389698846027,4.0,6.0,9.0,1.0
PHOR,49.29321081103154,28.526020567682398,23.0,23.0,23.04658514110255,38.33493397831146,20.0,23.0,24.0,0.0
PIKK,45.39118134538908,21.78074642894385,26.0,26.0,17.75753679087091,29.19968388810687,26.0,26.0,26.0,0.0
PRMD,53.10996000749019,31.843507797968908,14.0,14.0,25.858712836177105,42.61095756834042,13.0,14.0,16.0,0.002
RENI,58.29677004848103,46.96120055324058,4.0,3.0,44.52321811158185,48.918752102360834,3.0,3.0,10.0,0.9765
SMLT,50.33124989385256,28.75391508062069,22.0,21.0,23.40044028932094,38.66755723432685,20.0,21.0,23.0,0.0
SOFL,50.432219302333316,28.80145013846724,21.0,20.0,23.38728235909109,38.60524709119165,20.0,21.0,23.0,0.0
SPBE,43.09214848924334,18.881114769320256,28.0,28.0,15.378229037480533,25.40312384905421,28.0,28.0,28.0,0.0
TATN,50.517988274366644,26.64580870874672,20.0,25.0,21.651024474361034,35.689386273573234,23.0,25.0,25.0,0.0
TTLK,54.77790497999253,34.040475040503864,10.0,11.0,27.534423754085637,45.75850150023961,9.0,11.0,11.0,0.4195
