,count,mean,std,min,2.5%,50%,97.5%,max
spearman_vs_equal,2000.0,0.9648500273672687,0.02223139375347618,0.6573617952928298,0.950191570881226,0.9666119321291735,0.9808429118773946,0.9928845101258894
kendall_tau_b_vs_equal,2000.0,0.8632619047619047,0.03339077993084741,0.5238095238095238,0.8095238095238094,0.8677248677248677,0.9153439153439152,0.9523809523809524
mean_abs_rank_shift_vs_equal,2000.0,1.4067142857142856,0.3210669889500505,0.6428571428571429,1.0,1.3571428571428572,1.7857142857142858,4.785714285714286
max_abs_rank_shift_vs_equal,2000.0,6.285,1.4972962125023848,2.0,5.0,7.0,7.0,21.0
top_k_jaccard_vs_equal,2000.0,0.7318846153846155,0.07764910831039379,0.5384615384615384,0.6666666666666666,0.6666666666666666,0.8181818181818182,1.0
l1_from_equal_vs_equal,2000.0,0.5806791267323063,0.06965230087856611,0.3999999999999999,0.4408257633929951,0.5808731700360961,0.7102298650249185,0.8
max_weight_vs_equal,2000.0,0.41300439259099925,0.05407280293998501,0.2744760778724868,0.32377649279579385,0.4096924111552771,0.5220643554946713,0.5889956961134549
spearman_vs_point_critic,2000.0,0.9880511767925562,0.030405184291922908,0.5971538040503558,0.9386425834701696,0.9934318555008209,0.9994526546250683,0.9999999999999998
kendall_tau_b_vs_point_critic,2000.0,0.9522777777777777,0.04154566211248228,0.5238095238095238,0.857142857142857,0.9576719576719577,0.9947089947089945,1.0
mean_abs_rank_shift_vs_point_critic,2000.0,0.5761071428571429,0.47172077934430656,0.0,0.07142857142857142,0.5,1.6428571428571428,5.0
max_abs_rank_shift_vs_point_critic,2000.0,3.3385,2.654136388730804,0.0,1.0,3.0,11.0,22.0
top_k_jaccard_vs_point_critic,2000.0,0.9161596736596737,0.10156202013059756,0.42857142857142855,0.6666666666666666,1.0,1.0,1.0
l1_from_equal_vs_point_critic,2000.0,0.5806791267323063,0.06965230087856611,0.3999999999999999,0.4408257633929951,0.5808731700360961,0.7102298650249185,0.8
max_weight_vs_point_critic,2000.0,0.41300439259099925,0.05407280293998501,0.2744760778724868,0.32377649279579385,0.4096924111552771,0.5220643554946713,0.5889956961134549
