iteration,spearman_vs_equal,kendall_tau_b_vs_equal,mean_abs_rank_shift_vs_equal,max_abs_rank_shift_vs_equal,top_k_jaccard_vs_equal,l1_from_equal_vs_equal,max_weight_vs_equal,spearman_vs_point_critic,kendall_tau_b_vs_point_critic,mean_abs_rank_shift_vs_point_critic,max_abs_rank_shift_vs_point_critic,top_k_jaccard_vs_point_critic,l1_from_equal_vs_point_critic,max_weight_vs_point_critic
0,0.962233169129721,0.8465608465608466,1.5714285714285714,7.0,0.6666666666666666,0.6313672593099829,0.45731798633734305,0.9934318555008209,0.9576719576719577,0.5714285714285714,2.0,1.0,0.6313672593099829,0.45731798633734305
1,0.9682539682539683,0.8624338624338624,1.4285714285714286,5.0,0.6666666666666666,0.5660368296306568,0.39256486548603203,0.9978106185002736,0.9841269841269842,0.21428571428571427,2.0,1.0,0.5660368296306568,0.39256486548603203
2,0.9698960043787629,0.8677248677248677,1.3571428571428572,5.0,0.8181818181818182,0.6024901442943573,0.403823771243297,0.9934318555008209,0.9576719576719577,0.5714285714285714,3.0,0.8181818181818182,0.6024901442943573,0.403823771243297
3,0.9797482211275315,0.9047619047619047,1.0714285714285714,5.0,0.8181818181818182,0.49749393221199995,0.36394281377371307,0.990695128626163,0.9417989417989417,0.7142857142857143,3.0,0.8181818181818182,0.49749393221199995,0.36394281377371307
4,0.9578544061302682,0.8465608465608466,1.5714285714285714,7.0,0.6666666666666666,0.6295809767950207,0.41790255087815403,0.9972632731253421,0.9788359788359787,0.2857142857142857,2.0,1.0,0.6295809767950207,0.41790255087815403
5,0.9611384783798578,0.8465608465608466,1.6428571428571428,6.0,0.8181818181818182,0.4347567967292249,0.3633613175907999,0.9414340448823207,0.8518518518518519,1.7142857142857142,10.0,0.8181818181818182,0.4347567967292249,0.3633613175907999
6,0.9616858237547894,0.857142857142857,1.4285714285714286,6.0,0.8181818181818182,0.6144713650394613,0.3856741270142733,0.9841269841269842,0.9153439153439152,0.9285714285714286,4.0,0.8181818181818182,0.6144713650394613,0.3856741270142733
7,0.9693486590038315,0.8783068783068783,1.2857142857142858,5.0,0.8181818181818182,0.5343584203114093,0.34636123506008193,0.9841269841269842,0.9365079365079365,0.8571428571428571,6.0,0.8181818181818182,0.5343584203114093,0.34636123506008193
8,0.9698960043787629,0.8888888888888887,1.1428571428571428,7.0,0.8181818181818182,0.6044078678217062,0.4898786317325854,0.996168582375479,0.9682539682539683,0.35714285714285715,2.0,0.8181818181818182,0.6044078678217062,0.4898786317325854
9,0.9704433497536945,0.857142857142857,1.5,5.0,0.6666666666666666,0.5606867534957711,0.3601378324298525,0.9874110563765736,0.9365079365079365,0.5714285714285714,4.0,1.0,0.5606867534957711,0.3601378324298525
10,0.9523809523809524,0.8359788359788359,1.5,6.0,0.8181818181818182,0.47042062303945903,0.40210258167419244,0.9408866995073891,0.8730158730158729,1.5714285714285714,11.0,0.8181818181818182,0.47042062303945903,0.40210258167419244
11,0.9600437876299945,0.8518518518518519,1.5,7.0,0.6666666666666666,0.6460084917969175,0.4492619949384565,0.9978106185002736,0.9841269841269842,0.21428571428571427,2.0,1.0,0.6460084917969175,0.4492619949384565
12,0.9770114942528736,0.8941798941798942,1.1428571428571428,5.0,0.8181818181818182,0.5096287994139623,0.3718851247781656,0.994526546250684,0.9629629629629629,0.42857142857142855,3.0,0.8181818181818182,0.5096287994139623,0.3718851247781656
13,0.983032293377121,0.9206349206349207,0.9285714285714286,5.0,0.8181818181818182,0.4444940668149805,0.3212100181603711,0.9819376026272578,0.9365079365079365,0.7142857142857143,7.0,0.8181818181818182,0.4444940668149805,0.3212100181603711
14,0.9447181171319102,0.8095238095238094,1.9285714285714286,8.0,0.8181818181818182,0.5229895715456035,0.399782092967507,0.918992884510126,0.8148148148148148,2.0,11.0,0.6666666666666666,0.5229895715456035,0.399782092967507
15,0.9611384783798578,0.8306878306878307,1.7142857142857142,5.0,0.6666666666666666,0.6201219422571551,0.38869604803109864,0.9874110563765736,0.9312169312169312,0.7142857142857143,3.0,1.0,0.6201219422571551,0.38869604803109864
16,0.9644225506294472,0.8730158730158729,1.3571428571428572,7.0,0.8181818181818182,0.5648490785155471,0.4169260252222702,0.9967159277504104,0.9735449735449735,0.35714285714285715,2.0,0.8181818181818182,0.5648490785155471,0.4169260252222702
17,0.9786535303776682,0.8994708994708994,1.0714285714285714,5.0,0.8181818181818182,0.4701393043522598,0.3716278420811743,0.9934318555008209,0.9576719576719577,0.5,3.0,0.8181818181818182,0.4701393043522598,0.3716278420811743
