ticker,media_score,awards_score,expertise_score,face_score,communication_score,index_equal,index_critic,rank_equal,rank_critic,rank_change_critic_minus_equal,absolute_rank_change
ABIO,54.202300222951926,0.0,17.422552587681682,53.53755012585672,100.0,45.03248058729807,21.533289460887257,27.0,27.0,0.0,0.0
AFKS,,,58.33135442476656,,,,,,,,
AFLT,,,39.352116731935205,,100.0,,,,,,
AGRO,59.25680215447781,0.0,58.86816572404165,64.52269105633006,100.0,56.52953178696991,35.707992217001596,8.0,9.0,1.0,1.0
AKRN,61.14565977818457,68.3010746090859,42.770059050928175,,100.0,,,,,,
ALRS,61.95896760327661,0.0,47.28264267331856,55.892520437496245,100.0,53.02682614281829,31.552256358119017,15.0,16.0,1.0,1.0
APTK,,,59.63749874650858,,100.0,,,,,,
AQUA,64.39687178635475,0.0,45.94682154678373,60.59673811710746,100.0,54.188086290049185,32.26835570040234,13.0,13.0,0.0,0.0
ASTR,,,27.02371958087798,,100.0,,,,,,
BANEP,50.881316692276336,0.0,,,,,,,,,
BELU,58.169649852309725,0.0,41.009038389175736,48.88865578098765,,,,,,,
BSPB,66.22229933357934,0.0,50.734861652545526,,,,,,,,
CBOM,56.5473363449298,0.0,,37.02836907587439,50.0,,,,,,
CHMF,,,62.78602250190405,,,,,,,,
CHMK,50.34387423108457,0.0,,45.30560269797596,,,,,,,
CIAN,,,33.72685395477607,,100.0,,,,,,
DATA,62.11695953386712,22.7670248696953,51.431343779923765,57.3473902934702,100.0,58.73254369539129,42.281293798315,3.0,4.0,1.0,1.0
DELI,54.96371279948835,22.7670248696953,34.79396219677958,59.568541963270995,100.0,54.41864836584684,36.78791188605698,12.0,5.0,-7.0,7.0
DIAS,56.177668552137305,0.0,65.37593439412622,,100.0,,,,,,
DVEC,59.72642366356225,0.0,51.82273665797342,,100.0,,,,,,
ELFV,55.44638597458025,0.0,32.68730822323783,,100.0,,,,,,
ENPG,56.15065178978447,0.0,50.93833838027155,,100.0,,,,,,
ETLN,61.319006345531506,0.0,63.707814240073745,58.40982957929796,100.0,56.68733003298064,36.477030762956474,7.0,6.0,-1.0,1.0
EUTR,58.26562742658046,0.0,47.98943214143516,49.902794038649226,100.0,51.23157072133297,30.266764085877195,19.0,17.0,-2.0,2.0
FEES,67.91345671681466,0.0,58.01474483952608,,100.0,,,,,,
FESH,,,64.909946675563,,100.0,,,,,,
FIVE,60.79615827635892,52.8633946819448,45.37462288914955,61.85309901321753,100.0,64.17745497213416,53.35040381189826,1.0,2.0,1.0,1.0
FIXP,68.84953557964121,0.0,47.612819862447594,,100.0,,,,,,
FLOT,60.78029364711992,0.0,57.20764707468439,43.08196534963995,,,,,,,
GAZP,72.48351555689356,0.0,46.300405202789065,57.05663161478272,100.0,55.16811047489307,33.104118680972945,9.0,12.0,3.0,3.0
GEMC,54.58324838368529,0.0,59.55501406805792,58.15515350368304,100.0,54.45868319108526,34.20575184026583,11.0,10.0,-1.0,1.0
GLTR,,,49.23321485962758,,50.0,,,,,,
GMKN,,,45.05744867252452,,100.0,,,,,,
