missing_components,companies
face_score,31
complete,28
"media_score, awards_score, face_score",13
"face_score, communication_score",8
communication_score,7
media_score,6
"media_score, awards_score, face_score, communication_score",5
"media_score, face_score",4
"media_score, face_score, communication_score",3
"expertise_score, face_score, communication_score",2
expertise_score,1
"expertise_score, communication_score",1
"media_score, awards_score, expertise_score, face_score, communication_score",1
