scenario,spearman,kendall_tau_b,mean_abs_rank_shift,max_abs_rank_shift,top_k_jaccard,l1_from_equal,max_weight,family,varied_component,target_weight
0,0.9835796387520527,0.9153439153439152,1.0,4.0,0.8181818181818182,0.16419097301754706,0.25655193985962327,dirichlet_10,,
1,0.9764641488779421,0.8994708994708994,1.1428571428571428,6.0,1.0,0.2770182600050102,0.28090331478741387,dirichlet_10,,
2,0.9917898193760263,0.947089947089947,0.6428571428571429,3.0,0.8181818181818182,0.13027150322468878,0.2610340847334703,dirichlet_10,,
3,0.9792008757525997,0.8994708994708994,1.0714285714285714,5.0,0.8181818181818182,0.3050895490217679,0.3006307976048445,dirichlet_10,,
4,0.9819376026272578,0.9153439153439152,1.0,4.0,0.8181818181818182,0.19572593029122234,0.25624855216179115,dirichlet_10,,
5,0.9578544061302682,0.8465608465608466,1.7142857142857142,5.0,1.0,0.28683028728703674,0.31804697636151413,dirichlet_10,,
6,0.9430760810071154,0.8253968253968254,1.8571428571428572,8.0,0.8181818181818182,0.3262542323467266,0.2773852594997593,dirichlet_10,,
7,0.9660645867542419,0.8677248677248677,1.5,6.0,0.8181818181818182,0.3290756979398971,0.3016032321285674,dirichlet_10,,
8,0.9759168035030105,0.8941798941798942,1.0,5.0,0.8181818181818182,0.21652576668592205,0.2783351518838429,dirichlet_10,,
9,0.9896004378762999,0.9417989417989417,0.7857142857142857,3.0,1.0,0.09705624509132785,0.23143541303346765,dirichlet_10,,
10,0.9616858237547894,0.8677248677248677,1.5714285714285714,7.0,0.8181818181818182,0.3152212732592336,0.3099573000580658,dirichlet_10,,
11,0.9896004378762999,0.9576719576719577,0.5714285714285714,5.0,1.0,0.20725164591444445,0.2505893281842283,dirichlet_10,,
12,0.9655172413793103,0.8624338624338624,1.3571428571428572,5.0,0.8181818181818182,0.39274265258612057,0.35829333184090845,dirichlet_10,,
13,0.9874110563765736,0.9259259259259259,0.8571428571428571,3.0,0.8181818181818182,0.24674466665484393,0.2800898838812145,dirichlet_10,,
14,0.9824849480021893,0.9153439153439152,1.0714285714285714,4.0,0.8181818181818182,0.19973532706551828,0.2749486321267047,dirichlet_10,,
15,0.9885057471264367,0.9259259259259259,0.8571428571428571,3.0,0.6666666666666666,0.19870260362427508,0.2529986291044369,dirichlet_10,,
16,0.983032293377121,0.91005291005291,1.0,4.0,0.8181818181818182,0.32916317996364636,0.3363079246625885,dirichlet_10,,
17,0.9523809523809524,0.8306878306878307,1.7857142857142858,6.0,1.0,0.35135926829982134,0.29674565581522,dirichlet_10,,
18,0.9983579638752054,0.9841269841269842,0.21428571428571427,1.0,1.0,0.08757709143808573,0.22137647998694146,dirichlet_10,,
19,0.9441707717569787,0.8095238095238094,2.0714285714285716,6.0,0.6666666666666666,0.3838829274123944,0.3919414637061972,dirichlet_10,,
20,0.9928845101258894,0.9576719576719577,0.5714285714285714,3.0,0.8181818181818182,0.1107410855040368,0.24393719469601619,dirichlet_10,,
21,0.9917898193760263,0.947089947089947,0.6428571428571429,2.0,1.0,0.22732089188369436,0.30152425318842785,dirichlet_10,,
22,0.9950738916256158,0.9629629629629629,0.42857142857142855,2.0,1.0,0.09249703643516735,0.22213495986111076,dirichlet_10,,
23,0.9742747673782157,0.8941798941798942,1.2142857142857142,7.0,0.8181818181818182,0.3270942991327861,0.3117722002878251,dirichlet_10,,
24,0.994526546250684,0.9629629629629629,0.42857142857142855,2.0,1.0,0.0985751399478639,0.22533455936132377,dirichlet_10,,
25,0.9857690202517788,0.9259259259259259,0.9285714285714286,4.0,0.8181818181818182,0.15419784524692304,0.24810651550309348,dirichlet_10,,
26,0.9896004378762999,0.9365079365079365,0.7857142857142857,3.0,0.8181818181818182,0.11561012639596357,0.23451424520044725,dirichlet_10,,
27,0.980295566502463,0.91005291005291,1.0714285714285714,6.0,0.8181818181818182,0.21587385862079145,0.26753626029301386,dirichlet_10,,
28,0.9874110563765736,0.9312169312169312,0.7857142857142857,4.0,0.8181818181818182,0.1596026224980384,0.24851360421480978,dirichlet_10,,
29,0.9611384783798578,0.8730158730158729,1.3571428571428572,9.0,0.6666666666666666,0.26863125249107456,0.32214325089987,dirichlet_10,,
30,0.9819376026272578,0.91005291005291,1.0,4.0,0.8181818181818182,0.19665812543345979,0.27638337619522746,dirichlet_10,,
31,0.9611384783798578,0.8624338624338624,1.5,5.0,1.0,0.26582512758329585,0.2823241827322639,dirichlet_10,,
32,0.9885057471264367,0.9312169312169312,0.7857142857142857,4.0,0.8181818181818182,0.21253034242431496,0.30471449908812337,dirichlet_10,,
33,0.9857690202517788,0.9312169312169312,0.7142857142857143,5.0,0.8181818181818182,0.11589844179924741,0.2455886158951741,dirichlet_10,,
34,0.980295566502463,0.9153439153439152,0.9285714285714286,5.0,0.8181818181818182,0.23172576275459944,0.24869046950857965,dirichlet_10,,
35,0.9715380405035577,0.8835978835978835,1.3571428571428572,5.0,0.8181818181818182,0.18409280889955695,0.2920464044497785,dirichlet_10,,
36,0.9917898193760263,0.947089947089947,0.6428571428571429,3.0,0.8181818181818182,0.16253611453421465,0.2573353963609472,dirichlet_10,,
37,0.9759168035030105,0.8888888888888887,1.2857142857142858,5.0,0.8181818181818182,0.22769336577920202,0.2658292517509,dirichlet_10,,
38,0.9874110563765736,0.9365079365079365,0.7857142857142857,5.0,0.8181818181818182,0.2176931803377829,0.2551290304923201,dirichlet_10,,
39,0.9857690202517788,0.9206349206349207,0.9285714285714286,4.0,0.8181818181818182,0.18443315435978316,0.25111758934851824,dirichlet_10,,
