sample,component,included_n,excluded_observed_n,included_mean,excluded_mean,mean_difference
all_managers,media_score,64,45,56.87444172839642,56.47885014216825,0.39559158622817137
all_managers,awards_score,64,45,8.596454257411462,7.287818675718215,1.3086355816932471
all_managers,expertise_score,64,46,39.016034342391464,39.425616852264554,-0.40958250987308986
all_managers,face_score,64,15,49.90518888328154,48.22109806061165,1.6840908226698872
all_managers,communication_score,64,19,96.09375,89.47368421052632,6.620065789473685
ceo,media_score,28,50,61.85680856537706,61.14693618160833,0.709872383768726
ceo,awards_score,28,63,7.504026594443876,13.14200760227269,-5.637981007828814
ceo,expertise_score,28,77,43.55407888033984,39.01875695392466,4.535321926415179
ceo,face_score,28,15,53.37360126515021,47.47258580061918,5.901015464531028
ceo,communication_score,28,55,100.0,91.81818181818181,8.181818181818187
