sample,excluded,original_n,expanded_n,added_companies,fixed_cohort_spearman_vs_equal5,expanded_critic_vs_equal4_spearman,original_cohort_critic4_vs_equal5_spearman
all_managers,media_score,64,64,0,0.9324175824175823,0.9923076923076922,0.9281593406593407
all_managers,awards_score,64,64,0,0.8626831501831501,0.9792582417582417,0.8750915750915751
all_managers,expertise_score,64,64,0,0.8384615384615383,0.9775641025641023,0.8321428571428571
all_managers,face_score,64,83,19,0.9711538461538459,0.9867134041392047,0.9612179487179486
all_managers,communication_score,64,79,15,0.8496794871794872,0.9919668938656281,0.8353937728937728
ceo,media_score,28,34,6,0.939792008757526,0.9828877005347594,0.916256157635468
ceo,awards_score,28,28,0,0.7334428024083197,0.9704433497536945,0.6880131362889983
ceo,expertise_score,28,29,1,0.8828680897646416,0.9960591133004923,0.8762999452654625
ceo,face_score,28,59,31,0.9250136836343732,0.9765634132086501,0.906951286261631
ceo,communication_score,28,35,7,0.9999999999999998,0.9705882352941178,0.9644225506294472
