scenario,media_score,awards_score,expertise_score,face_score,communication_score,family,varied_component,target_weight
0,0.25655193985962327,0.17125600025299859,0.14664851323822792,0.21574408959886626,0.20979945705028405,dirichlet_10,,
1,0.28090331478741387,0.22145901811032576,0.15534731218708192,0.106143557810413,0.23614679710476547,dirichlet_10,,
2,0.2041016668788741,0.1971660369749693,0.1429890189742343,0.19470919243845203,0.2610340847334703,dirichlet_10,,
3,0.16559658514175257,0.3006307976048445,0.25191397690603945,0.14257131073928214,0.13928732960808138,dirichlet_10,,
4,0.21259850105847738,0.22901591192534257,0.14557245332878097,0.25624855216179115,0.1565645815256078,dirichlet_10,,
5,0.31804697636151413,0.12226832685103894,0.16631104998947072,0.16800547951597194,0.2253681672820042,dirichlet_10,,
6,0.2773852594997593,0.21403190650039058,0.07265343304680459,0.1642194507798322,0.27170995017321353,dirichlet_10,,
7,0.26293461684138114,0.1321667661216734,0.12166785027661939,0.3016032321285674,0.18162753463175865,dirichlet_10,,
8,0.1477182822968136,0.2299277314591181,0.2783351518838429,0.1456488895223837,0.19836994483784165,dirichlet_10,,
9,0.19003835676839562,0.18716126690131402,0.23143541303346765,0.1742722537846265,0.2170927095121963,dirichlet_10,,
10,0.24765333657155086,0.1686178797186483,0.3099573000580658,0.1820800878174368,0.091691395834298,dirichlet_10,,
11,0.23038722724049607,0.15822093374330032,0.22264926753249792,0.2505893281842283,0.1381532432994775,dirichlet_10,,
12,0.15270652935518278,0.1483895348513136,0.23807799445215186,0.10253260950044339,0.35829333184090845,dirichlet_10,,
13,0.24328244944620753,0.18691064811918764,0.17115040910642856,0.2800898838812145,0.11856660944696187,dirichlet_10,,
14,0.19979589015132476,0.16631784359069202,0.13401860272522403,0.2249190314060544,0.2749486321267047,dirichlet_10,,
15,0.13777422633963077,0.2463526727077007,0.19277710466185694,0.2529986291044369,0.1700973671863748,dirichlet_10,,
16,0.175391940797836,0.13004649290401613,0.12997997631632474,0.22827366531923468,0.3363079246625885,dirichlet_10,,
17,0.2723615741211248,0.14555494166740313,0.2065724042135659,0.07876542418268626,0.29674565581522,dirichlet_10,,
18,0.2083482788992953,0.1976055492191563,0.22137647998694146,0.21406378683280605,0.15860590506180078,dirichlet_10,,
19,0.12729582015131902,0.1671378929287229,0.12142804361930215,0.3919414637061972,0.19219677959445883,dirichlet_10,,
20,0.18113803086666144,0.24393719469601619,0.2114333480560022,0.1933827857072338,0.17010864067408635,dirichlet_10,,
21,0.21213619275341936,0.15455071907183107,0.1686895722248395,0.1630992627614823,0.30152425318842785,dirichlet_10,,
22,0.21838988357871003,0.20572367477776288,0.17884731961462394,0.17490416216779237,0.22213495986111076,dirichlet_10,,
23,0.11738987212492712,0.2517749492785679,0.12136421446573771,0.19769876384294213,0.3117722002878251,dirichlet_10,,
24,0.21018266929454896,0.21377034131805925,0.22533455936132377,0.18137366082862402,0.16933876919744403,dirichlet_10,,
25,0.20011157984326694,0.18578320448817925,0.13711787288835925,0.22888082727710113,0.24810651550309348,dirichlet_10,,
26,0.18940478726626356,0.23451424520044725,0.20797969408230113,0.15279014953575468,0.21531112391523344,dirichlet_10,,
27,0.15122967944961305,0.23894389547553543,0.14083339123999117,0.20145677354184638,0.26753626029301386,dirichlet_10,,
28,0.2312877070342095,0.24851360421480978,0.18502794823770036,0.1408147627397617,0.19435597777351885,dirichlet_10,,
29,0.15729047382569716,0.12501933685781705,0.18337456307094852,0.32214325089987,0.21217237534566727,dirichlet_10,,
30,0.2219456865215024,0.17288618145834733,0.14735611142450353,0.27638337619522746,0.18142864440041923,dirichlet_10,,
31,0.2823241827322639,0.16377945688009735,0.250588381059384,0.12343100240435988,0.17987697692389487,dirichlet_10,,
32,0.1568172272607707,0.14213554080227753,0.19478206072479434,0.20155067212403413,0.30471449908812337,dirichlet_10,,
33,0.17146918532289543,0.2034589531996464,0.2455886158951741,0.17058159377748086,0.2089016518048032,dirichlet_10,,
34,0.15227321230162266,0.22090823500164553,0.24869046950857965,0.1318639063210776,0.24626417686707455,dirichlet_10,,
35,0.1851012079846658,0.17448340233003065,0.2920464044497785,0.1634059281946288,0.1849630570408963,dirichlet_10,,
36,0.22393266090616007,0.2573353963609472,0.1751108315831176,0.18348163688574728,0.16013947426402775,dirichlet_10,,
37,0.1122033972563404,0.22086579789856875,0.2658292517509,0.22715163324013224,0.17394991985405855,dirichlet_10,,
38,0.16854606373011155,0.2551290304923201,0.16734719623778796,0.1552601498632091,0.2537175596765714,dirichlet_10,,
39,0.20010138378422998,0.14228721055317808,0.1654962122669304,0.24099760404714343,0.25111758934851824,dirichlet_10,,
40,0.2910175252931085,0.1627279759363498,0.17372559376655922,0.178720380622255,0.1938085243817274,dirichlet_10,,
41,0.2375481184676256,0.12711183004235913,0.17031701685787046,0.2000463719997119,0.26497666263243286,dirichlet_10,,
42,0.22726862831161415,0.254583174823328,0.10778517659373472,0.2841660781940998,0.1261969420772232,dirichlet_10,,
43,0.21389576446232533,0.1640633681421967,0.13730951614746867,0.2751315325178466,0.20959981873016267,dirichlet_10,,
44,0.27785320883582876,0.16100520735866114,0.18108434246590985,0.17304928312973122,0.20700795820986906,dirichlet_10,,
45,0.21120050305342977,0.179636296464598,0.16377948074097878,0.23618452725045816,0.2091991924905352,dirichlet_10,,
46,0.225945142673973,0.1617761832147668,0.24974545876963541,0.14962540258174442,0.2129078127598803,dirichlet_10,,
47,0.14030105136538268,0.11852553826865671,0.16206101895077388,0.3202491391513494,0.25886325226383733,dirichlet_10,,
48,0.20254841999130965,0.19713489033190582,0.25416321138585024,0.17511774387850967,0.17103573441242467,dirichlet_10,,
49,0.22606392448546608,0.19910733053600022,0.17952609297831873,0.19527979471187787,0.20002285728833705,dirichlet_10,,
50,0.2253100123241593,0.15060410618716916,0.19557792071179808,0.20135413047704814,0.2271538302998254,dirichlet_10,,
51,0.2458234177918296,0.28547214199887344,0.19856296864175274,0.12682744787874817,0.1433140236887963,dirichlet_10,,
52,0.17229923974842737,0.24399538021509035,0.20741211489429243,0.23384707955523076,0.14244618558695918,dirichlet_10,,
53,0.17385392412077363,0.21249820163696,0.10622404714942413,0.2490380115531898,0.25838581553965223,dirichlet_10,,
54,0.11376367015804272,0.27395155971789603,0.10498407416348825,0.2499475163262722,0.2573531796343007,dirichlet_10,,
55,0.25960625205963,0.1940776144968727,0.18602404087673302,0.17096889748842653,0.18932319507833786,dirichlet_10,,
56,0.09964345125038931,0.1736086654500638,0.2180723472094631,0.2681079144588838,0.2405676216312,dirichlet_10,,
57,0.14735305408970784,0.17078434118179736,0.15900027782734774,0.26055992840561926,0.2623023984955277,dirichlet_10,,
58,0.2412450507131681,0.19035009567232347,0.2558577378109158,0.17353859583471162,0.13900851996888117,dirichlet_10,,
59,0.24445571496449695,0.16582336108843396,0.13320147173882105,0.2038092378268567,0.25271021438139135,dirichlet_10,,
60,0.1562290252065139,0.36007007663533197,0.14362744581278838,0.20978750864317888,0.13028594370218693,dirichlet_10,,
61,0.21244272594725613,0.21465056576795805,0.21220416959780797,0.14562466931152568,0.21507786937545204,dirichlet_10,,
62,0.2250182353761022,0.19396351152965716,0.26346550874922664,0.144749636324243,0.17280310802077098,dirichlet_10,,
63,0.22906764756866876,0.21364934192354257,0.19199362482370688,0.16921901927163466,0.19607036641244707,dirichlet_10,,
64,0.3241618604748214,0.20076419507012186,0.13521492811279107,0.167570145556969,0.1722888707852966,dirichlet_10,,
65,0.23731699878172482,0.25497006055654936,0.2422138100453738,0.11310670230185416,0.15239242831449795,dirichlet_10,,
66,0.14656212900935786,0.11860336941974874,0.33267203822860597,0.2238288298664266,0.1783336334758609,dirichlet_10,,
67,0.19322678812514862,0.2155623402976445,0.31851537436878813,0.1369657099818529,0.13572978722656578,dirichlet_10,,
68,0.16920475567661727,0.2548389129218982,0.19356597782181764,0.18165455492255755,0.2007357986571092,dirichlet_10,,
69,0.35177305689825317,0.25253700353984654,0.09992378949699898,0.12880333355714146,0.1669628165077599,dirichlet_10,,
70,0.21199636462221533,0.2911734408360704,0.1294193324298588,0.11141558367976054,0.25599527843209485,dirichlet_10,,
71,0.2562507366009638,0.17613383604428123,0.13902777584983111,0.09145166421964683,0.337135987285277,dirichlet_10,,
72,0.1799850488996447,0.16688041214995492,0.13871725853098604,0.33948731241475516,0.17492996800465926,dirichlet_10,,
73,0.11509589484272519,0.17783629103242937,0.18515170303975498,0.2657903624338571,0.2561257486512334,dirichlet_10,,
74,0.22657362248299184,0.20097010787596706,0.24479302580706236,0.2546606461318805,0.07300259770209826,dirichlet_10,,
75,0.17996160505592998,0.17698199714496882,0.16371253963719598,0.25009177903748625,0.22925207912441886,dirichlet_10,,
76,0.19728217892218233,0.16160231778766643,0.26068179917702317,0.1853330635713495,0.19510064054177853,dirichlet_10,,
77,0.2235144101656134,0.17263390037513543,0.1473251323730989,0.21205173642068417,0.24447482066546797,dirichlet_10,,
78,0.16306746502898903,0.3240595580854803,0.16310897974503968,0.23022209053952136,0.11954190660096954,dirichlet_10,,
79,0.21101095280006998,0.12548072065388619,0.2859308200852669,0.12480339716155017,0.2527741092992267,dirichlet_10,,
80,0.18837127165296536,0.17351660997081458,0.1717405175897872,0.2666981908269805,0.19967340995945232,dirichlet_10,,
81,0.22423121602830295,0.2955842255359389,0.19878976939021237,0.12410766896742975,0.15728712007811607,dirichlet_10,,
82,0.2546372865697338,0.15467586975596495,0.16705292092212948,0.26254676710083724,0.16108715565133452,dirichlet_10,,
83,0.17109570329356638,0.3115355721826147,0.14140834283387962,0.16503869237887042,0.2109216893110688,dirichlet_10,,
84,0.12921065470983265,0.26606677145787383,0.23183602865277217,0.21199921192325305,0.1608873332562684,dirichlet_10,,
85,0.20950113534715226,0.1748210200303747,0.20704932666867462,0.3113927002608236,0.09723581769297482,dirichlet_10,,
86,0.28077693419042127,0.1523451790370143,0.09786281929486676,0.19727019367996376,0.2717448737977339,dirichlet_10,,
87,0.2640865577160015,0.1464048166904258,0.14095831346447735,0.22480472266496238,0.22374558946413298,dirichlet_10,,
88,0.2100047199913197,0.23556898598076495,0.13581367296325855,0.18439990948574697,0.23421271157890994,dirichlet_10,,
89,0.14041915817090786,0.18653335894736262,0.2605973687887776,0.265949637716821,0.1465004763761308,dirichlet_10,,
