model_id,sample,outcome,block,specification,family,formula,term,coef,se_hc3,t,p_value,ci_low,ci_high,n,is_focal,term_status,effect_pp_per_10_points,se_pp_hc3,ci_low_pp,ci_high_pp
all_managers__roa_2025__education__M1__main,all_managers,roa_2025,education,M1,main,roa_2025 ~ expertise_score_10,Intercept,0.013982365988221203,0.06382663655762211,0.21906788047021794,0.8270481796203071,-0.11266352823215792,0.1406282602086003,101,False,ok,,,,
all_managers__roa_2025__education__M1__main,all_managers,roa_2025,education,M1,main,roa_2025 ~ expertise_score_10,expertise_score_10,0.01082117168213232,0.014088408565480126,0.7680904221252288,0.444261724496005,-0.017133287414368627,0.03877563077863327,101,True,ok,1.082117168213232,1.4088408565480126,-1.7133287414368628,3.8775630778633268
all_managers__roa_2025__education__M2__main,all_managers,roa_2025,education,M2,main,roa_2025 ~ expertise_score_10 + roa_2024,Intercept,-0.051867045420011935,0.05107172708610274,-1.0155725756555747,0.31233373232582473,-0.15321722566792212,0.04948313482789824,101,False,ok,,,,
all_managers__roa_2025__education__M2__main,all_managers,roa_2025,education,M2,main,roa_2025 ~ expertise_score_10 + roa_2024,expertise_score_10,0.009084440599016207,0.009312531423443009,0.9755071082119934,0.3317106247660163,-0.009395974929893986,0.0275648561279264,101,True,ok,0.9084440599016207,0.9312531423443009,-0.9395974929893987,2.7564856127926403
all_managers__roa_2025__education__M2__main,all_managers,roa_2025,education,M2,main,roa_2025 ~ expertise_score_10 + roa_2024,roa_2024,0.8101780106663373,0.18940248859068604,4.277546808886957,4.397041618466912e-05,0.4343149362552069,1.1860410850774676,101,False,ok,,,,
all_managers__roa_2025__education__M3__main,all_managers,roa_2025,education,M3,main,roa_2025 ~ expertise_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,Intercept,-0.12220641909951512,0.19361826339278598,-0.6311719615602565,0.5296217248816755,-0.5071713985048633,0.262758560305833,93,False,ok,,,,
all_managers__roa_2025__education__M3__main,all_managers,roa_2025,education,M3,main,roa_2025 ~ expertise_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,expertise_score_10,0.012594005738338205,0.010626301829146879,1.185172973705124,0.23925201077485417,-0.008533929163721032,0.03372194064039744,93,True,ok,1.2594005738338205,1.0626301829146878,-0.8533929163721032,3.372194064039744
all_managers__roa_2025__education__M3__main,all_managers,roa_2025,education,M3,main,roa_2025 ~ expertise_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,roa_2024,0.7412392726610383,0.19811422084456493,3.7414743348615778,0.00033147036560014976,0.347335125340935,1.1351434199811417,93,False,ok,,,,
all_managers__roa_2025__education__M3__main,all_managers,roa_2025,education,M3,main,roa_2025 ~ expertise_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,log_assets_2024,0.00213398030459704,0.006215142413175124,0.34335179513720193,0.732181612616841,-0.010223387895919592,0.014491348505113674,93,False,ok,,,,
all_managers__roa_2025__education__M3__main,all_managers,roa_2025,education,M3,main,roa_2025 ~ expertise_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,age,0.00032763515847623875,0.0003753179598607588,0.8729535847359658,0.385147807110105,-0.00041859749621473205,0.0010738678131672096,93,False,ok,,,,
