held_out,n_train,media_score,awards_score,expertise_score,face_score,communication_score
ABIO,55,0.1456807761452336,0.40371200883653036,0.33105868295647556,0.11954853206176054,0.0
AFLT,55,0.18421737476945801,0.3682070661138281,0.3170489541183695,0.12875925849189698,0.0017673465064474694
AGRO,55,0.21881266587671852,0.4134142411847532,0.24282996821323055,0.11963893609300143,0.005304188632296334
ALRS,55,0.15394746807054455,0.4517710815131642,0.3082907167179783,0.08449856349935138,0.0014921701989615978
APTK,55,0.17971279120569914,0.4357791097303477,0.2918721935539692,0.09167658258872695,0.0009593229212568622
AQUA,55,0.2005771799943443,0.45622554814782323,0.22733134528352858,0.11307551523131461,0.0027904113429892043
ASTR,55,0.23447719858635618,0.3428237782318199,0.2944180514115778,0.1264017038529521,0.0018792679172939546
CIAN,55,0.1709930817629256,0.39623219379185787,0.3178325809949799,0.11148228187408059,0.0034598615761559028
DATA,55,0.1894438228845161,0.4072721120065951,0.27507128939449665,0.1279416598997016,0.00027111581469064545
DELI,55,0.20115884928313366,0.4104045320826892,0.28660547057304686,0.10079930262286595,0.0010318454382642988
ENPG,55,0.17190285075300665,0.4046674969703655,0.28125018977660693,0.14217946250002103,0.0
ETLN,55,0.13209009496713778,0.5120197658940272,0.22559779456833617,0.13029234457049899,0.0
EUTR,55,0.16716399382526229,0.4290209176653815,0.28444023990872225,0.11789269971355883,0.0014821488870752244
FEES,55,0.15404345481989348,0.3628993314311608,0.40165730387890725,0.07679075857822598,0.004609151291812462
FESH,55,0.17549377737973418,0.47193178646634404,0.2500041629852161,0.10118112434331569,0.0013891488253900445
FIVE,55,0.1905368934717492,0.4069025193060119,0.24762171170667058,0.15385436826966245,0.0010845072459056708
FIXP,55,0.17164599619648355,0.42272284948242284,0.2866614450770758,0.1175779696062729,0.0013917396377450713
GAZP,55,0.14530815204754757,0.4538577454360871,0.29355595079419744,0.1071480691930909,0.000130082529076937
GEMC,55,0.15969677234020005,0.4559980650370175,0.2715092952070192,0.11184112843533525,0.0009547389804278742
GMKN,55,0.1284176598323107,0.5157391037567965,0.248469315494895,0.10674133938767696,0.0006325815283207557
HEAD,55,0.12712351011900608,0.38865567547299273,0.32125845279338655,0.16141565565639254,0.001546705958222036
HNFG,55,0.1897099173422413,0.37217543440596584,0.2801434300993937,0.15784095681730873,0.00013026133509066445
HYDR,55,0.13567310667830867,0.5099166985251814,0.2730294919997881,0.08087308955732961,0.0005076132393921217
IRAO,55,0.17342075882926059,0.4269300014189921,0.3165241820948476,0.0819744659140581,0.0011505917428415403
IVAT,55,0.2117797508153077,0.38676185899500326,0.3265873923349652,0.07409985074699584,0.0007711471077281444
KAZT,55,0.13454961894408055,0.374594490420837,0.3767587872864535,0.11308919702508895,0.0010079063235399655
