,count,mean,std,min,1%,50%,99%,max,missing
media_score,108.0,56.700586907610436,7.232347580437837,33.71727042380358,40.04637877287124,57.53360545218087,72.24772293605739,73.45062238709131,1
awards_score,108.0,8.083940500201122,11.875040948074057,0.0,0.0,4.466176273586738,52.35034053596595,72.16976134290604,1
expertise_score,109.0,39.188770325601524,12.046880358079802,12.452864937743772,18.791757997065826,40.10169533802885,69.31369111996312,72.54222745245131,0
face_score,79.0,49.58542480302776,6.494781852372604,33.321688468800744,33.41559162270824,50.379272619028235,65.01124314434226,66.74338236547645,30
communication_score,82.0,94.51219512195122,20.796037076445945,0.0,0.0,100.0,100.0,100.0,27
index_equal,64.0,50.097173842296186,5.442583752948379,25.00509796497233,36.399080880924096,50.458368930742395,62.61979101746072,68.09759181838398,45
index_critic,64.0,53.13581315558834,6.587302883647026,19.086421466988153,32.95011973815278,53.2093773940593,66.8788396435007,73.10488544970237,45
roa_2025,101.0,0.05562871287128712,0.15947610124193135,-0.66,-0.623,0.046,0.596,0.7138,8
stock_return_2025,103.0,-0.0018446601941747563,0.3788624551822167,-1.0,-0.815,-0.07,1.0774000000000006,1.74,6
roa_2024,102.0,0.08868921568627451,0.14414655008826627,-0.286,-0.145125,0.0519,0.4396579999999998,0.998,7
stock_return_2024,92.0,-0.09195652173913045,0.4109684063962832,-0.99,-0.9081,-0.16499999999999998,1.018000000000004,2.11,17
log_assets_2024,106.0,26.330796871361127,1.938874161348392,21.70534430935857,22.23446946961289,26.334574824842775,31.20042646382325,31.73951510125507,3
age,109.0,29.3302752293578,23.24748295649308,7.0,8.08,25.0,142.68,184.0,0
leverage_2024,96.0,0.39427428766666667,0.2786436421858192,0.0,0.0,0.3772765905,1.0042338694,1.078718437,13
fixed_assets_ratio_2024,102.0,0.26723633656529416,0.2578521648384188,1.0236e-07,1.6458070000000004e-06,0.206502215,0.8007887995999998,0.82519289,7
state_2024,109.0,0.29357798165137616,0.4575043471474905,0.0,0.0,0.0,1.0,1.0,0
log_employees_2024,63.0,8.61636816353918,2.084465611543581,1.0986122886681098,3.164579084976736,8.480321716640333,12.753227925902724,12.940980579838016,46
