ticker,media_score,awards_score,expertise_score,face_score,communication_score,index_equal,index_critic,company_finance,age,industry_raw,ticker_raw,employees_2024,employees_2025,fixed_assets_2024,fixed_assets_2025,assets_2024,assets_2025,debt_2024,debt_2025,roa_2024,roa_2025,Цена акций на начало 2024,Цена акций на конец 2024,Дивиденды 2024,stock_return_2024,Цена акций на начало 2025,Цена акций на конец 2025,Дивиденды 2025,stock_return_2025,state_2024,state_2025,leverage_2024,leverage_2025,fixed_assets_ratio_2024,fixed_assets_ratio_2025,log_assets_2024,log_employees_2024,industry_group,media_score_10,awards_score_10,expertise_score_10,face_score_10,communication_score_10,index_equal_10,index_critic_10,roa_2025_w,stock_return_2025_w
ABIO,54.94909783455016,0.0,45.30762009057678,55.393008814627315,100.0,51.12994534795086,54.201274932208285,"ПАО ""Артген""",22,Научные исследования и разработки в области естественных и технических наук прочие,ABIO,,300.0,221667000.0,,2670000000.0,2990000000.0,568000000.0,831000000.0,0.08,0.032,103.26,83.28,0.0,-0.19,85.7,68.48,1.2,-0.19,0,0,0.212734082,0.277926421,0.08302135,,21.70534430935857,,Прочие,5.494909783455016,0.0,4.530762009057678,5.539300881462731,10.0,5.112994534795086,5.4201274932208285,0.032,-0.19
AFLT,65.97808369476103,6.191581728445877,35.51496412035623,47.81607026791687,100.0,51.10013996229601,53.92795745295602,"ПАО ""АЭРОФЛОТ""",32,"Перевозка воздушным пассажирским транспортом, подчиняющимся расписанию",AFLT,33300.0,,440922000000.0,457205000000.0,957079000000.0,933998000000.0,1032420000000.0,907253000000.0,0.0232,0.1301,35.75,59.06,5.27,0.8,58.13,57.95,5.29,0.09,1,1,1.078718437,0.97136467,0.46069578,0.489513792,27.587151774626605,10.413312675968536,Прочие,6.597808369476103,0.6191581728445877,3.551496412035623,4.781607026791687,10.0,5.110013996229601,5.392795745295603,0.1301,0.09
ALRS,58.4314252804809,3.0356033159593734,43.67156592234197,55.1547768197467,100.0,52.05867426770578,54.96213129279537,"АК ""АЛРОСА"" (ПАО)",34,Добыча алмазов,ALRS,,,292982000000.0,279940000000.0,712292000000.0,726642000000.0,324992000000.0,312552000000.0,0.0121,0.0417,71.2,57.86,2.49,-0.15,56.05,41.38,0.0,-0.26,1,1,0.456262585,0.430132305,0.41132286,0.38525124,27.29175377664485,,Прочие,5.84314252804809,0.3035603315959373,4.367156592234197,5.51547768197467,10.0,5.2058674267705785,5.496213129279537,0.0417,-0.26
APTK,66.55529198915153,72.16976134290604,62.47365751092821,39.28924824893405,100.0,68.09759181838398,73.10488544970237,"ПАО ""АПТЕЧНАЯ СЕТЬ 36,6""",24,Консультирование по вопросам коммерческой деятельности и управления,APTK,84.0,94.0,8000.0,,78152297000.0,79393923000.0,32464755000.0,33662857000.0,0.0015,0.0006,14.516,11.5,0.0,-0.21,11.3,8.468,0.0,-0.25,0,0,0.415403721,0.423997905,1.0236e-07,,25.081925285576453,4.430816798843313,Прочие,6.655529198915152,7.216976134290604,6.247365751092821,3.928924824893405,10.0,6.809759181838397,7.310488544970236,0.0006,-0.25
AQUA,60.20812787226331,0.0,48.52645495464854,49.84186381102373,100.0,51.71528932758711,54.75354581715494,"ПАО ""Русская Аквакультура""",28,Рыбоводство морское,AQUA,1172.0,1000.0,17413759000.0,20058191000.0,58800000000.0,60300000000.0,14100000000.0,17100000000.0,0.175,0.035,868.5,607.0,40.0,-0.26,600.5,492.4,10.0,-0.16,0,0,0.239795918,0.28358209,0.29615236,0.332639983,24.797407691850992,7.066466970136958,Прочие,6.0208127872263315,0.0,4.852645495464854,4.984186381102373,10.0,5.171528932758711,5.475354581715494,0.035,-0.16
ASTR,59.95850186118509,21.305039776182326,47.2181312696725,42.82530996320193,100.0,54.26139657404837,58.227850846391895,"ПАО ""Группа Астра""",17,Разработка компьютерного программного обеспечения,ASTR,2803.0,2738.0,1015970000.0,2162154000.0,19200000000.0,24500000000.0,2940000000.0,3350000000.0,0.337,0.258,513.1,469.5,3.15,-0.08,468.6,252.95,5.79,-0.45,0,0,0.153125,0.136734694,0.0529151,0.088251184,23.678176115980147,7.938445551164788,Разработка компьютерного программного обеспечения,5.995850186118509,2.1305039776182326,4.72181312696725,4.282530996320193,10.0,5.426139657404837,5.8227850846391895,0.258,-0.45
ENPG,56.49315688583775,16.166808156969118,45.517257279203406,52.23831961004878,100.0,54.083108386411816,57.6172127080792,"МКПАО ""ЭН+ ГРУП""",23,Деятельность холдинговых компаний,ENPG,93486.0,95331.0,1044760000000.0,1069280000000.0,2503000000000.0,2568000000000.0,980800000000.0,1034000000000.0,0.036,0.014,448.8,348.2,0.0,-0.22,351.1,451.45,0.0,0.29,0,0,0.39184978,0.402647975,0.41740268,0.41638659,28.548511128378184,11.445566971445409,Деятельность холдинговых компаний,5.6493156885837745,1.616680815696912,4.55172572792034,5.223831961004878,10.0,5.408310838641182,5.76172127080792,0.014,0.29
ETLN,57.77830650146414,8.407415077306903,54.749212802166426,46.79241309427809,100.0,53.54546949504311,57.166544421454816,ETALON GROUP PLC,38,Деятельность холдинговых компаний,ETLN,6330.0,7123.0,7259000000.0,8803000000.0,336400000000.0,380200000000.0,176600000000.0,222500000000.0,-0.006,-0.059,84.7,54.82,0.0,-0.35,54.24,38.8,0.0,-0.28,0,0,0.524970273,0.585218306,0.02157848,0.023153603,26.541566765045204,8.753055515138222,Деятельность холдинговых компаний,5.777830650146414,0.8407415077306902,5.474921280216643,4.679241309427809,10.0,5.354546949504311,5.716654442145481,-0.059,-0.28
EUTR,59.08096097140045,0.0,48.319565166171465,50.379272619028235,100.0,51.55595975132003,54.64160999827376,"ПАО ""ЕвроТранс""",28,Торговля розничная моторным топливом в специализированных магазинах,EUTR,1433.0,1756.0,25768551000.0,39618427000.0,103900000000.0,141100000000.0,48800000000.0,66800000000.0,0.053,0.034,260.0,119.0,27.49,-0.44,117.9,147.2,20.35,0.42,0,0,0.469682387,0.473423104,0.248013,0.280782615,25.366694735051592,7.267525427828172,Прочие,5.908096097140045,0.0,4.831956516617146,5.037927261902824,10.0,5.1555959751320035,5.464160999827376,0.034,0.42
FEES,57.98637125179917,8.945222220121401,46.52149504295912,42.85381768950749,100.0,51.261381240877434,55.06499393913846,"ПАО ""РОССЕТИ""",24,Передача электроэнергии,FEES,,,1057380000000.0,1194380000000.0,1937340000000.0,2203310000000.0,733738000000.0,899458000000.0,-0.1455,0.0484,0.1117,0.07732,0.0,-0.31,0.0763,0.07082,0.0,-0.07,1,1,0.378735038,0.408229805,0.54578772,0.542082652,28.292337014118782,,Передача электроэнергии,5.798637125179917,0.8945222220121402,4.652149504295911,4.2853817689507485,10.0,5.126138124087744,5.506499393913846,0.0484,-0.07
