model_id,sample,outcome,block,specification,family,formula,status,reason,n,rank,df_resid,r2,adj_r2,sse,cv_r2,cv_rmse,max_leverage,condition_number,dropped_constant
all_managers__roa_2025__education__M1__main,all_managers,roa_2025,education,M1,main,roa_2025 ~ expertise_score_10,ok,,101,2.0,99.0,0.0059022383272875345,-0.004139153204760104,2.5282517442266794,-0.03409037326538322,0.1613667939461785,0.07624596187951305,15.095270177405263,
all_managers__roa_2025__education__M2__main,all_managers,roa_2025,education,M2,main,roa_2025 ~ expertise_score_10 + roa_2024,ok,,101,3.0,98.0,0.5455068699873058,0.5362314999870468,1.155895418937627,0.47570215146319117,0.11490104028507714,0.4061292582286792,28.796777085243953,
all_managers__roa_2025__education__M3__main,all_managers,roa_2025,education,M3,main,roa_2025 ~ expertise_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,ok,,93,8.0,85.0,0.5637454748501904,0.527818631602559,0.9059919035237614,0.4519769272612467,0.11062419752740336,0.4852381051294082,702.7762966149102,
all_managers__roa_2025__education__M4__main,all_managers,roa_2025,education,M4,main,roa_2025 ~ expertise_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + C(industry_group),ok,,93,15.0,78.0,0.6397903404944858,0.5751373246858038,0.7480656732923957,0.28175428128729907,0.12664476270340425,0.7054415021627038,801.4183372975759,
all_managers__roa_2025__education__M5__main,all_managers,roa_2025,education,M5,main,roa_2025 ~ expertise_score_10 + roa_2024 + log_employees_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,ok,,54,8.0,46.0,0.5694913556800636,0.5039791706748559,0.5862359626168803,0.3604984204772699,0.1269899116587209,0.5119782243295015,489.68129398625496,
all_managers__roa_2024__education__C2024__main,all_managers,roa_2024,education,C2024,main,roa_2024 ~ expertise_score_10 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,ok,,93,7.0,86.0,0.3035393720102013,0.25494909563882007,1.3686015798123174,0.2113468498054346,0.1290897561314549,0.46755365566351303,648.2790079099165,
all_managers__roa_2025_w__education__W2025__main,all_managers,roa_2025_w,education,W2025,main,roa_2025_w ~ expertise_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,ok,,93,8.0,85.0,0.5674520019301764,0.531830402089132,0.8760741028413841,0.4597594768429385,0.10846893410323166,0.4852381051294082,702.7762966149102,
all_managers__roa_2025__index_equal__M1__main,all_managers,roa_2025,index_equal,M1,main,roa_2025 ~ index_equal_10,ok,,60,2.0,58.0,0.01460640162186011,-0.002383143177763003,1.0656106013808746,-0.03469296414992207,0.13656031841344513,0.38258454899292116,49.236397960879266,
all_managers__roa_2025__index_equal__M2__main,all_managers,roa_2025,index_equal,M2,main,roa_2025 ~ index_equal_10 + roa_2024,ok,,60,3.0,57.0,0.5879875638486032,0.5735309871415366,0.4455527421593903,0.5220251097815032,0.09281567209845772,0.6174096306050554,49.39645089322954,
all_managers__roa_2025__index_equal__M3__main,all_managers,roa_2025,index_equal,M3,main,roa_2025 ~ index_equal_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,ok,,56,8.0,48.0,0.6193573740499865,0.5638469910989428,0.40646410548663936,0.47724951769337554,0.09984023553996303,0.669046431465222,762.0713908754309,
all_managers__roa_2025__index_equal__M4__main,all_managers,roa_2025,index_equal,M4,main,roa_2025 ~ index_equal_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + C(industry_group),ok,,56,13.0,43.0,0.7266818316433097,0.6504069939623729,0.29185912780282747,0.11118266472599914,0.1301861051050447,0.8268101835701946,885.9340181827391,
