sample,block,n,r2,adj_r2,loocv_r2,loocv_rmse,undefined_folds
all_managers,controls,56,0.7109384403793133,0.6386730504741416,0.06354392791009145,0.13362941920322904,0
all_managers,education,56,0.7154761357986419,0.6360741271843093,0.015698286010734308,0.13700060862036245,0
all_managers,index_equal,56,0.7266818316433097,0.6504069939623729,0.11118266472599947,0.13018610510504466,0
all_managers,index_critic,56,0.7265211949988899,0.6502015284869522,0.11461138894140466,0.1299347578653471,0
all_managers,components_joint,56,0.7336572852926446,0.6243884792588579,,,1
all_managers,index_catboost,56,0.724969757132226,0.648217131215638,0.08043377537721252,0.13241887122556528,0
ceo,controls,27,0.9241845114777228,0.8685864865613863,,,3
ceo,education,27,0.9256994309947594,0.8620132289902674,,,3
ceo,index_equal,27,0.9419227218762715,0.8921421977702184,,,3
ceo,index_critic,27,0.935671903378283,0.8805335348453827,,,3
ceo,components_joint,27,0.9610334154064529,0.9078971636879797,,,3
ceo,index_catboost,27,0.9357314715378946,0.8806441614275186,,,3
