held_out,n_train,media_score,awards_score,expertise_score,face_score,communication_score
ABIO,26,0.30689044984553865,0.3786780315530439,0.12795953271408178,0.18647198588733566,0.0
AGRO,26,0.22276500994811269,0.4465103290111079,0.16808056795957987,0.16264409308119962,0.0
ALRS,26,0.22379994965506386,0.4409272694009681,0.13121357578654175,0.20405920515742632,0.0
AQUA,26,0.08968403266603255,0.45633475697501935,0.25848430035009695,0.19549691000885125,0.0
DATA,26,0.1867738409306211,0.5416179851500881,0.07382786827523705,0.19778030564405366,0.0
DELI,26,0.36472956665637923,0.44302031666284825,0.11179789431209722,0.08045222236867532,0.0
ETLN,26,0.18012095454339042,0.4417812676159428,0.19868844495531437,0.1794093328853523,0.0
EUTR,26,0.2165086952589914,0.4509292981591894,0.13062342415373238,0.20193858242808682,0.0
FIVE,26,0.19175566021252588,0.42682803129963104,0.14992236207674783,0.23149394641109516,0.0
GAZP,26,0.24950851545236727,0.42349431276746424,0.14086959087716192,0.18612758090300663,0.0
GEMC,26,0.22933112717174156,0.4051026690245272,0.1527475808365073,0.2128186229672239,0.0
HEAD,26,0.1889695559583524,0.047484426503539325,0.2683714252652678,0.49517459227284033,0.0
HYDR,26,0.19796630568099197,0.46181328393352994,0.13134854239714996,0.2088718679883282,0.0
IRAO,26,0.22032792811066607,0.5009933852238045,0.1040913794319195,0.17458730723360993,0.0
KAZT,26,0.16117661522206198,0.5136522109700695,0.13306032828795064,0.19211084551991792,0.0
MGTSP,26,0.14632719027698468,0.48336630140251297,0.15094031510516737,0.21936619321533496,0.0
MRKP,26,0.2357864855700555,0.4671382424481366,0.16425907515645125,0.13281619682535664,0.0
MRKV,26,0.2319599310774925,0.46706387879348144,0.08948986697018536,0.21148632315884072,0.0
NKNC,26,0.21996503000313197,0.4589717780091608,0.12547036859120714,0.19559282339650014,0.0
PHOR,26,0.1083470603188999,0.5573828256093653,0.12262527003062382,0.21164484404111103,0.0
PIKK,26,0.18348794047895345,0.41905472013147976,0.19032084845479527,0.20713649093477154,0.0
PRMD,26,0.2457506294262938,0.4604865719066962,0.10816171972246487,0.18560107894454528,0.0
RENI,26,0.10021155803601901,0.4566064467361239,0.13615291919404757,0.3070290760338095,0.0
SMLT,26,0.22891229528867663,0.48268226730027025,0.11466976902205045,0.17373566838900256,0.0
SOFL,26,0.18691093834327857,0.4855256159446176,0.10429834455489147,0.2232651011572125,0.0
TATN,26,0.2387533009643514,0.36712911139970406,0.24533644201319785,0.14878114562274658,0.0
TTLK,26,0.23462880287993862,0.4585462822826744,0.12460208519580655,0.18222282964158046,0.0
