ticker,in_index,in_finance
ABIO,True,True
AFKS,True,True
AFLT,True,True
AGRO,True,True
AKRN,True,True
ALRS,True,True
APTK,True,True
AQUA,True,True
ASTR,True,True
BANEP,True,True
BELU,True,True
BSPB,True,True
CBOM,True,True
CHMF,True,True
CHMK,True,True
CIAN,True,True
DATA,True,True
DELI,True,True
DIAS,True,True
DVEC,True,True
ELFV,True,True
ENPG,True,True
ETLN,True,True
EUTR,True,True
FEES,True,True
FESH,True,True
FIVE,True,True
FIXP,True,True
FLOT,True,True
GAZP,True,True
GEMC,True,True
GLTR,True,True
GMKN,True,True
HEAD,True,True
HNFG,True,True
HYDR,True,True
IRAO,True,True
IVAT,True,True
KAZT,True,True
KZOS,True,True
LEAS,True,True
LENT,True,True
LKOH,True,True
LSNGP,True,True
LSRG,True,True
MAGN,True,True
MBNK,True,True
MDMG,True,True
MGNT,True,True
MGTSP,True,True
MOEX,True,True
MRKC,True,True
MRKP,True,True
MRKU,True,True
MRKV,True,True
MRKZ,True,True
MSNG,True,True
MSRS,True,True
MTLR,True,True
MTSS,True,True
MVID,True,True
NKHP,True,True
NKNC,True,True
NLMK,True,True
NMTP,True,True
NVTK,True,False
OGKB,True,True
OKEY,True,True
OZON,True,True
OZPH,True,True
PHOR,True,True
PIKK,True,True
PLZL,True,True
POLY,True,True
POSI,True,True
PRMD,True,True
QIWI,True,True
RASP,True,True
RENI,True,True
RKKE,True,True
RNFT,True,True
ROSN,True,True
RTKM,True,True
RUAL,True,True
SBER,True,True
SELG,True,True
SFIN,True,True
SGZH,True,True
SMLT,True,True
SNGS,True,True
SOFL,True,True
SPBE,True,True
SVAV,True,True
SVCB,True,True
T,True,True
TATN,True,True
TGKA,True,True
TGKB,True,True
TRMK,True,True
TRNFP,True,True
TTLK,True,True
UGLD,True,True
UPRO,True,True
VKCO,True,True
VSEH,True,True
VSMO,True,True
VTBR,True,True
WUSH,True,True
YDEX,True,True
ZAYM,True,True
