sample,predictor,outcome,method,n,correlation,p_value,q_value_bh
all_managers,media_score,roa_2025,Pearson,101,-0.04888695258468203,0.6273339162193918,0.8782674827071485
all_managers,media_score,roa_2025,Spearman,101,-0.06586059082954004,0.5128779624731274,0.7326746364709246
all_managers,media_score,stock_return_2025,Pearson,102,-0.28225303837092686,0.00405096180587701,0.11342693056455627
all_managers,media_score,stock_return_2025,Spearman,102,-0.12682397430882847,0.2040101092746837,0.5712283059691143
all_managers,media_score,roa_2024,Pearson,102,-0.056015361905082856,0.5760290368009147,0.8782674827071485
all_managers,media_score,roa_2024,Spearman,102,-0.05962764529928422,0.5516310609189912,0.7326746364709246
all_managers,media_score,stock_return_2024,Pearson,91,0.057802566869247195,0.5862803172953494,0.8782674827071485
all_managers,media_score,stock_return_2024,Spearman,91,0.083886231738137,0.42920298201105267,0.7326746364709246
all_managers,awards_score,roa_2025,Pearson,101,-0.1120839404230133,0.26445243432426874,0.8782674827071485
all_managers,awards_score,roa_2025,Spearman,101,-0.1487108338620885,0.13775889022902651,0.46143312718818685
all_managers,awards_score,stock_return_2025,Pearson,102,0.013387362073865788,0.8937621020115544,0.9809468283491133
all_managers,awards_score,stock_return_2025,Spearman,102,0.042871924215402576,0.6687634872176712,0.7326746364709246
all_managers,awards_score,roa_2024,Pearson,102,-0.09219813133998347,0.3567140868659338,0.8782674827071485
all_managers,awards_score,roa_2024,Spearman,102,-0.1935421134882132,0.051288272726114116,0.37393262507853936
all_managers,awards_score,stock_return_2024,Pearson,91,0.007211157744948633,0.9459130130509307,0.9809468283491133
all_managers,awards_score,stock_return_2024,Spearman,91,0.00661960847294193,0.9503440162345117,0.9503440162345117
all_managers,expertise_score,roa_2025,Pearson,101,0.07682602636663793,0.44509902873174784,0.8782674827071485
all_managers,expertise_score,roa_2025,Spearman,101,-0.045499021538766074,0.65141165114693,0.7326746364709246
all_managers,expertise_score,stock_return_2025,Pearson,103,-0.08329925609729702,0.40285518044801544,0.8782674827071485
all_managers,expertise_score,stock_return_2025,Spearman,103,-0.17323483768772535,0.080128419659687,0.37393262507853936
all_managers,expertise_score,roa_2024,Pearson,102,-0.0007956912879736842,0.9936672192070473,0.9936672192070473
