ticker,company_finance,age,industry_raw,ticker_raw,employees_2024,employees_2025,fixed_assets_2024,fixed_assets_2025,assets_2024,assets_2025,debt_2024,debt_2025,roa_2024,roa_2025,Цена акций на начало 2024,Цена акций на конец 2024,Дивиденды 2024,stock_return_2024,Цена акций на начало 2025,Цена акций на конец 2025,Дивиденды 2025,stock_return_2025,state_2024,state_2025,leverage_2024,leverage_2025,fixed_assets_ratio_2024,fixed_assets_ratio_2025,log_assets_2024,log_employees_2024
ABIO,"ПАО ""Артген""",22,Научные исследования и разработки в области естественных и технических наук прочие,ABIO,,300.0,221667000.0,,2670000000.0,2990000000.0,568000000.0,831000000.0,0.08,0.032,103.26,83.28,0.0,-0.19,85.7,68.48,1.2,-0.19,0,0,0.212734082,0.277926421,0.08302135,,21.70534430935857,
AFKS,"ПАО АФК ""СИСТЕМА""",33,"Предоставление прочих финансовых услуг, кроме услуг по страхованию и пенсионному обеспечению, не включенных в другие группировки",AFKS,266.0,,4959622000.0,4883454000.0,664791000000.0,709972000000.0,463320000000.0,494118000000.0,-0.0934,0.0203,16.328,15.594,0.0,-0.04,15.125,13.234,0.0,-0.13,0,0,0.696940071,0.695968238,0.00746042,0.006878377,27.222738542489875,5.583496308781699
AFLT,"ПАО ""АЭРОФЛОТ""",32,"Перевозка воздушным пассажирским транспортом, подчиняющимся расписанию",AFLT,33300.0,,440922000000.0,457205000000.0,957079000000.0,933998000000.0,1032420000000.0,907253000000.0,0.0232,0.1301,35.75,59.06,5.27,0.8,58.13,57.95,5.29,0.09,1,1,1.078718437,0.97136467,0.46069578,0.489513792,27.587151774626605,10.413312675968536
AGRO,РОС АГРО ПЛС,30,Деятельность холдинговых компаний,AGRO,30995.0,29800.0,170663000000.0,,508800000000.0,551200000000.0,161000000000.0,200200000000.0,0.071,0.034,1392.0,,0.0,,,,16.48,,0,0,0.316430818,0.363207547,0.33542171,,26.955320848972324,10.34158118013602
AKRN,"ПАО ""АКРОН""",34,Производство азотных минеральных или химических удобрений,AKRN,,,75837228000.0,87174199000.0,364594000000.0,364776000000.0,202697000000.0,174010000000.0,0.0482,0.1437,18866.0,17770.0,427.0,-0.04,17652.0,18056.0,723.0,0.06,0,0,0.555953152,0.477033504,0.20800453,0.23898,26.622050242665,
ALRS,"АК ""АЛРОСА"" (ПАО)",34,Добыча алмазов,ALRS,,,292982000000.0,279940000000.0,712292000000.0,726642000000.0,324992000000.0,312552000000.0,0.0121,0.0417,71.2,57.86,2.49,-0.15,56.05,41.38,0.0,-0.26,1,1,0.456262585,0.430132305,0.41132286,0.38525124,27.29175377664485,
APTK,"ПАО ""АПТЕЧНАЯ СЕТЬ 36,6""",24,Консультирование по вопросам коммерческой деятельности и управления,APTK,84.0,94.0,8000.0,,78152297000.0,79393923000.0,32464755000.0,33662857000.0,0.0015,0.0006,14.516,11.5,0.0,-0.21,11.3,8.468,0.0,-0.25,0,0,0.415403721,0.423997905,1.0236e-07,,25.081925285576453,4.430816798843313
AQUA,"ПАО ""Русская Аквакультура""",28,Рыбоводство морское,AQUA,1172.0,1000.0,17413759000.0,20058191000.0,58800000000.0,60300000000.0,14100000000.0,17100000000.0,0.175,0.035,868.5,607.0,40.0,-0.26,600.5,492.4,10.0,-0.16,0,0,0.239795918,0.28358209,0.29615236,0.332639983,24.797407691850992,7.066466970136958
ASTR,"ПАО ""Группа Астра""",17,Разработка компьютерного программного обеспечения,ASTR,2803.0,2738.0,1015970000.0,2162154000.0,19200000000.0,24500000000.0,2940000000.0,3350000000.0,0.337,0.258,513.1,469.5,3.15,-0.08,468.6,252.95,5.79,-0.45,0,0,0.153125,0.136734694,0.0529151,0.088251184,23.678176115980147,7.938445551164788
BANEP,"ПАО АНК ""Башнефть""",79,Добыча сырой нефти и нефтяного (попутного) газа,BANEP,,,17335000000.0,20386000000.0,1163000000000.0,1118000000000.0,,,0.09,0.044,1794.5,1314.5,147.31,-0.19,1282.5,879.0,69.29,-0.26,1,1,,,0.01490542,0.018234347,27.782023989465074,
BELU,"ПАО ""НоваБев Групп""",26,"Перегонка, очистка и смешивание спиртов",BELU,14000.0,15000.0,13164000000.0,13574000000.0,122900000000.0,128300000000.0,34400000000.0,37600000000.0,0.037,0.04,5534.0,512.0,37.5,-0.9,508.0,407.8,30.0,-0.14,0,0,0.27990236,0.293063133,0.10711147,0.105798909,25.5346368535184,9.546812608597396
BSPB,"ПАО ""Банк ""Санкт-Петербург""",35,Денежное посредничество прочее,BSPB,4819.0,5184.0,19505000000.0,21380000000.0,1137000000000.0,1306000000000.0,,,,,223.0,369.2,56.98,0.91,361.19,308.56,42.84,-0.03,0,0,,,0.01715479,0.016370597,27.75941433069695,8.480321716640333
CBOM,"ПАО ""МОСКОВСКИЙ КРЕДИТНЫЙ БАНК""",33,Денежное посредничество прочее,CBOM,7779.0,6338.0,17149000000.0,17724000000.0,5009000000000.0,4874000000000.0,,,0.004,,8.092,10.247,0.0,0.27,9.97,6.065,0.0,-0.39,0,0,,,0.00342364,0.003636438,29.242257410304028,8.959183074206774
CHMF,"ПАО ""СЕВЕРСТАЛЬ""",32,Производство листового горячекатаного стального проката,CHMF,,,286122000000.0,397216000000.0,794034000000.0,846546000000.0,355343000000.0,295099000000.0,0.132,0.1375,1427.0,1337.4,118.42,0.02,1288.6,962.2,0.0,-0.25,0,0,0.447516672,0.348591569,0.36034022,0.469220033,27.400392118435438,
CHMK,"ПАО ""ЧМК""",33,Производство сортового горячекатаного проката и катанки,CHMK,,,65250798000.0,70313663000.0,296823000000.0,316609000000.0,220550000000.0,253693000000.0,-0.0236,-0.0633,9675.0,6060.0,0.0,-0.37,6565.0,4375.0,0.0,-0.33,0,0,0.743035776,0.801280131,0.21983077,0.222083409,26.416401838498643,
CIAN,Cian PLC,24,"Деятельность по обработке данных, предоставление услуг по размещению информации и связанная с этим деятельность",CIAN,1070.0,934.0,85000000.0,94000000.0,13100000000.0,10100000000.0,0.0,0.0,0.13,0.264,658.4,527.4,0.0,-0.2,510.6,,104.0,,0,0,0.0,0.0,0.00648855,0.009306931,23.295878067153517,6.975413927455952
DATA,"ПАО ""Группа Аренадата""",9,Разработка компьютерного программного обеспечения,DATA,632.0,836.0,73086000.0,90882000.0,4430000000.0,8960000000.0,77000000.0,73000000.0,0.44,0.298,,134.44,3.43,,135.22,78.44,6.43,-0.37,0,0,0.01738149,0.008147321,0.01649797,0.01014308,22.211665421003456,6.448889394146858
DELI,"ПАО ""Каршеринг Руссия""",10,Аренда и лизинг легковых автомобилей и легких автотранспортных средств,DELI,2538.0,2340.0,15316000000.0,13308000000.0,39900000000.0,36000000000.0,31400000000.0,31200000000.0,0.0,-0.104,,219.0,1.0,,213.35,109.2,0.0,-0.49,0,0,0.786967419,0.866666667,0.38385965,0.369666667,24.40964216084223,7.839131648274333
DIAS,"ПАО ""Диасофт""",34,Разработка компьютерного программного обеспечения,DIAS,2443.0,2214.0,280569000.0,294412.0,8550000000.0,8520000000.0,0.0,461000000.0,0.281,0.13,,4260.0,171.9,,4365.0,1693.5,200.0,-0.57,0,0,0.0,0.054107981,0.03281509,3.45554e-05,22.86919711989508,7.8009820712577405
DVEC,"ПАО ""ДЭК""",19,Торговля электроэнергией,DVEC,,,5363028000.0,6732455000.0,38164666000.0,38374624000.0,16843386000.0,16624871000.0,0.1143,0.0866,3.424,2.15,0.167,-0.32,2.151,1.788,0.104,-0.12,1,1,0.441334558,0.433225639,0.14052338,0.175440286,24.365175950684687,
ELFV,"ПАО ""ЭЛ5-Энерго""",21,Производство электроэнергии,ELFV,1527.0,2100.0,55680516000.0,63947218000.0,73700000000.0,81300000000.0,30800000000.0,23100000000.0,0.062,0.132,0.6916,0.5184,0.0,-0.25,0.5206,0.493,0.0,-0.05,0,0,0.417910448,0.284132841,0.75550225,0.786558647,25.0232686361417,7.3310603052186325
ENPG,"МКПАО ""ЭН+ ГРУП""",23,Деятельность холдинговых компаний,ENPG,93486.0,95331.0,1044760000000.0,1069280000000.0,2503000000000.0,2568000000000.0,980800000000.0,1034000000000.0,0.036,0.014,448.8,348.2,0.0,-0.22,351.1,451.45,0.0,0.29,0,0,0.39184978,0.402647975,0.41740268,0.41638659,28.548511128378184,11.445566971445409
ETLN,ETALON GROUP PLC,38,Деятельность холдинговых компаний,ETLN,6330.0,7123.0,7259000000.0,8803000000.0,336400000000.0,380200000000.0,176600000000.0,222500000000.0,-0.006,-0.059,84.7,54.82,0.0,-0.35,54.24,38.8,0.0,-0.28,0,0,0.524970273,0.585218306,0.02157848,0.023153603,26.541566765045204,8.753055515138222
EUTR,"ПАО ""ЕвроТранс""",28,Торговля розничная моторным топливом в специализированных магазинах,EUTR,1433.0,1756.0,25768551000.0,39618427000.0,103900000000.0,141100000000.0,48800000000.0,66800000000.0,0.053,0.034,260.0,119.0,27.49,-0.44,117.9,147.2,20.35,0.42,0,0,0.469682387,0.473423104,0.248013,0.280782615,25.366694735051592,7.267525427828172
