model_id,sample,outcome,block,specification,family,formula,term,coef,se_hc3,t,p_value,ci_low,ci_high,n,is_focal,term_status,effect_pp_per_10_points,se_pp_hc3,ci_low_pp,ci_high_pp,q_value_bh
all_managers__roa_2025__media_score__M3__individual_components,all_managers,roa_2025,media_score,M3,individual_components,roa_2025 ~ media_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,media_score_10,0.0035900016762448255,0.015218561350581599,0.2358962580985113,0.8140806413627922,-0.026668575455089768,0.03384857880757942,93,True,ok,0.35900016762448256,1.5218561350581599,-2.666857545508977,3.384857880757942,0.8140806413627922
all_managers__roa_2025__awards_score__M3__individual_components,all_managers,roa_2025,awards_score,M3,individual_components,roa_2025 ~ awards_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,awards_score_10,-0.005088166501924505,0.012466121948355462,-0.40815953213065903,0.6841829030709554,-0.029874156702537083,0.019697823698688076,93,True,ok,-0.5088166501924505,1.2466121948355462,-2.9874156702537085,1.9697823698688075,0.8140806413627922
all_managers__roa_2025__expertise_score__M3__individual_components,all_managers,roa_2025,expertise_score,M3,individual_components,roa_2025 ~ expertise_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,expertise_score_10,0.012594005738338205,0.010626301829146879,1.185172973705124,0.23925201077485417,-0.008533929163721032,0.03372194064039744,93,True,ok,1.2594005738338205,1.0626301829146878,-0.8533929163721032,3.372194064039744,0.7610562358884622
all_managers__roa_2025__face_score__M3__individual_components,all_managers,roa_2025,face_score,M3,individual_components,roa_2025 ~ face_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,face_score_10,-0.009845326948070983,0.01313878283356429,-0.7493332580945127,0.45663374153307734,-0.03613597067173859,0.01644531677559663,67,True,ok,-0.9845326948070983,1.313878283356429,-3.6135970671738593,1.644531677559663,0.7610562358884622
all_managers__roa_2025__communication_score__M3__individual_components,all_managers,roa_2025,communication_score,M3,individual_components,roa_2025 ~ communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,communication_score_10,-0.0020513856539244725,0.006089094526359811,-0.33689502520349834,0.7372814012485992,-0.014212147160299905,0.010109375852450959,73,True,ok,-0.20513856539244724,0.6089094526359812,-1.4212147160299904,1.010937585245096,0.8140806413627922
all_managers__stock_return_2025__media_score__M3__individual_components,all_managers,stock_return_2025,media_score,M3,individual_components,stock_return_2025 ~ media_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,media_score_10,-0.11359422492631009,0.05325994925474909,-2.132826382972588,0.036498850733592596,-0.21984491650091592,-0.007343533351704262,77,True,ok,-11.359422492631008,5.325994925474909,-21.98449165009159,-0.7343533351704262,0.36498850733592597
all_managers__stock_return_2025__awards_score__M3__individual_components,all_managers,stock_return_2025,awards_score,M3,individual_components,stock_return_2025 ~ awards_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,awards_score_10,0.03415045522342702,0.033303889747956304,1.0254194174277396,0.30874685748172037,-0.032288986934495334,0.10058989738134938,77,True,ok,3.4150455223427025,3.3303889747956306,-3.2288986934495334,10.058989738134938,0.7610562358884622
all_managers__stock_return_2025__expertise_score__M3__individual_components,all_managers,stock_return_2025,expertise_score,M3,individual_components,stock_return_2025 ~ expertise_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,expertise_score_10,0.012302545534783663,0.0302556384374284,0.4066199283887703,0.6855456621814419,-0.04805580164710642,0.07266089271667375,77,True,ok,1.2302545534783664,3.02556384374284,-4.8055801647106415,7.266089271667376,0.8140806413627922
all_managers__stock_return_2025__face_score__M3__individual_components,all_managers,stock_return_2025,face_score,M3,individual_components,stock_return_2025 ~ face_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,face_score_10,0.05785485079087536,0.07593257968827931,0.7619239465902886,0.4499944498187561,-0.0949895046782609,0.2106992062600116,54,True,ok,5.785485079087536,7.593257968827931,-9.49895046782609,21.06992062600116,0.7610562358884622
all_managers__stock_return_2025__communication_score__M3__individual_components,all_managers,stock_return_2025,communication_score,M3,individual_components,stock_return_2025 ~ communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,communication_score_10,0.019572805544727217,0.018579135541031692,1.053483112898392,0.2972869177539038,-0.01776336516579782,0.05690897625525225,57,True,ok,1.9572805544727216,1.8579135541031693,-1.776336516579782,5.690897625525225,0.7610562358884622
