sample,outcome,block,specification,n_common,n,r2,adj_r2,cv_r2,cv_rmse,inference_status,partial_r2_vs_controls
all_managers,roa_2025,controls,common_no_industry,56,56,0.6081293258218223,0.5601451616367394,0.4683031174556146,0.1006909487104985,ok,0.0
all_managers,roa_2025,education,common_no_industry,56,56,0.6081653986709106,0.5510228526437517,0.44774538365209005,0.10261906498441059,ok,9.205294365015943e-05
all_managers,roa_2025,index_equal,common_no_industry,56,56,0.6193573740499866,0.563846991098943,0.4772495176933723,0.09984023553996335,ok,0.02865243297858801
all_managers,roa_2025,index_critic,common_no_industry,56,56,0.6205243890291262,0.5651841957625405,0.4793875126742463,0.09963585827745136,ok,0.03163049450765506
all_managers,roa_2025,components_joint,common_no_industry,56,56,0.6380283162737048,0.547535395342131,,,undefined_hc3_and_press_leverage_one,0.076298106549019
all_managers,roa_2025,controls,common_industry,56,56,0.7109384403793133,0.6386730504741416,0.06354392791012486,0.13362941920322666,ok,0.0
all_managers,roa_2025,education,common_industry,56,56,0.715476135798642,0.6360741271843096,0.015698286010734974,0.1370006086203624,ok,0.015698024411419875
all_managers,roa_2025,index_equal,common_industry,56,56,0.7266818316433097,0.6504069939623729,0.11118266472601745,0.13018610510504333,ok,0.05446380101406461
all_managers,roa_2025,index_critic,common_industry,56,56,0.7265211949988899,0.6502015284869522,0.11461138894142875,0.12993475786534534,ok,0.05390808324712783
all_managers,roa_2025,components_joint,common_industry,56,56,0.7336572852926446,0.6243884792588579,,,undefined_hc3_and_press_leverage_one,0.07859517862957441
all_managers,stock_return_2025,controls,common_no_industry,43,43,0.4586919575107593,0.36847395042921915,0.22940143640442023,0.36703117248083306,ok,0.0
all_managers,stock_return_2025,education,common_no_industry,43,43,0.45873736388972586,0.35048483666767105,0.2036683660202343,0.37310909670317327,ok,8.388269784020411e-05
all_managers,stock_return_2025,index_equal,common_no_industry,43,43,0.46591543572804595,0.3590985228736552,0.19903656258358504,0.3741926040413379,ok,0.013344487150179798
all_managers,stock_return_2025,index_critic,common_no_industry,43,43,0.47148634620044194,0.3657836154405304,0.21181417406143854,0.3711958941690931,ok,0.02363605874179668
all_managers,stock_return_2025,components_joint,common_no_industry,43,43,0.5598007610921427,0.40360103115709667,,,undefined_hc3_and_press_leverage_one,0.186786073076668
all_managers,stock_return_2025,controls,common_industry,43,43,0.6326504864479663,0.5178537634629558,,,undefined_hc3_and_press_leverage_one,0.0
all_managers,stock_return_2025,education,common_industry,43,43,0.634498810120314,0.5048048395178447,,,undefined_hc3_and_press_leverage_one,0.0050315125082801716
all_managers,stock_return_2025,index_equal,common_industry,43,43,0.644698961991337,0.5186244001172953,,,undefined_hc3_and_press_leverage_one,0.03279839798035854
all_managers,stock_return_2025,index_critic,common_industry,43,43,0.6453424779079517,0.5194962603914185,,,undefined_hc3_and_press_leverage_one,0.03455017903048835
all_managers,stock_return_2025,components_joint,common_industry,43,43,0.6761521797357284,0.4962367240333553,,,undefined_hc3_and_press_leverage_one,0.11842044614984998
ceo,roa_2025,controls,common_no_industry,27,27,0.9039681840277283,0.8751586392360468,0.8059795712872775,0.056073544351456305,ok,0.0
ceo,roa_2025,education,common_no_industry,27,27,0.9040469667567672,0.8686958492461025,0.7781266935323718,0.05996347679059089,ok,0.0008203815396100046
ceo,roa_2025,index_equal,common_no_industry,27,27,0.9137078066032558,0.8819159458781395,0.7941964047720159,0.057751165985096095,ok,0.10142078931777912
ceo,roa_2025,index_critic,common_no_industry,27,27,0.9096324763392944,0.8763391781485081,0.775144345532341,0.06036513621756858,ok,0.05898349681528172
ceo,roa_2025,components_joint,common_no_industry,27,27,0.9285922220341372,0.8839623608054729,0.7336183243266802,0.06570318936468292,ok,0.25641541563182363
ceo,roa_2025,controls,common_industry,27,27,0.9241845114777228,0.8685864865613863,,,undefined_hc3_and_press_leverage_one,0.0
ceo,roa_2025,education,common_industry,27,27,0.9256994309947594,0.8620132289902674,,,undefined_hc3_and_press_leverage_one,0.01998166267294297
ceo,roa_2025,index_equal,common_industry,27,27,0.9419227218762714,0.8921421977702182,,,undefined_hc3_and_press_leverage_one,0.23396552266937415
ceo,roa_2025,index_critic,common_industry,27,27,0.935671903378283,0.8805335348453827,,,undefined_hc3_and_press_leverage_one,0.151517745574966
ceo,roa_2025,components_joint,common_industry,27,27,0.961033415406453,0.9078971636879799,,,undefined_hc3_and_press_leverage_one,0.4860339839121753
ceo,stock_return_2025,controls,common_no_industry,20,20,0.5229178490498658,0.30272608707288085,-2.80888380744943,0.902269820155951,ok,0.0
ceo,stock_return_2025,education,common_no_industry,20,20,0.5230907429443845,0.2448936763286088,-3.7824722071004118,1.0110294266570856,ok,0.0003623985809873465
ceo,stock_return_2025,index_equal,common_no_industry,20,20,0.5240031713585603,0.24633835465105391,-3.5471458609677624,0.9858413076187666,ok,0.0022749170274617573
ceo,stock_return_2025,index_critic,common_no_industry,20,20,0.5285754310576329,0.25357776584125213,-3.1821299303875206,0.945445130686543,ok,0.011858716567995165
ceo,stock_return_2025,components_joint,common_no_industry,20,20,0.551732069154044,0.05365659043631532,,,undefined_hc3_and_press_leverage_one,0.06039676824377779
ceo,stock_return_2025,controls,common_industry,20,20,0.8171366009524175,0.6841450380087211,0.21186332314870882,0.4104292820847966,ok,0.0
ceo,stock_return_2025,education,common_industry,20,20,0.8240888192414517,0.6657687565587582,0.1184693320245449,0.4340665121119884,ok,0.03801864301573705
