model_id,sample,outcome,block,specification,family,formula,status,reason,n,rank,df_resid,r2,adj_r2,sse,cv_r2,cv_rmse,max_leverage,condition_number,dropped_constant
all_managers__roa_2025__components_joint__M3__main,all_managers,roa_2025,components_joint,M3,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,undefined_hc3_and_press_leverage_one,,56,12.0,44.0,0.6380283162737048,0.547535395342131,0.38652659110391496,,,0.9999999999999992,895.9088866154157,
all_managers__roa_2025__components_joint__M4__main,all_managers,roa_2025,components_joint,M4,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + C(industry_group),undefined_hc3_and_press_leverage_one,,56,17.0,39.0,0.7336572852926445,0.6243884792588577,0.284410483498044,,,1.0000000000000016,1089.3310173370062,
all_managers__roa_2025__components_joint__M5__main,all_managers,roa_2025,components_joint,M5,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_employees_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,undefined_hc3_and_press_leverage_one,,38,12.0,26.0,0.573713647135955,0.3933617286165513,0.3144127335660253,,,1.0000000000000016,742.0172328092128,
all_managers__roa_2024__components_joint__C2024__main,all_managers,roa_2024,components_joint,C2024,main,roa_2024 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,undefined_hc3_and_press_leverage_one,,56,11.0,45.0,0.2920374750725586,0.13471246953312732,0.9702653827564676,,,0.9999999999999986,867.8630758580116,
all_managers__roa_2025_w__components_joint__W2025__main,all_managers,roa_2025_w,components_joint,W2025,main,roa_2025_w ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,undefined_hc3_and_press_leverage_one,,56,12.0,44.0,0.6380283162737048,0.547535395342131,0.38652659110391496,,,0.9999999999999992,895.9088866154157,
all_managers__stock_return_2025__education__M4__main,all_managers,stock_return_2025,education,M4,main,stock_return_2025 ~ expertise_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + C(industry_group),undefined_hc3_and_press_leverage_one,,77,15.0,62.0,0.5459571770225138,0.44343137828566204,4.704624266547613,,,1.0000000000000002,791.7444419513315,
all_managers__stock_return_2025__index_equal__M4__main,all_managers,stock_return_2025,index_equal,M4,main,stock_return_2025 ~ index_equal_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + C(industry_group),undefined_hc3_and_press_leverage_one,,43,12.0,31.0,0.644698961991337,0.5186244001172953,2.670807818088925,,,0.9999999999999989,913.2576225768289,
all_managers__stock_return_2025__index_critic__M4__main,all_managers,stock_return_2025,index_critic,M4,main,stock_return_2025 ~ index_critic_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + C(industry_group),undefined_hc3_and_press_leverage_one,,43,12.0,31.0,0.6453424779079517,0.5194962603914185,2.6659704909851474,,,0.9999999999999997,910.7992377946418,
all_managers__stock_return_2025__components_joint__M3__main,all_managers,stock_return_2025,components_joint,M3,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,undefined_hc3_and_press_leverage_one,,43,12.0,31.0,0.5598007610921427,0.40360103115709667,3.3089899635002866,,,1.000000000000001,917.2749889368998,
all_managers__stock_return_2025__components_joint__M4__main,all_managers,stock_return_2025,components_joint,M4,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + C(industry_group),undefined_hc3_and_press_leverage_one,,43,16.0,27.0,0.6761521797357284,0.4962367240333553,2.434373102540118,,,1.0000000000000002,1067.8289251906006,
all_managers__stock_return_2025__components_joint__M5__main,all_managers,stock_return_2025,components_joint,M5,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_employees_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,undefined_hc3_and_press_leverage_one,,27,12.0,15.0,0.7157195940326776,0.5072472963233079,0.8875128985260556,,,0.9999999999999987,827.2918423576363,
all_managers__stock_return_2024__components_joint__C2024__main,all_managers,stock_return_2024,components_joint,C2024,main,stock_return_2024 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,undefined_hc3_and_press_leverage_one,,46,11.0,35.0,0.1085215554348774,-0.14618657158372916,4.170911748671374,,,0.999999999999998,879.4664862292028,
all_managers__stock_return_2025_w__components_joint__W2025__main,all_managers,stock_return_2025_w,components_joint,W2025,main,stock_return_2025_w ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,undefined_hc3_and_press_leverage_one,,43,12.0,31.0,0.5813880799628506,0.43284836640128144,2.3964526188104847,,,1.000000000000001,917.2749889368998,
ceo__roa_2025__index_equal__M4__main,ceo,roa_2025,index_equal,M4,main,roa_2025 ~ index_equal_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + C(industry_group),undefined_hc3_and_press_leverage_one,,27,13.0,14.0,0.9419227218762714,0.8921421977702182,0.025411984113355567,,,1.0000000000000018,1401.8272704043618,
ceo__roa_2025__index_critic__M4__main,ceo,roa_2025,index_critic,M4,main,roa_2025 ~ index_critic_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + C(industry_group),undefined_hc3_and_press_leverage_one,,27,13.0,14.0,0.935671903378283,0.8805335348453827,0.02814705892226696,,,0.9999999999999998,1198.867885809348,
ceo__roa_2025__components_joint__M1__main,ceo,roa_2025,components_joint,M1,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10,ok,,28,5.0,23.0,0.22961763572709748,0.09563809411441881,0.3418330377914912,-0.4633539256968562,0.15228233378531533,0.4075806983902754,112.38890116409443,communication_score_10
ceo__roa_2025__components_joint__M2__main,ceo,roa_2025,components_joint,M2,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024,ok,,28,6.0,22.0,0.9083282834350604,0.8874938023975742,0.04067645211807202,0.8539491521368352,0.048109060593782574,0.7750910333020561,112.41367392500273,communication_score_10
ceo__roa_2025__components_joint__M3__main,ceo,roa_2025,components_joint,M3,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,ok,,27,11.0,16.0,0.9285922220341372,0.8839623608054729,0.031244806538155118,0.7336183243266138,0.0657031893646911,0.933254035802419,838.513063039368,communication_score_10
ceo__roa_2025__components_joint__M4__main,ceo,roa_2025,components_joint,M4,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + C(industry_group),undefined_hc3_and_press_leverage_one,,27,16.0,11.0,0.961033415406453,0.9078971636879799,0.017050010961832063,,,1.0000000000000009,1296.4128531004706,communication_score_10
ceo__roa_2025__components_joint__M5__main,ceo,roa_2025,components_joint,M5,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_employees_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,ok,,17,11.0,6.0,0.8809331779113919,0.6824884744303785,0.01573921110162934,-0.42829792556393453,0.10538554383492713,0.9781659638997934,1243.9373654995504,communication_score_10
ceo__roa_2024__components_joint__C2024__main,ceo,roa_2024,components_joint,C2024,main,roa_2024 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,ok,,27,10.0,17.0,0.46707249395969574,0.18493440252659354,0.5802596152618257,-0.7154688457602698,0.26301870818295375,0.9324613105684528,799.3183830775481,communication_score_10
ceo__roa_2025_w__components_joint__W2025__main,ceo,roa_2025_w,components_joint,W2025,main,roa_2025_w ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,ok,,27,11.0,16.0,0.9285922220341372,0.8839623608054729,0.031244806538155118,0.7336183243266138,0.0657031893646911,0.933254035802419,838.513063039368,communication_score_10
ceo__stock_return_2025__education__M4__main,ceo,stock_return_2025,education,M4,main,stock_return_2025 ~ expertise_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + C(industry_group),undefined_hc3_and_press_leverage_one,,74,15.0,59.0,0.5470824106898893,0.4396104403451173,4.537120312437926,,,0.9999999999999999,794.6259345860268,
ceo__stock_return_2025__components_joint__M1__main,ceo,stock_return_2025,components_joint,M1,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10,ok,,26,5.0,21.0,0.034748361538947004,-0.14910909340601552,5.62103525389519,-0.49847777063533805,0.5793304543705108,0.5093177088574168,110.1681731648067,communication_score_10
ceo__stock_return_2025__components_joint__M2__main,ceo,stock_return_2025,components_joint,M2,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024,undefined_hc3_and_press_leverage_one,,21,6.0,15.0,0.46083686034235694,0.2811158137898092,2.8542885822512076,,,0.9999999999999999,100.75867651653792,communication_score_10
ceo__stock_return_2025__components_joint__M3__main,ceo,stock_return_2025,components_joint,M3,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,undefined_hc3_and_press_leverage_one,,20,11.0,9.0,0.5517320691540439,0.05365659043631488,1.9162086826475546,,,0.9999999999999928,973.6271491471698,communication_score_10
ceo__stock_return_2025__components_joint__M4__main,ceo,stock_return_2025,components_joint,M4,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024 + C(industry_group),undefined_hc3_and_press_leverage_one,,20,13.0,7.0,0.8417129221748254,0.5703636459030975,0.6766289801438852,,,0.9999999999999931,1202.866568374142,communication_score_10
ceo__stock_return_2025__components_joint__M5__main,ceo,stock_return_2025,components_joint,M5,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_employees_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,not_estimable,"Слишком мало наблюдений: N=11, rank=11",11,,,,,,,,,,
