model_id,ticker,included,missing_variables
all_managers__roa_2025__education__M1__main,ABIO,True,
all_managers__roa_2025__education__M1__main,AFKS,True,
all_managers__roa_2025__education__M1__main,AFLT,True,
all_managers__roa_2025__education__M1__main,AGRO,True,
all_managers__roa_2025__education__M1__main,AKRN,True,
all_managers__roa_2025__education__M1__main,ALRS,True,
all_managers__roa_2025__education__M1__main,APTK,True,
all_managers__roa_2025__education__M1__main,AQUA,True,
all_managers__roa_2025__education__M1__main,ASTR,True,
all_managers__roa_2025__education__M1__main,BANEP,True,
all_managers__roa_2025__education__M1__main,BELU,True,
all_managers__roa_2025__education__M1__main,BSPB,False,roa_2025
all_managers__roa_2025__education__M1__main,CBOM,False,roa_2025
all_managers__roa_2025__education__M1__main,CHMF,True,
all_managers__roa_2025__education__M1__main,CHMK,True,
all_managers__roa_2025__education__M1__main,CIAN,True,
all_managers__roa_2025__education__M1__main,DATA,True,
all_managers__roa_2025__education__M1__main,DELI,True,
all_managers__roa_2025__education__M1__main,DIAS,True,
all_managers__roa_2025__education__M1__main,DVEC,True,
all_managers__roa_2025__education__M1__main,ELFV,True,
all_managers__roa_2025__education__M1__main,ENPG,True,
all_managers__roa_2025__education__M1__main,ETLN,True,
all_managers__roa_2025__education__M1__main,EUTR,True,
all_managers__roa_2025__education__M1__main,FEES,True,
all_managers__roa_2025__education__M1__main,FESH,True,
all_managers__roa_2025__education__M1__main,FIVE,True,
all_managers__roa_2025__education__M1__main,FIXP,True,
all_managers__roa_2025__education__M1__main,FLOT,True,
all_managers__roa_2025__education__M1__main,GAZP,True,
all_managers__roa_2025__education__M1__main,GEMC,True,
all_managers__roa_2025__education__M1__main,GLTR,False,roa_2025
all_managers__roa_2025__education__M1__main,GMKN,True,
all_managers__roa_2025__education__M1__main,HEAD,True,
all_managers__roa_2025__education__M1__main,HNFG,True,
all_managers__roa_2025__education__M1__main,HYDR,True,
all_managers__roa_2025__education__M1__main,IRAO,True,
all_managers__roa_2025__education__M1__main,IVAT,True,
all_managers__roa_2025__education__M1__main,KAZT,True,
all_managers__roa_2025__education__M1__main,KZOS,True,
all_managers__roa_2025__education__M1__main,LEAS,True,
all_managers__roa_2025__education__M1__main,LENT,True,
all_managers__roa_2025__education__M1__main,LKOH,True,
all_managers__roa_2025__education__M1__main,LSNGP,True,
all_managers__roa_2025__education__M1__main,LSRG,True,
all_managers__roa_2025__education__M1__main,MAGN,True,
all_managers__roa_2025__education__M1__main,MBNK,False,roa_2025
all_managers__roa_2025__education__M1__main,MDMG,True,
all_managers__roa_2025__education__M1__main,MGNT,True,
all_managers__roa_2025__education__M1__main,MGTSP,True,
all_managers__roa_2025__education__M1__main,MOEX,True,
all_managers__roa_2025__education__M1__main,MRKC,True,
all_managers__roa_2025__education__M1__main,MRKP,True,
all_managers__roa_2025__education__M1__main,MRKU,True,
all_managers__roa_2025__education__M1__main,MRKV,True,
all_managers__roa_2025__education__M1__main,MRKZ,True,
all_managers__roa_2025__education__M1__main,MSNG,True,
all_managers__roa_2025__education__M1__main,MSRS,True,
all_managers__roa_2025__education__M1__main,MTLR,True,
all_managers__roa_2025__education__M1__main,MTSS,True,
all_managers__roa_2025__education__M1__main,MVID,True,
all_managers__roa_2025__education__M1__main,NKHP,True,
all_managers__roa_2025__education__M1__main,NKNC,True,
all_managers__roa_2025__education__M1__main,NLMK,True,
all_managers__roa_2025__education__M1__main,NMTP,True,
all_managers__roa_2025__education__M1__main,OGKB,True,
all_managers__roa_2025__education__M1__main,OKEY,True,
all_managers__roa_2025__education__M1__main,OZON,True,
all_managers__roa_2025__education__M1__main,OZPH,True,
all_managers__roa_2025__education__M1__main,PHOR,True,
all_managers__roa_2025__education__M1__main,PIKK,True,
all_managers__roa_2025__education__M1__main,PLZL,True,
all_managers__roa_2025__education__M1__main,POLY,False,roa_2025
all_managers__roa_2025__education__M1__main,POSI,True,
all_managers__roa_2025__education__M1__main,PRMD,True,
all_managers__roa_2025__education__M1__main,QIWI,False,roa_2025
all_managers__roa_2025__education__M1__main,RASP,True,
all_managers__roa_2025__education__M1__main,RENI,True,
all_managers__roa_2025__education__M1__main,RKKE,True,
all_managers__roa_2025__education__M1__main,RNFT,True,
all_managers__roa_2025__education__M1__main,ROSN,True,
all_managers__roa_2025__education__M1__main,RTKM,True,
all_managers__roa_2025__education__M1__main,RUAL,True,
all_managers__roa_2025__education__M1__main,SBER,True,
all_managers__roa_2025__education__M1__main,SELG,True,
all_managers__roa_2025__education__M1__main,SFIN,True,
all_managers__roa_2025__education__M1__main,SGZH,True,
all_managers__roa_2025__education__M1__main,SMLT,True,
all_managers__roa_2025__education__M1__main,SNGS,True,
all_managers__roa_2025__education__M1__main,SOFL,True,
all_managers__roa_2025__education__M1__main,SPBE,True,
all_managers__roa_2025__education__M1__main,SVAV,True,
all_managers__roa_2025__education__M1__main,SVCB,False,roa_2025
all_managers__roa_2025__education__M1__main,T,True,
all_managers__roa_2025__education__M1__main,TATN,True,
all_managers__roa_2025__education__M1__main,TGKA,True,
all_managers__roa_2025__education__M1__main,TGKB,True,
all_managers__roa_2025__education__M1__main,TRMK,True,
all_managers__roa_2025__education__M1__main,TRNFP,True,
all_managers__roa_2025__education__M1__main,TTLK,True,
all_managers__roa_2025__education__M1__main,UGLD,True,
all_managers__roa_2025__education__M1__main,UPRO,True,
all_managers__roa_2025__education__M1__main,VKCO,True,
all_managers__roa_2025__education__M1__main,VSEH,True,
all_managers__roa_2025__education__M1__main,VSMO,True,
all_managers__roa_2025__education__M1__main,VTBR,False,roa_2025
all_managers__roa_2025__education__M1__main,WUSH,True,
all_managers__roa_2025__education__M1__main,YDEX,True,
all_managers__roa_2025__education__M1__main,ZAYM,True,
all_managers__roa_2025__education__M2__main,ABIO,True,
all_managers__roa_2025__education__M2__main,AFKS,True,
all_managers__roa_2025__education__M2__main,AFLT,True,
all_managers__roa_2025__education__M2__main,AGRO,True,
all_managers__roa_2025__education__M2__main,AKRN,True,
all_managers__roa_2025__education__M2__main,ALRS,True,
all_managers__roa_2025__education__M2__main,APTK,True,
all_managers__roa_2025__education__M2__main,AQUA,True,
all_managers__roa_2025__education__M2__main,ASTR,True,
all_managers__roa_2025__education__M2__main,BANEP,True,
all_managers__roa_2025__education__M2__main,BELU,True,
all_managers__roa_2025__education__M2__main,BSPB,False,"roa_2025, roa_2024"
all_managers__roa_2025__education__M2__main,CBOM,False,roa_2025
all_managers__roa_2025__education__M2__main,CHMF,True,
all_managers__roa_2025__education__M2__main,CHMK,True,
all_managers__roa_2025__education__M2__main,CIAN,True,
all_managers__roa_2025__education__M2__main,DATA,True,
all_managers__roa_2025__education__M2__main,DELI,True,
all_managers__roa_2025__education__M2__main,DIAS,True,
all_managers__roa_2025__education__M2__main,DVEC,True,
all_managers__roa_2025__education__M2__main,ELFV,True,
all_managers__roa_2025__education__M2__main,ENPG,True,
all_managers__roa_2025__education__M2__main,ETLN,True,
all_managers__roa_2025__education__M2__main,EUTR,True,
all_managers__roa_2025__education__M2__main,FEES,True,
all_managers__roa_2025__education__M2__main,FESH,True,
all_managers__roa_2025__education__M2__main,FIVE,True,
all_managers__roa_2025__education__M2__main,FIXP,True,
all_managers__roa_2025__education__M2__main,FLOT,True,
all_managers__roa_2025__education__M2__main,GAZP,True,
all_managers__roa_2025__education__M2__main,GEMC,True,
all_managers__roa_2025__education__M2__main,GLTR,False,"roa_2025, roa_2024"
all_managers__roa_2025__education__M2__main,GMKN,True,
all_managers__roa_2025__education__M2__main,HEAD,True,
all_managers__roa_2025__education__M2__main,HNFG,True,
all_managers__roa_2025__education__M2__main,HYDR,True,
all_managers__roa_2025__education__M2__main,IRAO,True,
all_managers__roa_2025__education__M2__main,IVAT,True,
all_managers__roa_2025__education__M2__main,KAZT,True,
all_managers__roa_2025__education__M2__main,KZOS,True,
all_managers__roa_2025__education__M2__main,LEAS,True,
all_managers__roa_2025__education__M2__main,LENT,True,
all_managers__roa_2025__education__M2__main,LKOH,True,
all_managers__roa_2025__education__M2__main,LSNGP,True,
all_managers__roa_2025__education__M2__main,LSRG,True,
all_managers__roa_2025__education__M2__main,MAGN,True,
all_managers__roa_2025__education__M2__main,MBNK,False,"roa_2025, roa_2024"
all_managers__roa_2025__education__M2__main,MDMG,True,
all_managers__roa_2025__education__M2__main,MGNT,True,
all_managers__roa_2025__education__M2__main,MGTSP,True,
all_managers__roa_2025__education__M2__main,MOEX,True,
all_managers__roa_2025__education__M2__main,MRKC,True,
all_managers__roa_2025__education__M2__main,MRKP,True,
all_managers__roa_2025__education__M2__main,MRKU,True,
all_managers__roa_2025__education__M2__main,MRKV,True,
all_managers__roa_2025__education__M2__main,MRKZ,True,
all_managers__roa_2025__education__M2__main,MSNG,True,
all_managers__roa_2025__education__M2__main,MSRS,True,
all_managers__roa_2025__education__M2__main,MTLR,True,
all_managers__roa_2025__education__M2__main,MTSS,True,
all_managers__roa_2025__education__M2__main,MVID,True,
all_managers__roa_2025__education__M2__main,NKHP,True,
all_managers__roa_2025__education__M2__main,NKNC,True,
all_managers__roa_2025__education__M2__main,NLMK,True,
all_managers__roa_2025__education__M2__main,NMTP,True,
all_managers__roa_2025__education__M2__main,OGKB,True,
all_managers__roa_2025__education__M2__main,OKEY,True,
all_managers__roa_2025__education__M2__main,OZON,True,
all_managers__roa_2025__education__M2__main,OZPH,True,
all_managers__roa_2025__education__M2__main,PHOR,True,
all_managers__roa_2025__education__M2__main,PIKK,True,
all_managers__roa_2025__education__M2__main,PLZL,True,
all_managers__roa_2025__education__M2__main,POLY,False,"roa_2025, roa_2024"
all_managers__roa_2025__education__M2__main,POSI,True,
all_managers__roa_2025__education__M2__main,PRMD,True,
all_managers__roa_2025__education__M2__main,QIWI,False,"roa_2025, roa_2024"
all_managers__roa_2025__education__M2__main,RASP,True,
all_managers__roa_2025__education__M2__main,RENI,True,
all_managers__roa_2025__education__M2__main,RKKE,True,
all_managers__roa_2025__education__M2__main,RNFT,True,
all_managers__roa_2025__education__M2__main,ROSN,True,
all_managers__roa_2025__education__M2__main,RTKM,True,
all_managers__roa_2025__education__M2__main,RUAL,True,
all_managers__roa_2025__education__M2__main,SBER,True,
all_managers__roa_2025__education__M2__main,SELG,True,
all_managers__roa_2025__education__M2__main,SFIN,True,
all_managers__roa_2025__education__M2__main,SGZH,True,
all_managers__roa_2025__education__M2__main,SMLT,True,
all_managers__roa_2025__education__M2__main,SNGS,True,
all_managers__roa_2025__education__M2__main,SOFL,True,
all_managers__roa_2025__education__M2__main,SPBE,True,
all_managers__roa_2025__education__M2__main,SVAV,True,
all_managers__roa_2025__education__M2__main,SVCB,False,"roa_2025, roa_2024"
all_managers__roa_2025__education__M2__main,T,True,
all_managers__roa_2025__education__M2__main,TATN,True,
all_managers__roa_2025__education__M2__main,TGKA,True,
all_managers__roa_2025__education__M2__main,TGKB,True,
all_managers__roa_2025__education__M2__main,TRMK,True,
all_managers__roa_2025__education__M2__main,TRNFP,True,
all_managers__roa_2025__education__M2__main,TTLK,True,
all_managers__roa_2025__education__M2__main,UGLD,True,
all_managers__roa_2025__education__M2__main,UPRO,True,
all_managers__roa_2025__education__M2__main,VKCO,True,
all_managers__roa_2025__education__M2__main,VSEH,True,
all_managers__roa_2025__education__M2__main,VSMO,True,
all_managers__roa_2025__education__M2__main,VTBR,False,"roa_2025, roa_2024"
all_managers__roa_2025__education__M2__main,WUSH,True,
all_managers__roa_2025__education__M2__main,YDEX,True,
all_managers__roa_2025__education__M2__main,ZAYM,True,
all_managers__roa_2025__education__M3__main,ABIO,True,
all_managers__roa_2025__education__M3__main,AFKS,True,
all_managers__roa_2025__education__M3__main,AFLT,True,
all_managers__roa_2025__education__M3__main,AGRO,True,
all_managers__roa_2025__education__M3__main,AKRN,True,
all_managers__roa_2025__education__M3__main,ALRS,True,
all_managers__roa_2025__education__M3__main,APTK,True,
all_managers__roa_2025__education__M3__main,AQUA,True,
all_managers__roa_2025__education__M3__main,ASTR,True,
all_managers__roa_2025__education__M3__main,BANEP,False,leverage_2024
all_managers__roa_2025__education__M3__main,BELU,True,
all_managers__roa_2025__education__M3__main,BSPB,False,"roa_2025, roa_2024, leverage_2024"
all_managers__roa_2025__education__M3__main,CBOM,False,"roa_2025, leverage_2024"
all_managers__roa_2025__education__M3__main,CHMF,True,
all_managers__roa_2025__education__M3__main,CHMK,True,
all_managers__roa_2025__education__M3__main,CIAN,True,
all_managers__roa_2025__education__M3__main,DATA,True,
all_managers__roa_2025__education__M3__main,DELI,True,
all_managers__roa_2025__education__M3__main,DIAS,True,
all_managers__roa_2025__education__M3__main,DVEC,True,
all_managers__roa_2025__education__M3__main,ELFV,True,
all_managers__roa_2025__education__M3__main,ENPG,True,
all_managers__roa_2025__education__M3__main,ETLN,True,
all_managers__roa_2025__education__M3__main,EUTR,True,
all_managers__roa_2025__education__M3__main,FEES,True,
all_managers__roa_2025__education__M3__main,FESH,True,
all_managers__roa_2025__education__M3__main,FIVE,True,
all_managers__roa_2025__education__M3__main,FIXP,True,
all_managers__roa_2025__education__M3__main,FLOT,False,fixed_assets_ratio_2024
all_managers__roa_2025__education__M3__main,GAZP,True,
all_managers__roa_2025__education__M3__main,GEMC,True,
all_managers__roa_2025__education__M3__main,GLTR,False,"roa_2025, roa_2024, log_assets_2024, leverage_2024, fixed_assets_ratio_2024"
all_managers__roa_2025__education__M3__main,GMKN,True,
all_managers__roa_2025__education__M3__main,HEAD,True,
all_managers__roa_2025__education__M3__main,HNFG,True,
all_managers__roa_2025__education__M3__main,HYDR,True,
all_managers__roa_2025__education__M3__main,IRAO,True,
all_managers__roa_2025__education__M3__main,IVAT,True,
