model_id,sample,outcome,block,specification,family,formula,term,coef,se_hc3,t,p_value,ci_low,ci_high,n,is_focal,term_status,effect_pp_per_10_points,se_pp_hc3,ci_low_pp,ci_high_pp,fdr_family,q_value_bh
all_managers__roa_2025__education__M3__main,all_managers,roa_2025,education,M3,main,roa_2025 ~ expertise_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,expertise_score_10,0.012594005738338205,0.010626301829146879,1.185172973705124,0.23925201077485417,-0.008533929163721032,0.03372194064039744,93,True,ok,1.2594005738338205,1.0626301829146878,-0.8533929163721032,3.372194064039744,education_and_indices_2_outcomes,0.47850402154970834
all_managers__roa_2025__index_equal__M3__main,all_managers,roa_2025,index_equal,M3,main,roa_2025 ~ index_equal_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,index_equal_10,-0.027544587743729154,0.019263283361418786,-1.429900979336496,0.15922257872202406,-0.06627601481616231,0.011186839328704009,56,True,ok,-2.754458774372915,1.9263283361418786,-6.627601481616232,1.1186839328704008,education_and_indices_2_outcomes,0.47766773616607217
all_managers__roa_2025__index_critic__M3__main,all_managers,roa_2025,index_critic,M3,main,roa_2025 ~ index_critic_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,index_critic_10,-0.024501909007356777,0.015495921946756282,-1.581184332984182,0.12040369340001819,-0.05565854827493711,0.006654730260223556,56,True,ok,-2.4501909007356777,1.5495921946756281,-5.565854827493711,0.6654730260223556,education_and_indices_2_outcomes,0.47766773616607217
all_managers__roa_2025__components_joint__M3__main,all_managers,roa_2025,components_joint,M3,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,media_score_10,0.006438020338871516,,,,,,56,True,undefined_hc3_and_press_leverage_one,0.6438020338871516,,,,joint_components_2_outcomes,
all_managers__roa_2025__components_joint__M3__main,all_managers,roa_2025,components_joint,M3,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,awards_score_10,-0.017492410755202952,,,,,,56,True,undefined_hc3_and_press_leverage_one,-1.7492410755202952,,,,joint_components_2_outcomes,
all_managers__roa_2025__components_joint__M3__main,all_managers,roa_2025,components_joint,M3,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,expertise_score_10,0.009732383374873596,,,,,,56,True,undefined_hc3_and_press_leverage_one,0.9732383374873597,,,,joint_components_2_outcomes,
all_managers__roa_2025__components_joint__M3__main,all_managers,roa_2025,components_joint,M3,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,face_score_10,-0.023190821076042856,,,,,,56,True,undefined_hc3_and_press_leverage_one,-2.319082107604286,,,,joint_components_2_outcomes,
all_managers__roa_2025__components_joint__M3__main,all_managers,roa_2025,components_joint,M3,main,roa_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,communication_score_10,-0.01066111404613095,,,,,,56,True,undefined_hc3_and_press_leverage_one,-1.066111404613095,,,,joint_components_2_outcomes,
all_managers__stock_return_2025__education__M3__main,all_managers,stock_return_2025,education,M3,main,stock_return_2025 ~ expertise_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,expertise_score_10,0.012302545534783663,0.0302556384374284,0.4066199283887703,0.6855456621814419,-0.04805580164710642,0.07266089271667375,77,True,ok,1.2302545534783664,3.02556384374284,-4.8055801647106415,7.266089271667376,education_and_indices_2_outcomes,0.6855456621814419
all_managers__stock_return_2025__index_equal__M3__main,all_managers,stock_return_2025,index_equal,M3,main,stock_return_2025 ~ index_equal_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,index_equal_10,0.06319019658473643,0.10330594362169214,0.6116801644650751,0.5447024923433047,-0.14653201859704368,0.27291241176651654,43,True,ok,6.319019658473643,10.330594362169213,-14.653201859704367,27.291241176651653,education_and_indices_2_outcomes,0.6536429908119656
all_managers__stock_return_2025__index_critic__M3__main,all_managers,stock_return_2025,index_critic,M3,main,stock_return_2025 ~ index_critic_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,index_critic_10,0.06988721996190146,0.08169958276577476,0.8554170975666026,0.3981384749238009,-0.09597175074564292,0.23574619066944585,43,True,ok,6.988721996190146,8.169958276577475,-9.597175074564293,23.574619066944585,education_and_indices_2_outcomes,0.5972077123857014
all_managers__stock_return_2025__components_joint__M3__main,all_managers,stock_return_2025,components_joint,M3,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,media_score_10,-0.17722879210211745,,,,,,43,True,undefined_hc3_and_press_leverage_one,-17.722879210211744,,,,joint_components_2_outcomes,
all_managers__stock_return_2025__components_joint__M3__main,all_managers,stock_return_2025,components_joint,M3,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,awards_score_10,0.05504907961244389,,,,,,43,True,undefined_hc3_and_press_leverage_one,5.504907961244389,,,,joint_components_2_outcomes,
all_managers__stock_return_2025__components_joint__M3__main,all_managers,stock_return_2025,components_joint,M3,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,expertise_score_10,-0.03721841936776205,,,,,,43,True,undefined_hc3_and_press_leverage_one,-3.7218419367762055,,,,joint_components_2_outcomes,
all_managers__stock_return_2025__components_joint__M3__main,all_managers,stock_return_2025,components_joint,M3,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,face_score_10,0.06910589542119908,,,,,,43,True,undefined_hc3_and_press_leverage_one,6.910589542119908,,,,joint_components_2_outcomes,
all_managers__stock_return_2025__components_joint__M3__main,all_managers,stock_return_2025,components_joint,M3,main,stock_return_2025 ~ media_score_10 + awards_score_10 + expertise_score_10 + face_score_10 + communication_score_10 + stock_return_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,communication_score_10,0.0627606659158313,,,,,,43,True,undefined_hc3_and_press_leverage_one,6.276066591583131,,,,joint_components_2_outcomes,
ceo__roa_2025__education__M3__main,ceo,roa_2025,education,M3,main,roa_2025 ~ expertise_score_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,expertise_score_10,0.009056817675097311,0.00890229858473395,1.0173572127347354,0.3119758835773256,-0.008652690100684578,0.026766325450879203,90,True,ok,0.9056817675097312,0.890229858473395,-0.8652690100684578,2.6766325450879203,education_and_indices_2_outcomes,0.7185551248637168
ceo__roa_2025__index_equal__M3__main,ceo,roa_2025,index_equal,M3,main,roa_2025 ~ index_equal_10 + roa_2024 + log_assets_2024 + age + leverage_2024 + fixed_assets_ratio_2024 + state_2024,index_equal_10,-0.036835045574383836,0.03291198491009318,-1.1191985434791434,0.27700552705067155,-0.10572062166953214,0.032050530520764474,27,True,ok,-3.6835045574383836,3.291198491009318,-10.572062166953215,3.2050530520764475,education_and_indices_2_outcomes,0.7185551248637168
